,annotation
BSU00090,S_Nucleotides_and_nucleic_acids
BSU00110,S_Coenzymes_and_prosthetic_groups
BSU00120,S_Coenzymes_and_prosthetic_groups
BSU00130,charging
BSU00140,S_Nucleotides_and_nucleic_acids
BSU00150,S_Nucleotides_and_nucleic_acids
BSU00180,S_Nucleotides_and_nucleic_acids
BSU00270,S_Amino_acids_and_related_molecules
BSU00280,S_Nucleotides_and_nucleic_acids
BSU00380,S_Other_function
BSU00410,formation
BSU00460,S_Carbohydrates_and_related_molecules
BSU00500,S_Cell_wall
BSU00510,S_Nucleotides_and_nucleic_acids
BSU00550,transcription
BSU00680,S_Nucleotides_and_nucleic_acids
BSU00730,S_Amino_acids_and_related_molecules
BSU00740,S_Coenzymes_and_prosthetic_groups
BSU00750,S_Amino_acids_and_related_molecules
BSU00760,S_Coenzymes_and_prosthetic_groups
BSU00770,S_Coenzymes_and_prosthetic_groups
BSU00780,S_Coenzymes_and_prosthetic_groups
BSU00790,S_Coenzymes_and_prosthetic_groups
BSU00810,BSU00810-MONOMER
BSU00820,charging
BSU00900,S_Lipids
BSU00910,S_Lipids
BSU00930,S_Amino_acids_and_related_molecules
BSU00940,charging
BSU00980,transcription
BSU00990,formation
BSU01000,translocation
BSU01010,transcription
BSU01020,formation
BSU01030,formation
BSU01040,formation
BSU01050,formation
BSU01070,transcription
BSU01080,transcription
BSU01100,formation
BSU01110,formation
BSU01120,translation
BSU01130,BSU01130-MONOMER
BSU01150,formation
BSU01160,formation
BSU01170,formation
BSU01180,formation
BSU01190,formation
BSU01200,formation
BSU01210,formation
BSU01220,formation
BSU01230,formation
BSU01240,formation
BSU01250,formation
BSU01260,formation
BSU01270,formation
BSU01280,formation
BSU01290,formation
BSU01300,formation
BSU01310,formation
BSU01320,formation
BSU01330,formation
BSU01340,formation
BSU01350,formation
BSU01360,translocation
BSU01370,S_Nucleotides_and_nucleic_acids
BSU01380,translation
BSU01390,translation
BSU01400,formation
BSU01410,formation
BSU01420,formation
BSU01430,transcription
BSU01440,formation
BSU01490,formation
BSU01500,formation
BSU01530,S_Cell_wall
BSU01580,S_Transport
BSU01610,S_Transport
BSU01620,S_Transport
BSU01630,S_Transport
BSU01680,S_Transport
BSU01730,transcription
BSU01770,S_Carbohydrates_and_related_molecules
BSU01780,S_Amino_acids_and_related_molecules
BSU02090,S_Other_function
BSU02130,S_Lipids
BSU02140,S_Transport
BSU02230,S_Nucleotides_and_nucleic_acids
BSU02270,S_Lipids
BSU02290,S_Lipids
BSU02340,S_Transport
BSU02350,S_Transport
BSU02360,S_Carbohydrates_and_related_molecules
BSU02390,S_Amino_acids_and_related_molecules
BSU02400,S_Transport
BSU02420,S_Transport
BSU02430,S_Amino_acids_and_related_molecules
BSU02460,S_Carbohydrates_and_related_molecules
BSU02480,S_Transport
BSU02490,S_Carbohydrates_and_related_molecules
BSU02510,S_Carbohydrates_and_related_molecules
BSU02630,no_rxn
BSU02640,no_rxn
BSU02750,S_Transport
BSU02760,S_Transport
BSU02850,S_Transport
BSU02860,S_Transport
BSU02870,S_Transport
BSU02980,S_Transport
BSU02990,S_Transport
BSU03000,S_Transport
BSU03010,S_Coenzymes_and_prosthetic_groups
BSU03040,S_Carbohydrates_and_related_molecules
BSU03050,S_Membrane_bioenergetics
BSU03060,S_Transport
BSU03070,S_Transport
BSU03130,S_Coenzymes_and_prosthetic_groups
BSU03150,S_Amino_acids_and_related_molecules
BSU03200,S_Amino_acids_and_related_molecules
BSU03220,S_Transport
BSU03270,S_Membrane_bioenergetics
BSU03280,S_Coenzymes_and_prosthetic_groups
BSU03290,S_Amino_acids_and_related_molecules
BSU03300,S_Amino_acids_and_related_molecules
BSU03310,S_Membrane_bioenergetics
BSU03320,S_Membrane_bioenergetics
BSU03330,S_Transport
BSU03790,S_Amino_acids_and_related_molecules
BSU03800,S_Transport
BSU03810,S_Transport
BSU03820,S_Transport
BSU03830,S_Transport
BSU03860,S_Membrane_bioenergetics
BSU03900,S_Amino_acids_and_related_molecules
BSU03910,S_Amino_acids_and_related_molecules
BSU03930,S_Carbohydrates_and_related_molecules
BSU03950,S_Transport
BSU03981,S_Transport
BSU03990,S_Carbohydrates_and_related_molecules
BSU04000,S_Carbohydrates_and_related_molecules
BSU04030,S_Lipids
BSU04340,S_Carbohydrates_and_related_molecules
BSU04360,S_Transport
BSU04470,S_Transport
BSU04520,S_Lipids
BSU04560,S_Cell_wall
BSU04570,S_Cell_wall
BSU04620,S_Lipids
BSU04640,S_Amino_acids_and_related_molecules
BSU04730,transcription
BSU04740,S_Amino_acids_and_related_molecules
BSU05340,S_Transport
BSU05740,S_Phosphate_and_sulfur
BSU05810,S_Transport
BSU05820,S_Transport
BSU05830,S_Transport
BSU05860,S_Carbohydrates_and_related_molecules
BSU05900,S_Coenzymes_and_prosthetic_groups
BSU05980,no_rxn
BSU05990,no_rxn
BSU06020,translation
BSU06030,translation
BSU06150,S_Carbohydrates_and_related_molecules
BSU06160,S_Transport
BSU06170,S_Carbohydrates_and_related_molecules
BSU06230,S_Transport
BSU06240,S_Carbohydrates_and_related_molecules
BSU06310,S_Transport
BSU06360,S_Nucleotides_and_nucleic_acids
BSU06370,S_Transport
BSU06420,S_Nucleotides_and_nucleic_acids
BSU06430,S_Nucleotides_and_nucleic_acids
BSU06440,S_Nucleotides_and_nucleic_acids
