,reg_me,reg_rna
BSU09540,-1.0,-1
BSU10020,-1.0,-1
BSU10120,0.0,0
BSU10360,-1.0,-1
BSU10520,0.0,0
BSU10790,-1.0,-1
BSU10870,0.0,0
BSU11010,-1.0,-1
BSU11190,-1.0,-1
BSU11200,-1.0,-1
BSU11210,-1.0,-1
BSU11220,-1.0,-1
BSU11250,-1.0,-1
BSU11420,-1.0,-1
BSU11670,-1.0,-1
BSU11720,-1.0,-1
BSU12010,0.0,0
BSU12020,0.0,0
BSU12300,0.0,0
BSU12330,0.0,0
BSU12340,0.0,0
BSU12380,0.0,0
BSU12950,0.0,0
BSU12960,0.0,0
BSU13130,-1.0,-1
BSU13180,-1.0,-1
BSU13890,-1.0,-1
BSU13900,-1.0,-1
BSU13910,-1.0,-1
BSU14000,-1.0,-1
BSU14180,-1.0,-1
BSU14190,-1.0,-1
BSU14390,0.0,0
BSU14400,0.0,0
BSU14580,-1.0,-1
BSU14590,-1.0,-1
BSU14600,-1.0,-1
BSU14610,-1.0,-1
BSU14830,0.0,0
BSU14860,-1.0,-1
BSU14890,-1.0,-1
BSU14900,-1.0,-1
BSU14910,-1.0,-1
BSU14920,-1.0,-1
BSU15080,-1.0,-1
BSU15180,-1.0,-1
BSU15190,-1.0,-1
BSU15200,-1.0,-1
BSU15220,-1.0,-1
BSU15320,-1.0,-1
BSU15430,-1.0,-1
BSU15480,-1.0,-1
BSU15490,-1.0,-1
BSU15500,-1.0,-1
BSU15510,-1.0,-1
BSU15520,-1.0,-1
BSU15530,-1.0,-1
BSU15540,-1.0,-1
BSU15550,-1.0,-1
BSU15560,-1.0,-1
BSU15570,-1.0,-1
BSU15580,-1.0,-1
BSU15590,-1.0,-1
BSU15600,-1.0,-1
BSU15720,-1.0,-1
BSU15730,-1.0,-1
BSU15750,-1.0,-1
BSU15820,-1.0,-1
BSU15900,-1.0,-1
BSU15910,-1.0,-1
BSU15990,-1.0,-1
BSU16020,-1.0,-1
BSU16040,-1.0,-1
BSU16090,-1.0,-1
BSU16100,-1.0,-1
BSU16490,-1.0,-1
BSU16500,-1.0,-1
BSU16520,-1.0,-1
BSU16540,-1.0,-1
BSU16550,-1.0,-1
BSU16570,-1.0,-1
BSU16690,-1.0,-1
BSU16730,0.0,0
BSU16740,0.0,0
BSU16750,-1.0,-1
BSU16760,-1.0,-1
BSU16770,-1.0,-1
BSU16920,-1.0,-1
BSU16960,-1.0,-1
BSU17380,-1.0,-1
BSU17390,-1.0,-1
BSU17680,-1.0,-1
BSU17890,-1.0,-1
BSU18000,-1.0,-1
BSU18230,0.0,0
BSU18250,0.0,0
BSU18260,0.0,0
BSU18470,1.0,1
BSU18830,0.0,0
BSU19360,-1.0,-1
BSU19370,-1.0,-1
BSU19520,0.0,0
BSU19630,-1.0,-1
BSU19690,0.0,0
BSU19710,0.0,0
BSU19800,0.0,0
BSU21770,-1.0,-1
BSU21810,-1.0,-1
BSU21870,-1.0,-1
BSU21900,0.0,0
BSU21910,1.0,1
BSU21920,-1.0,-1
BSU22360,-1.0,-1
BSU22370,-1.0,-1
BSU22410,-1.0,-1
BSU22420,-1.0,-1
BSU22430,-1.0,-1
BSU22440,-1.0,-1
BSU22490,-1.0,-1
BSU22540,-1.0,-1
BSU22550,-1.0,-1
BSU22560,-1.0,-1
BSU22600,-1.0,-1
BSU22610,-1.0,-1
BSU22620,-1.0,-1
BSU22630,-1.0,-1
BSU22640,-1.0,-1
BSU22650,-1.0,-1
BSU22660,-1.0,-1
BSU22670,-1.0,-1
BSU22680,-1.0,-1
BSU22700,-1.0,-1
BSU22710,-1.0,-1
BSU22730,-1.0,-1
BSU22830,-1.0,-1
BSU22890,-1.0,-1
BSU23070,-1.0,-1
BSU23100,-1.0,-1
BSU23250,-1.0,-1
BSU23260,-1.0,-1
BSU23270,-1.0,-1
BSU23280,-1.0,-1
BSU23380,-1.0,-1
BSU23760,-1.0,-1
BSU23800,-1.0,-1
BSU23840,-1.0,-1
BSU23850,0.0,0
BSU24310,-1.0,-1
BSU24340,0.0,0
BSU24900,-1.0,-1
BSU24960,0.0,0
BSU24970,0.0,0
BSU24980,0.0,0
BSU24990,0.0,0
BSU25260,-1.0,-1
BSU25270,-1.0,-1
BSU25290,-1.0,-1
BSU25420,0.0,0
BSU25500,0.0,0
BSU25550,-1.0,-1
BSU25580,0.0,0
BSU25640,-1.0,-1
BSU25660,-1.0,-1
BSU25710,0.0,0
BSU25760,-1.0,-1
BSU26590,0.0,0
BSU26810,-1.0,-1
BSU27120,0.0,0
BSU27250,-1.0,-1
BSU27260,-1.0,-1
BSU27330,-1.0,-1
BSU27410,-1.0,-1
BSU27430,0.0,0
BSU27440,0.0,0
BSU27550,-1.0,-1
BSU27560,-1.0,-1
BSU27850,-1.0,-1
BSU27860,-1.0,-1
BSU27870,-1.0,-1
BSU27900,-1.0,-1
BSU27910,-1.0,-1
BSU27940,-1.0,-1
BSU28080,-1.0,-1
BSU28090,-1.0,-1
BSU28120,0.0,0
BSU28150,0.0,0
BSU28230,-1.0,-1
BSU28250,-1.0,-1
BSU28260,-1.0,-1
BSU28270,-1.0,-1
BSU28280,-1.0,-1
BSU28290,-1.0,-1
BSU28300,-1.0,-1
BSU28310,-1.0,-1
BSU28430,-1.0,-1
BSU28440,-1.0,-1
BSU28450,-1.0,-1
BSU28540,-1.0,-1
BSU28630,-1.0,-1
BSU28640,-1.0,-1
BSU28730,0.0,0
BSU28740,0.0,0
BSU28750,0.0,0
BSU28780,0.0,0
BSU28950,-1.0,-1
BSU29060,0.0,0
BSU29120,-1.0,-1
BSU29130,-1.0,-1
BSU29140,-1.0,-1
BSU29180,-1.0,-1
BSU29190,-1.0,-1
BSU29300,0.0,0
BSU29340,0.0,0
BSU29350,0.0,0
BSU29360,0.0,0
BSU29370,0.0,0
BSU29380,0.0,0
BSU29440,-1.0,-1
BSU29450,-1.0,-1
BSU29470,-1.0,-1
BSU29620,-1.0,-1
BSU29660,-1.0,-1
BSU29670,-1.0,-1
BSU29680,0.0,0
BSU29750,-1.0,-1
BSU29790,-1.0,-1
BSU30320,-1.0,-1
BSU30410,0.0,0
BSU30690,-1.0,-1
BSU30820,-1.0,-1
BSU30830,-1.0,-1
BSU30870,0.0,0
BSU31200,0.0,0
BSU31350,-1.0,-1
BSU31400,-1.0,-1
BSU31610,1.0,1
BSU31620,1.0,1
BSU31630,1.0,1
BSU31640,1.0,1
BSU31650,1.0,1
BSU31660,1.0,1
BSU32170,-1.0,-1
BSU32200,-1.0,-1
BSU32240,-1.0,-1
BSU32250,-1.0,-1
BSU32260,-1.0,-1
BSU32440,0.0,0
BSU32450,0.0,0
BSU32490,0.0,0
BSU32500,0.0,0
BSU32510,0.0,0
BSU32820,-1.0,-1
BSU32830,-1.0,-1
BSU32840,-1.0,-1
BSU33040,-1.0,-1
BSU33430,-1.0,-1
BSU33440,-1.0,-1
BSU33720,0.0,0
BSU33900,-1.0,-1
BSU33910,-1.0,-1
BSU33920,-1.0,-1
BSU33930,-1.0,-1
BSU33940,-1.0,-1
BSU34560,0.0,0
BSU34570,0.0,0
BSU34860,-1.0,-1
BSU34870,-1.0,-1
BSU34880,-1.0,-1
BSU34900,-1.0,-1
BSU34910,-1.0,-1
BSU34920,-1.0,-1
BSU35300,1.0,1
BSU35530,-1.0,-1
BSU35600,0.0,0
BSU35609,0.0,0
BSU35660,-1.0,-1
BSU35680,-1.0,-1
BSU35690,-1.0,-1
BSU35720,-1.0,-1
BSU35730,-1.0,-1
BSU35960,0.0,0
BSU36010,0.0,0
BSU36470,0.0,0
BSU36510,-1.0,-1
BSU36760,-1.0,-1
BSU36810,-1.0,-1
BSU36820,-1.0,-1
BSU36830,-1.0,-1
BSU36840,-1.0,-1
BSU36850,-1.0,-1
BSU36860,-1.0,-1
BSU36870,-1.0,-1
BSU36880,-1.0,-1
BSU36900,-1.0,-1
BSU36920,-1.0,-1
BSU37010,-1.0,-1
BSU37110,-1.0,-1
BSU37120,-1.0,-1
BSU37150,-1.0,-1
BSU37170,-1.0,-1
BSU37330,-1.0,-1
BSU37660,-1.0,-1
BSU38020,0.0,0
BSU38290,0.0,0
BSU38300,0.0,0
BSU38390,0.0,0
BSU38490,-1.0,-1
BSU38550,-1.0,-1
BSU38700,0.0,0
BSU38760,0.0,0
BSU38770,-1.0,-1
BSU38860,-1.0,-1
BSU38980,0.0,0
BSU38990,0.0,0
BSU39370,0.0,0
BSU39380,0.0,0
BSU39400,-1.0,-1
BSU39420,-1.0,-1
BSU39860,-1.0,-1
BSU40420,-1.0,-1
BSU40550,-1.0,-1
BSU40890,-1.0,-1
BSU40910,-1.0,-1
BSU41050,-1.0,-1
