,m,me,exp
leu__L_e,0.0,0.0,0.0
lys__L_e,0.0,0.0,0.0
met__L_e,0.0,0.0,0.0
phe__L_e,0.0,0.0,0.0
crn_e,0.0,0.0,0.0
btd_RR_e,0.0,0.0,0.0
4abut_e,1.0,1.0,0.0
gly_e,1.0,1.0,0.0
ile__L_e,1.0,1.0,0.0
val__L_e,1.0,1.0,0.0
for_e,0.0,0.0,1.0
ac_e,0.0,0.0,1.0
acac_e,0.0,0.0,1.0
arab__L_e,1.0,1.0,1.0
acgam_e,1.0,1.0,1.0
glcr_e,1.0,1.0,1.0
succ_e,1.0,1.0,1.0
gal_e,1.0,1.0,1.0
asp__L_e,1.0,1.0,1.0
pro__L_e,1.0,1.0,1.0
ala__D_e,1.0,1.0,1.0
tre_e,1.0,1.0,1.0
man_e,1.0,1.0,1.0
galt_e,1.0,1.0,1.0
ser__D_e,1.0,1.0,1.0
sbt__D_e,1.0,1.0,1.0
glyc_e,1.0,1.0,1.0
glcur_e,1.0,1.0,1.0
glcn__D_e,1.0,1.0,1.0
glyc3p_e,1.0,1.0,1.0
xyl__D_e,1.0,1.0,1.0
lac__L_e,1.0,1.0,1.0
mnl_e,1.0,1.0,1.0
glu__L_e,1.0,1.0,1.0
g6p_e,1.0,1.0,1.0
mal__L_e,1.0,1.0,1.0
rib__D_e,1.0,1.0,1.0
rmn_e,1.0,1.0,1.0
fru_e,1.0,1.0,1.0
glc__D_e,1.0,1.0,1.0
malt_e,1.0,1.0,1.0
melib_e,1.0,1.0,1.0
thymd_e,1.0,1.0,1.0
asn__L_e,1.0,1.0,1.0
akg_e,1.0,1.0,1.0
sucr_e,1.0,1.0,1.0
uri_e,1.0,1.0,1.0
gln__L_e,1.0,1.0,1.0
g1p_e,1.0,1.0,1.0
f6p_e,1.0,1.0,1.0
mbdg_e,1.0,1.0,1.0
malttr_e,1.0,1.0,1.0
dad_2_e,1.0,1.0,1.0
adn_e,1.0,1.0,1.0
cit_e,1.0,1.0,1.0
fum_e,1.0,1.0,1.0
ppa_e,1.0,1.0,1.0
galctr__D_e,1.0,0.0,1.0
glyclt_e,1.0,1.0,1.0
glx_e,1.0,1.0,1.0
cellb_e,1.0,1.0,1.0
ins_e,1.0,1.0,1.0
ser__L_e,1.0,1.0,1.0
thr__L_e,1.0,1.0,1.0
ala__L_e,1.0,1.0,1.0
acmana_e,1.0,1.0,1.0
mal__D_e,1.0,1.0,1.0
pyr_e,1.0,1.0,1.0
galur_e,1.0,1.0,1.0
dextrin_e,1.0,1.0,1.0
glycogen_e,1.0,1.0,1.0
acnam_e,1.0,1.0,1.0
arab__D_e,1.0,1.0,1.0
abt__L_e,1.0,1.0,1.0
arbt_e,1.0,1.0,1.0
drib_e,1.0,1.0,1.0
pala_e,1.0,1.0,1.0
raffin_e,1.0,1.0,1.0
salcn_e,1.0,1.0,1.0
srb__L_e,1.0,1.0,1.0
gam_e,1.0,1.0,1.0
orn__L_e,1.0,1.0,1.0
dha_e,1.0,1.0,1.0
gly_asp__L_e,0.0,0.0,1.0
gly_glu__L_e,0.0,0.0,1.0
gly_pro__L_e,0.0,0.0,1.0
