,met_comp,shadow_price,change
ala__L_c,0.08801213960546282,-0.04173339244896193,1.3774637204755358e-06
cys__L_c,0.0015174506828528073,-0.07141047152377952,-2.5426166409305007e-08
asp__L_c,0.06828528072837632,-0.0463704360544022,2.1853784931247233e-05
glu__L_c,0.03490136570561457,-0.06770083663942733,4.649977981574516e-05
phe__L_c,0.0409711684370258,-0.15673207386387955,1.590597864059573e-06
gly_c,0.08497723823975721,-0.025967444190463873,2.8473593504663164e-06
his__L_c,0.025796661608497723,-0.10294236804077461,1.2236856197465895e-06
ile__L_c,0.051593323216995446,-0.11314386397274123,1.3550936405481995e-06
lys__L_c,0.051593323216995446,-0.10665200292512486,1.3916805906774576e-06
leu__L_c,0.06525037936267071,-0.10386977676186082,3.9770656275361915e-05
met__L_c,0.015174506828528073,-0.11778090757818305,2.0396502969574626e-07
asn__L_c,0.0834597875569044,-0.05749934070745886,4.882905732830206e-06
pro__L_c,0.03945371775417299,-0.08346678489792403,1.7849889443581624e-06
gln__L_c,0.042488619119878605,-0.07141047152377955,9.57228629050455e-06
arg__L_c,0.03338391502276176,-0.10386977676186127,1.0572891765633918e-06
ser__L_c,0.08497723823975721,-0.03895116628569789,8.091062575904528e-06
thr__L_c,0.07435508345978756,-0.06584601919725097,3.4697050453058598e-06
val__L_c,0.05007587253414264,-0.08253937617683582,1.2471508372136064e-06
trp__L_c,0.021244309559939303,-0.19568324014957764,1.1783688346929388e-06
tyr__L_c,0.042488619119878605,-0.15024021281626326,2.3273867181261565e-06
