,locus_id,in_model,FS_essential,VG_essential,active,depends on
acdA,BSU37170,True,False,False,True,"acdA, fadA, fadN"
acoA,BSU08060,True,False,False,False,
acoB,BSU08070,True,False,False,False,
acoC,BSU08080,False,False,False,False,
acsA,BSU29680,True,False,False,False,
addA,BSU10630,False,False,False,False,
argB,BSU11210,True,False,False,True,"aroX, qdoI, gltB, sigV, aroA, trpD, ilvC, guaB, pheA, adk, serC, sigW, pncB, ldeG, penP, odhB, odhA, ppaC, era, araB, yqxL, nadA, glpQA, cysP, dapG, trpP, argD, argF, argJ, argC, carA, carB, argB, sucC, sucD, serA, dusB, pdhA, pdhB, pdhC, pdhD, pftA, pyrP, tuaG, tuaC, nadE, mrpD, mrpB, dgk, ilvK, glnA, feuC, xpt, aroC, katE, argI, sxzZ, opuE, tktA, nupC, licC, ansA, maeS, xylB, malP, pgm, glmU, glmM, gapB, buk, citB, yxeR, tcyM, icd, argH, argG, sufU, lysP, mdxE, hisD, hisG, ywrK, rpe, sdaAB, uppS, yppS, yojA, aroB, aroF, mleN, aroE, nadD"
argD,BSU11220,True,False,False,True,"aroX, qdoI, gltB, sigV, aroA, trpD, ilvC, guaB, pheA, adk, serC, sigW, pncB, ldeG, penP, odhB, odhA, ppaC, era, araB, yqxL, nadA, glpQA, cysP, dapG, trpP, argD, argF, argJ, argC, carA, carB, argB, sucC, sucD, serA, dusB, pdhA, pdhB, pdhC, pdhD, pftA, pyrP, tuaG, tuaC, nadE, mrpD, mrpB, dgk, ilvK, glnA, feuC, xpt, aroC, katE, argI, sxzZ, opuE, tktA, nupC, licC, ansA, maeS, xylB, malP, pgm, glmU, glmM, gapB, buk, citB, yxeR, tcyM, icd, argH, argG, sufU, lysP, mdxE, hisD, hisG, ywrK, rpe, sdaAB, uppS, yppS, yojA, aroB, aroF, mleN, aroE, nadD"
argF,BSU11250,True,False,False,True,"aroX, qdoI, gltB, sigV, aroA, trpD, ilvC, guaB, adk, serC, sigW, pncB, ldeG, penP, odhB, odhA, ppaC, era, yqxL, nadA, glpQA, cysP, dapG, trpP, argD, argF, argJ, argC, carA, carB, argB, sucC, sucD, serA, dusB, pdhA, pdhB, pdhC, pdhD, pftA, pyrP, tuaG, tuaC, nadE, mrpD, mrpB, dgk, ilvK, glnA, feuC, xpt, aroC, katE, argI, opuE, tktA, nupC, licC, ansA, maeS, xylB, malP, pgm, glmU, glmM, gapB, buk, citB, yxeR, tcyM, icd, argH, argG, sufU, lysP, mdxE, hisD, hisG, ywrK, rpe, sdaAB, uppS, yppS, yojA, aroB, aroF, mleN, aroE, nadD"
argG,BSU29450,True,False,False,True,"ppaC, nadE, argH, argG"
argH,BSU29440,True,False,False,True,"ppaC, nadE, argH, argG"
argJ,BSU11200,True,False,False,True,"aroX, qdoI, gltB, sigV, aroA, trpD, ilvC, guaB, pheA, adk, serC, sigW, pncB, ldeG, penP, odhB, odhA, ppaC, era, araB, yqxL, nadA, glpQA, cysP, dapG, trpP, argD, argF, argJ, argC, carA, carB, argB, sucC, sucD, serA, dusB, pdhA, pdhB, pdhC, pdhD, pftA, pyrP, tuaG, tuaC, nadE, mrpD, mrpB, dgk, ilvK, glnA, feuC, xpt, aroC, katE, argI, sxzZ, opuE, tktA, nupC, licC, ansA, maeS, xylB, malP, pgm, glmU, glmM, gapB, buk, citB, yxeR, tcyM, icd, argH, argG, sufU, lysP, mdxE, hisD, hisG, ywrK, rpe, sdaAB, uppS, yppS, yojA, aroB, aroF, mleN, aroE, nadD"
asnB,BSU30540,True,False,False,False,
bioB,BSU30200,True,False,False,False,
carB,BSU11240,True,False,False,True,"ctaA, aroX, qdoI, msrB, pdxS, gltB, sigH, rbsD, menF, pdxK, aroA, trpF, trpD, trpC, mgtE, leuC, ilvC, mtnN, maeN, mccA, mccB, guaB, qoxB, pgl, ytrD, ytrE, pheA, qcrA, arsF, rhgP, serC, sigW, mntA, yodF, hemC, hemD, proB, atpI, atpF, atpC, natA, pncB, tcyP, sacP, ldeG, ldeE, ldeJ, ldeI, penP, odhB, odhA, apt, ppaC, dsdA, ssuD, era, yqxL, fumC, nadA, bioB, sigP, glpQA, cysP, dapG, kdgD, trpP, lctP, bglP, argD, argF, argJ, argC, proI, carA, carB, argB, copA, iolS, dppC, mntH, sucC, sucD, serA, cwlC, samT, lutP, pabC, dusB, pdhA, pdhB, pdhC, pdhD, pftA, pyrP, treP, tuaG, tuaH, tuaC, ctaE, ctaD, folEA, purC, nadE, purE, ndh, mrpD, mrpB, gmuC, opuAA, dgk, chaA, ycsA, ilvK, glnQ, glnM, glpF, glgP, glnA, mtlD, purA, feuC, glmS, aroC, sigF, katE, pbtP, pbtQ, iolD, argI, opuE, tktA, nupC, ureB, licC, licH, cwlD, pupG, deoB, thiE, hisK, ansA, maeS, ribBA, speE, xylB, tadA, thrD, malP, pgm, aldX, glmU, ptsI, lytD, pckA, glmM, hemH, nupG, gapB, buk, citB, yxeR, tcyM, tcyN, icd, argH, argG, ytcB, gbsA, ktrB, mrpA, sufU, yvrC, lysP, mdxM, mdxE, trxB, hisB, hisD, hisG, ywrK, chrA, tdk, clsB, queD, glsB, suhB, coaD, thiQ, rpe, sdaAB, sdaAA, pyrH, uppS, yppS, yodQ, mtbP, panB, aroB, aroF, gpsA, lysA, mleN, unpK, aroE, yraO, nadD"
citB,BSU18000,True,False,False,True,"citB, icd, sufU"
citZ,BSU29140,True,False,False,False,
cysC,BSU15600,True,False,False,False,
dat,BSU09670,False,False,False,False,
dhaS,BSU19310,True,False,False,False,
dhbB,BSU31970,True,False,False,False,
dhbC,BSU31990,True,False,False,False,
dhbE,BSU31980,True,False,False,False,
divIVA,BSU15420,False,False,False,False,
etfA,BSU28520,False,False,False,False,
etfB,BSU28530,False,False,False,False,
fadN,BSU32840,True,False,False,True,"fadA, fadN"
ftsZ,BSU15290,False,False,False,False,
gapB,BSU29020,True,False,False,False,
glpX,BSU37090,False,False,False,False,
