,base,ASNt2r_FWD_CPLX_dummy_s,LEUt2r_FWD_BSU29600-MONOMER_s,CITt15_FWD_BSU07610-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,CITt11_FWD_BSU07610-MONOMER_s,ALAt2r_FWD_BSU27810-MONOMER_s,PYDX5Pt_s,CBL1t_s,4FE4St_s,PSER_Lt6_FWD_CPLX_dummy_s,ASPt2r_FWD_CPLX_dummy_s,METt3_FWD_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,THMPPt_s,CITt13_FWD_BSU07610-MONOMER_s
biomass_dilution,0.10172080993652344,0.0453468848325708,0.045338695758696916,0.045338661696311,0.04533570131129226,0.04533866234830902,0.04533867827671998,0.045340305062498205,0.04532160158422372,0.0454131088859087,0.045347686627686026,0.045334831739630786,0.04533564414351917,0.04534161654122348,0.04535481878097666,0.0,0.0
protein_biomass_to_biomass,0.03577846990935457,0.026123006595539563,0.02611824603801162,0.026118226404502495,0.02611655160974615,0.026118226780346622,0.026118235958831344,0.02611927682399407,0.02610893821534562,0.026161603750820606,0.02612354897337409,0.026116238854400942,0.02611659087696647,0.026119941231312758,0.02612757266331619,0.0,0.0
mRNA_biomass_to_biomass,0.00011834789149876244,8.838274000085396e-05,8.83680945249406e-05,8.836802816763959e-05,8.836137919325818e-05,8.836802943486883e-05,8.836806051804712e-05,8.836885604755483e-05,8.831885315623648e-05,8.849852950131286e-05,8.838266198938572e-05,8.835405621186276e-05,8.835909519523274e-05,8.837341681830557e-05,8.839845003312871e-05,0.0,0.0
tRNA_biomass_to_biomass,0.0007182061105693248,0.0005228866751063457,0.0005228000939459664,0.0005227997021266677,0.0005227602871167676,0.0005227997096140909,0.0005227998932228207,0.0005228050060011271,0.0005225089582281792,0.0005235717688987918,0.0005228871848815602,0.0005227165031647666,0.0005227470742397726,0.0005228315838816108,0.0005229796520175922,0.0,0.0
rRNA_biomass_to_biomass,0.005195975337816634,0.003869753335944835,0.00386911301882726,0.00386911011990782,0.003868818408915977,0.0038691101753286824,0.0038691115337382447,0.00386914849378358,0.0038669586126939904,0.0038748370032411013,0.0038697528574024864,0.0038684964330127267,0.003868720655184163,0.0038693463136524925,0.003870442948296441,0.0,0.0
ncRNA_biomass_to_biomass,9.250501060078177e-06,2.5870355912152897e-05,2.587851345021755e-05,2.5878505007730338e-05,2.5874117167995578e-05,2.5878505187686597e-05,2.5878510758891255e-05,2.587350291562399e-05,2.5872730626939363e-05,2.5881195332078337e-05,2.5873941051490528e-05,2.5857169616558205e-05,2.588720796120897e-05,2.587974444174128e-05,2.5878446696804202e-05,0.0,0.0
DNA_biomass_to_biomass,0.0060290193026438475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.019498919023966315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.014183282505763303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,6.395002983864927e-05,2.2793920076049085e-05,2.2776603555379188e-05,2.2776584065989038e-05,2.277522866990157e-05,2.277658445210117e-05,2.2776592808000195e-05,2.2739166259586004e-05,2.2726468040846926e-05,2.28145282782184e-05,2.2744711464086427e-05,2.2784367623400672e-05,2.2756865678683743e-05,2.277730850314533e-05,2.2786997501151054e-05,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
