Locus_tag,SMM_1_hyb25347102,SMM_2_hyb25346902,SMM_3_hyb25346702,Salt_1_hyb25345102,Salt_2_hyb25344802,Salt_3_hyb25347202
new_1_148,8.9801,9.1283,8.7507,8.6957,8.4264,8.0463
new_24_297_c,8.9902,9.1958,9.0092,9.2947,9.4103,9.052999999999999
new_150_409,14.1354,13.9792,14.1269,13.3635,13.2929,13.3097
new_299_1067_c,8.038,8.3383,7.6496,8.2526,8.1673,7.7753
BSU00010,13.3262,13.2237,13.3072,12.3451,12.1473,12.362
new_1751_1938,13.2899,13.1579,13.1692,12.1855,12.1982,12.3197
BSU00020,12.7087,12.587,12.5739,11.3249,11.2229,11.3005
BSU00030,13.1159,12.9697,12.6825,13.8423,13.5479,13.8832
BSU00040,13.2598,13.3575,13.435,13.6087,13.4794,13.6546
BSU00050,13.3772,13.4969,13.3287,13.6896,13.6779,13.931
BSU00060,13.2018,13.204,13.2881,13.4325,13.3122,13.5417
new_6784_6993,12.8615,12.9033,12.9548,13.0692,13.2766,13.3953
BSU00070,13.52,13.4669,13.5263,13.3821,13.2885,13.4435
new_9529_9614,14.8507,14.8488,14.404000000000002,14.0104,14.1392,14.2161
new_14811_15868,9.3061,9.3065,9.4455,9.7104,9.732000000000001,9.4681
BSU00080,7.2884,7.1758,7.0544,8.3904,8.6302,8.3247
BSU00090,14.614,14.3904,14.5672,13.039000000000001,12.9641,13.2715
new_17238_17833_c,8.0178,8.1044,7.7486,10.6634,11.3769,10.9447
new_17453_17533,14.2407,14.0172,14.0226,12.4407,11.9983,12.4283
BSU00100,13.8199,13.6756,13.8071,12.3017,12.1413,12.362
new_18866_18974,13.3334,13.0538,13.4561,11.9062,11.8844,12.0562
new_18976_19061,15.2356,15.2981,15.0613,13.1671,12.9253,13.075999999999999
BSU00110,15.1315,14.933,14.9961,12.9229,12.6712,13.0551
new_19194_19923_c,7.417999999999999,7.6019,7.1149,7.3191,7.3195,7.1724
BSU00120,15.0495,15.1099,15.0445,13.0602,12.9108,13.0876
BSU_misc_RNA_1,14.1123,14.0315,14.1132,13.064,12.6769,12.9749
BSU00130,12.6109,12.5315,12.5256,11.6187,11.5016,11.6104
new_22452_22529,8.459,8.2178,8.7266,9.1017,8.8306,8.8669
BSU00140,11.2862,11.3453,11.4117,10.9394,10.9655,11.1222
new_22531_23167,7.9906,7.9592,7.9543,8.3367,8.2897,8.2398
BSU00150,11.7193,11.7066,11.8328,11.4953,11.338,11.4909
BSU00160,7.854,8.1571,8.4559,11.8009,12.0077,11.7049
BSU00170,7.7422,7.5759,7.5647,13.1636,13.3806,13.0427
new_25655_25851,11.210999999999999,11.2694,11.3274,11.7516,11.404000000000002,11.4601
BSU00180,10.8407,10.82,10.8559,11.632,11.588,11.67
new_26383_26532,14.2964,14.2963,14.3241,14.672,14.075,13.8892
BSU_misc_RNA_2,14.4556,14.5455,14.3371,14.7655,14.2701,14.1713
new_26636_26731,14.1706,14.2282,14.1098,14.5468,14.2293,14.0531
BSU00190,12.0775,12.0166,12.1356,11.7838,11.7119,11.7733
BSU00200,14.0257,14.0646,13.882,14.3539,14.1877,14.2248
BSU00210,12.623,12.5538,12.5323,12.6745,12.6894,12.7962
BSU00220,11.7273,11.5848,11.6413,11.5098,11.3833,11.8278
BSU00230,10.72,10.8429,11.0325,10.7397,10.7894,10.9163
new_30076_30278,15.1337,15.0878,14.8129,14.4498,14.8388,14.9149
new_35104_35236,11.4864,12.0842,11.7907,11.9632,12.062999999999999,11.9775
new_35356_35458,10.6148,10.5954,10.7984,11.3456,11.4061,11.1947
BSU00240,10.6713,10.5856,10.8064,11.3102,11.3065,11.130999999999998
BSU00250,12.3079,12.2165,12.112,13.7834,13.5545,14.0256
BSU00260,11.7574,11.9073,11.9249,13.3545,13.2614,13.6361
new_37639_37719,11.6518,11.4767,11.7148,13.1016,12.7933,13.3544
BSU00270,11.4962,11.4807,11.5398,12.1486,11.9018,12.3947
BSU00280,11.4417,11.4853,11.5132,12.6583,12.671,12.725999999999999
BSU00290,12.8321,12.6367,12.7063,13.9756,13.777999999999999,13.9386
BSU00300,13.4213,13.3832,13.3155,14.4741,14.4485,14.6481
BSU00310,13.0528,12.9265,12.9273,13.8911,13.9021,14.0708
BSU00320,13.4619,13.4637,13.546,13.917,13.9293,14.0256
BSU00330,12.8122,12.9403,12.9588,13.6129,13.3082,13.4255
BSU00340,11.3597,11.3575,11.4802,11.5546,11.3888,11.4807
BSU00350,11.890999999999998,11.8048,11.9392,11.7543,11.7453,11.7979
BSU00360,11.4734,11.5365,11.5855,11.3549,11.3768,11.4557
BSU00370,13.3333,13.2599,13.3772,13.3219,13.3498,12.9817
new_45224_45399_c,8.8366,9.0227,9.3263,8.588,8.5875,8.6083
new_45524_45632,13.1353,13.0694,12.9829,12.7842,12.6665,12.5993
BSU00380,12.8845,12.8307,12.8809,12.3519,12.2255,12.4697
new_47673_50019_c,9.8097,10.1226,9.9918,11.4584,11.6248,11.7456
BSU00390,11.0456,10.9128,10.9761,10.652000000000001,10.3851,10.6408
new_48474_48554,11.0579,11.1553,11.0321,10.6735,10.0659,10.597000000000001
BSU00400,12.787,12.8045,13.1435,11.2516,10.9545,10.533
new_49987_50086,12.1735,12.1794,12.4283,11.8723,12.0448,12.075
BSU00410,11.2506,11.1289,11.1991,11.2894,11.3134,11.3284
BSU00420,10.6528,10.6402,10.6893,10.6424,10.7582,10.6784
new_51558_51679,7.4211,7.3025,7.2918,7.5348,7.4843,7.5802
BSU00430,7.3291,7.0847,7.1018,7.35,7.3611,7.2968
new_52649_52719,7.3317,7.1715,8.3258,7.1567,7.5527,7.0812
BSU00440,14.4752,14.8244,14.8089,15.7839,15.1884,15.2755
new_53111_53182,8.5053,8.4085,8.5537,9.2768,9.4874,9.3351
BSU00450,8.5505,8.4602,8.5598,9.4434,9.5113,9.5635
new_53363_55717_c,7.6508,7.8252,7.3915,7.8499,7.7778,7.2908
BSU00460,12.2967,12.3089,12.4851,12.5694,12.5285,12.6388
BSU00470,13.3411,13.1691,13.3361,12.7136,12.6365,12.6719
BSU00480,14.1029,14.0989,13.9217,13.2329,13.3464,13.4925
new_55707_55815,9.4039,9.5674,9.6779,9.2111,9.4581,9.5803
BSU00490,15.5623,15.5755,15.6557,15.1275,14.9519,14.9238
new_56193_56304,9.4622,9.4439,9.427999999999999,8.9716,9.1818,9.1234
BSU00500,13.7887,13.8082,13.7706,12.9051,12.852,13.0915
BSU00510,13.6772,13.5605,13.6612,12.7715,12.6569,12.7994
BSU00520,13.6693,13.6471,13.6636,16.452,16.4391,16.4256
BSU00530,11.8893,11.8022,11.8051,13.2165,13.2537,13.2832
BSU00540,11.9842,11.9874,12.0323,13.2348,13.2693,13.2568
new_60361_60429,11.7688,11.5771,11.5423,12.6261,12.6932,12.6217
BSU00550,11.584000000000001,11.4715,11.562000000000001,12.4817,12.4987,12.5758
new_64001_64098,11.5357,11.334000000000001,11.5783,12.3033,12.3751,12.5158
BSU00560,11.4116,11.262,11.3873,12.261,12.2294,12.3834
BSU00570,10.1081,9.995,10.0385,10.9101,10.8384,11.0622
BSU00580,12.8592,12.5363,12.7958,12.5536,12.3563,12.5725
BSU00590,12.6694,12.6118,12.7713,12.4443,12.3861,12.5262
BSU00600,12.7396,12.5501,12.5167,12.2242,12.2575,12.3259
BSU00610,12.6653,12.6787,12.6785,12.7938,12.7904,12.807
BSU00620,13.6151,13.6872,13.5942,14.2498,14.2102,14.304
BSU00630,14.4057,14.4808,14.4526,14.8622,14.5649,14.8025
new_70382_70493,9.016,9.2469,9.4019,8.6901,8.6254,8.7948
BSU00640,8.6589,8.8232,9.177999999999999,8.3643,8.1559,8.4545
new_71190_71799_c,7.268,7.2756,7.3329,7.4555,7.4534,7.2239
BSU00650,9.5671,9.766,9.8477,10.5601,10.8182,10.5179
BSU00660,8.471,8.5119,8.6035,9.81,9.783,9.742
BSU00670,12.4476,12.3277,12.4684,14.1478,14.1699,14.2595
BSU00680,13.9914,13.8256,13.8605,14.3681,14.3838,14.6121
new_76887_76983,14.2992,14.0316,14.2378,14.8402,14.8176,15.0353
BSU00690,14.929,14.8939,14.9051,15.66,15.5804,15.6539
new_78940_79025,9.6657,9.4031,9.6445,10.5649,10.398,10.6802
new_79027_79091,11.213,11.8002,11.5291,11.7204,11.3008,11.832
BSU00700,11.604000000000001,11.4992,11.5496,11.7034,11.715,11.8525
BSU00710,11.5811,11.4093,11.5241,11.402000000000001,11.3151,11.5047
BSU00720,11.3986,11.3881,11.3728,10.4527,10.2432,10.5549
BSU00730,13.9955,14.0846,14.1401,13.7246,13.6576,13.4248
BSU00740,11.6547,11.5479,11.5721,10.616,10.5269,10.6246
BSU00750,12.741,12.6997,12.7465,12.1021,11.9491,12.0795
BSU00760,12.4201,12.3262,12.3414,11.4919,11.3311,11.630999999999998
BSU00770,12.3726,12.4301,12.3292,11.4693,11.270999999999999,11.4697
BSU00780,12.7015,12.4139,12.3897,11.565999999999999,11.4054,11.6414
BSU00790,12.5902,12.537,12.4426,11.5461,11.5525,11.5713
BSU00800,13.0001,13.0233,13.0111,12.6707,12.3905,12.5849
BSU00810,13.4754,13.3983,13.4712,12.9931,12.7435,13.1643
new_88050_89566_c,7.8443,7.9903,7.6048,7.9712,7.8532,7.3748
new_88636_88726,13.6499,13.5151,13.6017,13.1775,13.0429,13.2338
BSU00820,13.4755,13.4821,13.5114,13.084000000000001,12.9358,13.1286
new_90318_90535,15.3164,15.6076,15.2424,14.4928,13.9575,14.3992
new_101212_101289,9.3225,9.5983,10.4532,9.8017,10.3028,9.7906
BSU00830,12.9278,12.9468,12.869000000000002,14.9236,14.8879,15.0342
BSU00840,12.2623,12.2636,12.2614,14.6097,14.5475,14.5338
BSU00850,12.3799,12.3932,12.4143,14.6663,14.4468,14.6805
BSU00860,12.5366,12.5709,12.554,14.7058,14.6724,14.638
BSU00870,12.0908,12.157,11.8663,14.0433,13.9228,14.026
BSU00880,12.6106,12.4894,12.3371,14.171,14.1011,14.3221
new_108559_108673,12.9268,12.775,12.6322,14.2452,14.2847,14.3994
BSU00890,13.0905,13.0402,12.7984,14.2719,14.2887,14.3954
BSU00900,12.4103,12.3408,12.5217,13.6349,13.9314,13.8091
BSU00910,11.8691,11.6926,11.6829,12.8065,12.5319,12.7787
BSU00920,13.7062,13.6617,13.779000000000002,13.7953,13.722000000000001,13.9447
new_112499_112799,13.1372,13.4346,13.7302,13.0652,13.7814,13.7254
BSU00930,11.8002,11.6184,11.6693,11.5601,11.3089,11.6768
BSU00940,11.9646,11.8421,11.9272,11.7651,11.6398,11.9233
BSU00950,12.1545,11.943,11.9786,12.0241,11.7465,12.140999999999998
BSU00960,12.2484,12.1236,12.116,12.048,11.8736,12.1278
BSU00970,12.7143,12.4364,12.282,12.3521,12.3693,12.4969
BSU00980,14.8214,14.7264,14.8308,14.7045,14.5617,14.7798
new_117257_117348,14.6575,14.8548,14.8524,14.550999999999998,14.6005,14.8666
BSU00990,13.8147,13.9514,14.0443,13.8139,13.3989,13.8332
BSU01000,13.5745,13.6095,13.5787,13.3435,13.2928,13.3963
new_117712_117889,13.4611,13.4536,13.4807,12.6996,12.9079,12.8684
BSU01010,13.7379,13.556,13.5538,12.8053,12.5495,12.8383
