,response_me,essentiality_me,response_m,essentiality_m,true_essentiality
b4025,0.8944684719056125,+,-0.006354504833533604,0,0
b0617,0,0,-9.425412970340047e-14,0,0
b0151,0,0,-1.2748040564200928e-13,0,0
b3733,0.03205300819254632,+,0,0,0
b2744,2.245659238469122,+,1.175351257692284e-14,0,0
b1592,0,0,0,0,0
b2874,1.209192729467238,+,0,0,0
b2010,0,0,0,0,0
b3772,0,0,0,0,0
b2920,0,0,-1.3765171460280788e-13,0,0
b0785,0,0,-1.0,e,0
b3029,0,0,-3.2661203218564435e-14,0,0
b4265,0,0,-2.0342617921597226e-14,0,0
b3380,0,0,0,0,0
b2038,0,0,-6.950394456545719e-14,0,0
b3200,-1.0,e,-1.0,e,0
b2297,0,0,0,0,0
b0734,0,0,0,0,e
b3426,0,0,0,0,0
b0051,-1.0,e,,,0
b3289,-1.0,e,,,0
b3304,-1.0,e,,,e
b1398,0,0,-3.220914504252894e-14,0,0
b1714,-1.0,e,-2.0003574289570606e-14,0,e
b2045,0,0,0,0,0
b2527,1.143250019562884,+,,,e
b2697,-1.0,e,-6.147991194082717e-14,0,e
b1723,0.4497530062414673,+,0,0,0
b0177,-1.0,e,,,e
b3708,0,0,-0.0002946195330114647,0,0
b2810,0,0,-6.317513010096027e-14,0,0
b0997,0,0,0,0,0
b1089,-1.0,e,,,e
b2723,0,0,0,0,0
b2711,0,0,0,0,0
b2467,0,0,-7.131217726959917e-14,0,0
b0103,-1.0,e,-0.9999999999879612,e,e
b3480,0,0,0,0,0
b1612,1.636129053898715,+,0,0,0
b3359,-1.0,e,-1.0,e,0
b2614,-1.0,e,,,e
b1123,0,0,0,0,e
b3856,0,0,0,0,0
b3406,-1.0,e,,,0
b3749,0,0,0,0,0
b2930,0,0,0,0,0
b4367,0,0,-9.380207152736498e-15,0,0
b0935,0,0,-4.2832512179363046e-14,0,0
b3339,1.3108992039302065,+,,,e
b3809,-1.0,e,-1.0,e,e
b1244,0,0,-7.978826807026468e-14,0,0
b3640,0,0,0,0,e
b2540,0,0,3.718178497891937e-14,0,e
b1637,-1.0,e,-8.73602425188592e-14,0,e
b0863,0,0,0,0,0
b0697,0,0,0,0,0
b4162,-1.0,e,,,0
b2324,-1.0,e,,,0
b0421,-1.0,e,-1.0,e,e
b3006,0,0,-6.758269731730634e-14,0,0
b3821,0,0,-5.944565014866744e-14,0,0
b3870,0,0,0,0,0
b2329,-1.0,e,-1.0,e,0
b3028,0,0,7.831907899814932e-14,0,0
b2780,-1.0,e,-1.0,e,e
b3560,-1.0,e,0,0,e
b1386,0,0,-2.870569417825386e-14,0,0
b4094,0.07449599129440639,+,-4.724007939570911e-14,0,0
b0058,-1.0,e,,,e
b3390,-0.7427637199378393,-,0,0,e
b2114,-1.0,e,-1.2996672561020449e-13,0,e
b3653,0,0,0,0,0
b3115,0,0,-2.4863199681952165e-14,0,0
b0759,0,0,-1.2205570752958336e-14,0,0
b2476,-1.0,e,-1.0,e,0
b3980,0,0,,,e
b3340,-1.0,e,,,e
b0857,0,0,0,0,0
b3018,-1.0,e,-1.0,e,e
b2284,-0.2890512101621024,-,-0.11072915513561345,-,0
b2441,0,0,-1.1256248583283798e-13,0,0
b0420,-1.0,e,-1.0,e,e
b3624,0,0,-5.989770832470293e-14,0,0
b3542,0,0,-1.1855225666530828e-13,0,0
b2318,-1.0,e,,,0
b2423,0,0,0,0,e
b3458,0,0,0,0,0
b2877,0,0,6.102785376479168e-15,0,0
b0155,0,0,0,0,0
b1485,0,0,0,0,e
b4375,-1.0,e,,,0
b4477,0,0,-6.294910101294252e-14,0,0
b2722,0,0,0,0,0
b2803,0,0,-1.66131379693044e-13,0,0
b1693,-1.0,e,-1.0,e,0
b0175,-1.0,e,-1.0,e,e
b4130,0,0,0,0,0
b4024,-0.14886308380523205,-,0,0,0
b3565,0,0,1.917856811830583e-13,0,0
b0037,0,0,-4.972639936390433e-14,0,0
b2028,0,0,-2.121282991046555e-13,0,0
b0911,-1.0,e,,,e
b2243,0,0,-9.323699880732062e-14,0,0
b3431,0,0,-3.017488325036922e-14,0,0
b1525,0,0,0,0,0
b1701,0,0,0,0,0
b2315,-1.0,e,-1.0,e,0
b3793,0,0,5.6507272004436734e-15,0,e
b2702,0,0,-4.4075672163460654e-14,0,0
b3849,0,0,0,0,0
b3412,-1.0,e,-1.0,e,0
b3734,0.03205300819254632,+,0,0,0
b0160,0,0,6.147991194082717e-14,0,0
b3992,-1.0,e,-1.0,e,0
b0485,0,0,0,0,0
b4478,0,0,-6.023675195672956e-14,0,0
b2988,0,0,-7.515467176590086e-14,0,0
b0807,-1.0,e,,,0
b1119,0,0,-5.4586024756285885e-14,0,0
b0929,0,0,0,0,0
b3500,-1.0,e,-3.752082861094599e-14,0,e
b3844,-0.58990915831325,-,-0.0022614530033788836,0,0
b3642,-1.0,e,-1.0,e,0
b2536,0,0,-9.086369338313427e-14,0,0
b1719,-1.0,e,0,0,e
b0998,0,0,,,e
b1866,-1.0,e,0,0,e
b3091,0,0,0,0,0
b1922,-1.0,e,,,0
b1096,-1.0,e,-1.0,e,0
b2065,0,0,0,0,0
b0085,-1.0,e,-1.0,e,e
b2414,-0.07218201748456454,-,0,0,0
b1114,-1.0,e,,,0
b0408,-1.0,e,,,e
b4090,-0.19866285180218002,-,-1.4092913637906522e-13,0,0
b1919,0,0,-9.62883914955602e-14,0,0
b2708,0,0,0,0,0
b0023,-1.0,e,,,e
b2288,-0.2890512101621024,-,-0.11072915513561345,-,0
b0436,-1.0,e,,,0
b0622,0,0,-9.900074055177317e-14,0,0
b0679,0,0,0,0,0
b0588,0,0,-5.944565014866744e-14,0,0
b2283,-0.2890512101621024,-,-0.11072915513561345,-,0
b1679,0,0,-9.368905698335611e-14,0,0
b0341,0,0,-7.96752535262558e-14,0,0
b3981,-1.0,e,,,e
b0728,2.0880648382371874,+,-0.0029439445967727436,0,0
b3433,-1.0,e,-1.0,e,e
b3643,2.0206524109047757,+,,,0
b1215,-1.0,e,-1.0,e,e
b1656,0,0,0,0,0
b0349,0,0,-1.7777187772595796e-13,0,0
b2677,0,0,0,0,0
b0067,0,0,-1.57203230716343e-13,0,0
b2150,0,0,0,0,e
b1589,0,0,1.2928863834615126e-13,0,e
b1768,0,0,-9.854868237573767e-14,0,0
b1276,2.1581191362209977,+,0,0,0
b2836,-1.0,e,-0.01052069031524494,-,0
b3703,-1.0,e,,,e
b1873,0,0,-5.5377126564348e-14,0,0
b1779,1.5720395019211788,+,-0.12857792741319285,-,e
b1767,0,0,0,0,0
b3789,0,0,0,0,0
b1261,-1.0,e,-1.0,e,0
b3012,0,0,0,0,0
b0789,0,0,0,0,0
b2957,0,0,-1.4239832545118057e-14,0,e
b1269,-1.0,e,,,e
b4544,0,0,-1.103021949526605e-13,0,0
b4153,0,0,7.899716626220256e-14,0,0
b2262,0,0,-1.5822036161242287e-13,0,0
b3058,-1.0,e,-1.0,e,0
b1223,0,0,0,0,0
b1227,0,0,0,0,0
b2156,0,0,0,0,0
b4381,0,0,-6.170594102884492e-14,0,0
b3452,0,0,-1.469189072115355e-15,0,0
b3460,0,0,3.92160467710791e-14,0,0
b2458,0,0,0,0,0
b3187,-1.0,e,-1.0,e,e
b4471,0,0,0,0,0
b3146,-0.011209742121295848,-,,,0
b2867,0.5873525984914607,+,-6.780872640532408e-16,0,0
b1852,0.6125703843655832,+,-0.006983373266558011,0,e
b3365,0,0,2.0568647009614973e-14,0,0
b1638,0,0,-1.0193911869600387e-13,0,0
b4142,-1.0,e,,,e
b0526,-1.0,e,0,0,e
b3744,0,0,-0.0009988140701661736,0,0
b2871,0,0,1.7065196145339895e-14,0,0
b3478,0,0,0,0,0
b0652,0,0,0,0,e
b3320,-1.0,e,,,e
b2232,-0.30410381797588926,-,-4.2832512179363046e-14,0,e
b0052,-1.0,e,-1.0,e,0
b3198,-1.0,e,-1.0,e,0
b3307,-1.0,e,,,e
b3196,0,0,-1.0,e,0
b3370,0,0,-9.12027370151609e-14,0,0
b2818,-1.0,e,-1.0,e,0
b3736,0.03205300819254632,+,0,0,e
b4071,0,0,-5.6055213828401246e-14,0,0
b4006,-1.0,e,-1.0,e,0
b2901,0,0,-4.565787577958488e-14,0,0
b3456,0,0,3.92160467710791e-14,0,0
b0242,-0.37876261058703015,-,-0.0009160197589509543,0,0
b3317,-1.0,e,,,e
b0414,-1.0,e,-1.0,e,e
b0862,0,0,0,0,0
b1480,-1.0,e,,,0
b0040,0,0,-3.8311930419008104e-14,0,0
b3785,0,0,5.6507272004436734e-15,0,0
b4238,2.199536475253164,+,0,0,0
b3620,0,0,-7.492864267788311e-14,0,0
b2344,0,0,-1.2657628928993829e-14,0,0
b0025,-1.0,e,-1.0,e,e
b0578,0,0,0,0,0
b3993,-1.0,e,-1.0,e,0
b0133,-1.0,e,-0.9999999999879424,e,0
b2800,0,0,0,0,0
b4390,0,0,0,0,0
b2032,0,0,-8.363076256656637e-15,0,0
b0854,0,0,0,0,0
b3816,0,0,-1.3396904257359594e-06,0,e
b1602,0,0,-5.379492294822377e-14,0,0
b0831,0,0,4.85962539238156e-15,0,0
b4394,0,0,0,0,0
b0062,0,0,-8.385679165458412e-14,0,0
b1442,0,0,0,0,e
b2508,0,0,-0.0010098288189859135,0,0
b3600,0,0,-4.746610848372686e-14,0,0
b2797,0,0,0,0,0
b3926,0,0,4.023317766715896e-14,0,0
b2285,-0.2890512101621024,-,-0.11072915513561345,-,0
b2290,0.8493503226519762,+,0,0,0
b0928,-1.0,e,-1.0,e,0
b3447,0,0,3.582561045081289e-14,0,0
b4481,0,0,-8.125745714238002e-14,0,0
b2796,0,0,0,0,0
b0592,0,0,-5.944565014866744e-14,0,e
b3345,-1.0,e,,,e
b0978,0,0,1.7856297953402008e-14,0,0
b0086,-1.0,e,-1.0,e,e
b1062,-1.0,e,-1.0,e,0
b4240,0,0,-7.944922443823805e-14,0,0
b0237,0,0,-6.47573337170845e-14,0,0
b2239,0,0,-8.532598072669947e-14,0,0
b2260,0,0,-1.1606593669711305e-13,0,e
b0813,0,0,0,0,0
b0573,0,0,-4.8257210291788975e-14,0,0
b1654,-1.0,e,0,0,e
b0945,1.113671239172383,+,-2.565430149001428e-14,0,0
b3306,-1.0,e,,,e
b1732,0,0,0,0,0
b3636,-1.0,e,,,e
b2813,0,0,0,0,0
b2882,0,0,0,0,0
b2960,-1.0,e,,,0
b0775,-1.0,e,-1.0,e,0
b0811,0,0,1.7065196145339895e-14,0,0
b0411,0,0,-5.311683568417053e-15,0,0
b2162,0,0,0,0,0
b1392,0,0,4.3171555811389667e-14,0,0
b2223,0,0,2.3710451333061656e-13,0,0
b0118,0,0,5.334286477218828e-14,0,0
b3389,-1.0,e,-1.0,e,0
b1748,0,0,-3.853795950702585e-14,0,0
b0514,0,0,0,0,0
b3836,0,0,,,0
b0516,0,0,-3.141804323446683e-14,0,0
b3181,-1.0,e,,,0
b0104,0,0,-2.8140621458209496e-14,0,0
b2501,-0.849991895095451,-,-0.014323525483951048,-,0
b3619,0,0,1.8477877945450813e-13,0,0
b1207,0.8622638774511212,+,1.5573404164422765e-13,0,e
b2131,0,0,1.299667256102045e-14,0,0
b0126,0,0,0,0,e
b2095,0,0,0,0,0
b2868,0.5873525984914607,+,-6.780872640532408e-16,0,0
b4208,0.6831886906711835,+,-0.000647889370386114,0,0
b2133,0,0,-9.504523151146259e-14,0,0
b4382,-0.0003557569563270193,0,-2.0602551372817635e-13,0,0
b0593,0,0,0,0,0
b1090,0,0,-2.6897461474111886e-14,0,0
b4084,0,0,-1.10754253128696e-14,0,0
b4119,0,0,-1.695218160133102e-15,0,0
b3454,0,0,3.92160467710791e-14,0,0
b2678,0,0,0,0,0
b0063,0,0,7.730194810206945e-14,0,0
b2564,-1.0,e,-1.0,e,e
b1238,-0.01209552704611823,-,5.4925068388312505e-14,0,e
b1300,0,0,-8.634311162277933e-14,0,0
b1277,-1.0,e,-1.0,e,e
b0615,0,0,-9.425412970340047e-14,0,0
b2025,-1.0,e,-1.0,e,0
b3321,-1.0,e,,,e
b4192,0,0,-1.3516539463461268e-13,0,0
b3132,0,0,0,0,0
b3650,0,0,0,0,e
b2551,-1.0,e,-0.014263932384782367,-,e
b0112,0,0,-1.141446894489622e-14,0,0
b3630,0,0,-5.503808293232138e-14,0,0
b4196,0,0,0,0,0
b0508,0,0,-3.3000246850591055e-14,0,0
b1390,0,0,4.3171555811389667e-14,0,e
b3930,0,0,-7.718893355806058e-14,0,0
b3591,0,0,-3.548656681878627e-14,0,0
b0077,0.8281173148377968,+,0,0,0
b3627,0,0,5.130860298002856e-14,0,0
b1084,-1.0,e,,,e
b4230,0,0,0,0,0
b0584,0,0,7.79800353661227e-15,0,0
b0529,-1.0,e,-0.011883202710426683,-,0
b3804,-1.0,e,-1.0,e,e
b0572,0,0,-4.8257210291788975e-14,0,0
b1521,0,0,-3.6277668626848383e-14,0,0
b3175,-1.0,e,,,0
b3779,0,0,0,0,0
b0428,-0.6125821691122559,-,-2.4863199681952165e-14,0,0
b3578,0,0,2.113371972965934e-14,0,0
b3925,0,0,0,0,0
b3282,-1.0,e,,,0
b4085,0,0,-1.073638168084298e-13,0,0
b0639,-1.0,e,-0.9999999999992303,e,e
b1246,0,0,-7.978826807026468e-14,0,e
b1859,0,0,-3.6616712258875004e-14,0,0
b1524,0,0,0,0,0
b2741,-0.7423269140695161,-,,,0
b2307,0,0,-1.525696344119792e-14,0,0
b0002,0,0,0,0,0
b4383,0,0,-8.3065689846522e-14,0,0
b1301,0,0,-4.486677397152277e-14,0,0
b1192,0,0,8.826435887093019e-14,0,0
b0340,0,0,4.497978851553164e-14,0,e
b3541,0,0,-1.1855225666530828e-13,0,0
b1467,0,0,0,0,0
b3622,0,0,1.0171308960798613e-14,0,0
b2035,0,0,-1.2668930383394716e-13,0,0
b0616,0,0,-9.425412970340047e-14,0,0
b0810,0,0,1.7065196145339895e-14,0,e
b2286,-0.2890512101621024,-,-0.11072915513561345,-,0
b3224,0,0,8.792531523890356e-14,0,0
b2029,0.5972640859978674,+,-0.006983373266604799,0,0
b2066,0,0,-1.5110044533986384e-13,0,0
b0452,1.1734904474710464,+,-0.010520690315369709,-,0
b2264,0,0,6.204498466087154e-14,0,0
b4035,0,0,-1.7189512143749655e-13,0,0
b2170,0,0,0,0,0
b3553,0,0,-5.311683568417053e-14,0,0
b1378,1.3416896047972853,+,0,0,0
b3416,0,0,-3.503450864275078e-15,0,0
b0511,0,0,3.040091233838697e-14,0,0
b1216,0,0,-6.147991194082717e-14,0,0
b3623,0,0,1.9551516113535112e-14,0,0
b0731,0,0,5.820249016456984e-14,0,0
b1623,0,0,-1.0747683135243868e-13,0,0
b1133,-1.0,e,,,e
b2235,0,0,0,0,e
b2373,0,0,-1.729122523335764e-14,0,0
b3295,-1.0,e,,,e
b3450,0,0,-1.469189072115355e-15,0,0
b2132,0,0,-2.7462534194156253e-14,0,0
b2963,0,0,0,0,0
b1466,0,0,0,0,0
b0777,-1.0,e,-1.0,e,0
b3231,-1.0,e,,,e
b0099,-0.06918359762964386,-,0,0,0
b4019,0,0,0,0,0
b1325,0,0,-4.950037027588658e-14,0,0
b3296,-1.0,e,,,e
b2279,-0.2890512101621024,-,-0.11072915513561345,-,0
b1812,-1.0,e,-1.0,e,0
b1326,0,0,-1.7438144140569177e-13,0,e
b0314,0,0,0,0,0
b1692,0.27728180186743817,+,-9.696647875961344e-14,0,0
b4040,-1.0,e,-1.0,e,0
b2687,-1.0,e,-1.0,e,0
b3738,0.03205300819254632,+,0,0,0
b1009,0,0,-9.12027370151609e-14,0,0
b3428,0,0,0,0,0
b1622,2.217229007977126,+,0,0,0
b4231,0,0,0,0,0
b1992,0,0,-1.930288411671559e-13,0,0
b0365,0,0,5.164764661205518e-14,0,0
b2198,0,0,-3.6616712258875004e-14,0,0
b1344,-1.0,e,,,0
b1870,-1.0,e,,,0
b2097,0,0,0,0,0
b0172,-1.0,e,,,e
b3571,0,0,-2.8931723266271607e-14,0,0
b0092,0,0,0,0,e
b0875,0,0,0,0,0
b3457,0,0,3.92160467710791e-14,0,0
b1241,0,0,0,0,0
b0431,-0.6125821691122559,-,-0.09039367653705294,-,0
b2683,0,0,0,0,0
b2791,-1.0,e,,,0
b2914,0,0,0,0,0
b2893,0,0,-1.1448373308098884e-13,0,0
b3464,-1.0,e,,,e
b1380,0,0,0,0,0
b3540,0,0,-1.1855225666530828e-13,0,0
b2200,0,0,-3.6616712258875004e-14,0,0
b0859,-1.0,e,,,0
b3957,-1.0,e,-1.0,e,0
b1308,0,0,-3.526053773076852e-14,0,e
b4254,-0.8129937517406582,-,0,0,0
b0589,0,0,-5.944565014866744e-14,0,0
b3371,0,0,-1.7528555775776276e-13,0,0
b3384,-1.0,e,-2.8366650546227243e-14,0,e
b4073,0,0,-5.6055213828401246e-14,0,0
b0343,0,0,-1.7019990327736344e-13,0,0
b2610,-1.0,e,,,e
b1991,0,0,-7.538070085391861e-14,0,0
b2912,0,0,-4.3171555811389667e-14,0,0
b2341,1.776017389548209,+,0,0,0
b2600,-1.0,e,-1.0,e,0
b1805,0,0,0,0,0
b2183,-1.0,e,,,0
b3951,0,0,0,0,0
b0007,0,0,1.4465861633135803e-14,0,0
b1871,-1.0,e,,,e
b2257,0,0,-2.4953611317159265e-13,0,0
b1092,-1.0,e,-1.0,e,e
b0767,0.6125703843655832,+,-0.006983373266675207,0,0
b3983,-1.0,e,,,e
b3165,-1.0,e,,,e
b4131,0,0,0,0,0
b3826,0,0,0,0,0
b3843,0,0,-1.0,e,0
b4088,0,0,-6.600049370118211e-14,0,0
b2606,-1.0,e,,,e
b2276,-0.2890512101621024,-,-0.11072915513561345,-,0
b3202,-0.023908664558678225,-,,,e
b3919,2.1330915951958977,+,-0.03595206213069821,-,0
b3052,0,0,8.928148976701004e-15,0,0
b2715,0,0,0,0,0
b1064,0,0,0,0,0
b2947,0,0,-1.2623724565791167e-13,0,e
b0636,-1.0,e,,,e
b3318,-1.0,e,,,e
b0047,0,0,0,0,0
b4200,-1.0,e,,,e
b3127,0,0,0,0,0
b2407,0,0,6.30621155569514e-14,0,0
b2224,0,0,0,0,0
b0628,-0.559342390962544,-,3.413039229067979e-14,0,0
b2937,0,0,-2.4863199681952165e-14,0,0
b0173,-1.0,e,-1.0,e,e
b0729,2.0880648382371874,+,-0.0029439445967727436,0,0
b4195,0,0,-7.899716626220256e-14,0,0
b2022,-1.0,e,-1.0,e,0
b3005,0,0,-6.758269731730634e-14,0,0
b3117,1.3017696213326666,+,0,0,0
b3706,-1.0,e,,,e
b0736,0,0,-6.848681366937732e-14,0,e
b2425,0,0,0,0,0
b3429,-1.0,e,-1.307578274182666e-13,0,0
b1014,0,0,7.187724998964353e-14,0,0
b4233,0,0,-6.272307192492478e-14,0,0
b1131,-1.0,e,-0.9999999999984889,e,0
b4407,-1.0,e,-1.0,e,0
b2747,-1.0,e,-1.0,e,e
b1262,-1.0,e,-1.0,e,0
b2024,-1.0,e,-1.0,e,0
b3300,-1.0,e,,,e
b0937,0,0,0,0,0
b4015,0,0,3.3000246850591055e-14,0,0
b2130,0,0,1.299667256102045e-14,0,0
b1469,0,0,0,0,0
b2935,0,0,0,0,e
b3265,0,0,0,0,0
b3247,-1.0,e,,,0
b3588,0,0,-8.487392255066397e-14,0,0
b0839,0,0,0,0,0
b3580,0,0,9.018560611908103e-14,0,0
b0090,-1.0,e,-1.0,e,e
b0678,0,0,-7.210327907766127e-14,0,0
b0932,0,0,0,0,0
b0972,0,0,0,0,e
b0171,0,0,0,0,e
b1702,0,0,0,0,e
b1302,0,0,0,0,0
b4258,-1.0,e,-1.0996315132063389e-13,0,e
b4289,0,0,-9.594934786353358e-14,0,0
b0517,0,0,-8.995957703106328e-14,0,0
b0207,0,0,0,0,0
b3958,-1.0,e,-1.0,e,e
b4042,0,0,-1.6330601609282217e-13,0,0
b2559,-1.0,e,,,e
b2738,0,0,0,0,0
b2719,0,0,0,0,0
b2153,-1.0,e,-1.0,e,e
b3752,0,0,-3.3000246850591055e-14,0,0
b0612,0,0,-3.2774217762573307e-15,0,0
b2222,0,0,-4.520581760354939e-14,0,0
b3451,0,0,-1.469189072115355e-15,0,0
b1319,0,0,0,0,0
b3959,-1.0,e,-1.0,e,0
b1395,0,0,-1.141446894489622e-14,0,0
b1377,1.5070796491619578,+,0,0,0
b3577,0,0,2.113371972965934e-14,0,0
b0153,0,0,-1.2748040564200928e-13,0,0
b2515,-1.0,e,0,0,e
b1117,-1.0,e,,,e
b1008,0,0,0,0,0
b3311,-1.0,e,,,e
b3182,0,0,0,0,0
b4301,0,0,0,0,0
b0186,0,0,0,0,0
b2500,1.5563998563135373,+,-0.0015634130752709217,0,0
b4005,-1.0,e,-1.0,e,0
b1209,-1.0,e,,,0
b3741,-1.0,e,,,0
b0368,0,0,5.424698112425927e-15,0,0
b3256,-1.0,e,-1.0,e,e
b0474,0.4158029341398225,+,-4.294552672337192e-14,0,e
b2023,-1.0,e,-1.0,e,0
b3035,0,0,-5.5377126564348e-14,0,0
b1486,0,0,0,0,0
b1033,0,0,0,0,e
b0388,0,0,0,0,0
b3903,0,0,-7.515467176590086e-14,0,0
b1208,-1.0,e,-1.0,e,e
b3290,0,0,0,0,0
b3725,0,0,0,0,0
b4072,0,0,-5.6055213828401246e-14,0,0
b1441,0,0,0,0,e
b0758,0,0,-1.0024390053587077e-13,0,0
b2104,0,0,-3.051392688239584e-14,0,0
b2663,0,0,0,0,0
b1102,0,0,0,0,0
b3792,0,0,-3.345230502662655e-14,0,0
b2745,-1.0,e,,,0
b4154,0,0,7.899716626220256e-14,0,0
b3067,-1.0,e,,,e
b4287,0,0,-9.594934786353358e-14,0,0
b0621,0,0,0,0,0
b2309,0,0,-9.176780973520526e-14,0,0
b1473,0,0,0,0,0
b3626,0,0,-5.989770832470293e-14,0,0
b1900,0,0,0,0,e
b3945,0,0,-1.8161437222225967e-13,0,0
b2841,0,0,-1.2657628928993829e-14,0,0
b0070,0,0,0,0,0
b0886,0,0,-1.3358319101848844e-13,0,e
b1822,-1.0,e,,,0
b0353,0,0,-1.0645970045635881e-13,0,0
b2996,0,0,0,0,0
b2954,0,0,-2.282893788979244e-14,0,0
b2607,-1.0,e,,,e
b0891,-1.0,e,,,e
b2802,0,0,-6.554843552514662e-14,0,0
b1135,-1.0,e,,,0
b2662,0,0,0,0,0
b0596,0,0,-4.690103576368249e-14,0,0
b0783,0,0,-1.0,e,0
b3057,0,0,0,0,0
b4036,0,0,6.272307192492478e-14,0,0
b1007,0,0,0,0,0
b4079,0,0,0,0,0
b1444,0,0,-6.47573337170845e-14,0,0
