,response_me,essentiality_me,response_m,essentiality_m,true_essentiality
b3962,0,0,0,0,0
b2254,0,0,4.068523584319445e-15,0,0
b0149,0,0,0,0,0
b2265,0,0,-5.2551762964126164e-14,0,0
b0084,1.4231608741513773,+,0,0,e
b0383,0,0,2.5202243313978785e-14,0,0
b0350,0,0,-1.547169107481478e-13,0,0
b3396,0,0,0,0,0
b3907,0,0,-3.6616712258875004e-14,0,0
b2093,0,0,3.209613049852007e-14,0,0
b0895,0,0,0,0,0
b3477,0,0,0,0,0
b3260,0,0,,,0
b3783,-1.0,e,,,e
b0825,0,0,0,0,0
b1818,0,0,-5.379492294822377e-14,0,0
b0351,-0.5531856815086519,-,0,0,0
b3343,-1.0,e,,,e
b2599,-1.0,e,-1.0,e,0
b0655,0,0,0,0,0
b4214,-1.0,e,-1.0,e,0
b3705,-1.0,e,,,e
b4213,0,0,8.216157349445101e-14,0,0
b3747,-0.023486375298275703,-,0,0,0
b0243,-0.37876261058703015,-,-0.000916019758739052,0,0
b2601,1.6434637385141153,+,0,0,0
b2240,0,0,-6.803475549334183e-14,0,0
b2051,0,0,-8.679516979881483e-14,0,0
b4244,0,0,0,0,0
b2487,0,0,0,0,0
b2925,-0.6715480927630106,-,-1.0024390053587077e-13,0,e
b2806,-1.0,e,,,0
b2185,-1.0,e,,,e
b2724,0,0,0,0,0
b3476,0,0,0,0,0
b4031,0,0,-8.001429715828242e-14,0,0
b3691,0,0,-7.232930816567902e-14,0,0
b1850,1.5919751329445142,+,-1.3234003103439085e-13,0,0
b0401,0,0,-7.36854826937855e-14,0,0
b0494,0,0,1.367475982507369e-13,0,0
b0088,-1.0,e,-1.0,e,e
b3470,-1.0,e,,,0
b0181,-1.0,e,-1.0,e,e
b0068,0,0,-1.57203230716343e-13,0,0
b0311,0,0,-1.10754253128696e-14,0,0
b0996,0,0,0,0,0
b1613,0,0,-1.47370965387571e-13,0,0
b4290,0,0,-9.594934786353358e-14,0,0
b0721,0.5060383720358845,+,-0.026141516664369008,-,0
b2682,0,0,0,0,0
b3629,0,0,-1.0532955501627008e-13,0,0
b0168,-1.0,e,,,e
b3176,-1.0,e,-1.0,e,e
b4032,0,0,-1.7189512143749655e-13,0,0
b3294,-1.0,e,,,e
b2688,0,0,-1.6940880146930134e-13,0,0
b1646,0,0,0,0,0
b0776,-1.0,e,-1.0,e,0
b0766,0,0,0,0,e
b3572,0,0,-8.73602425188592e-14,0,0
b2994,0,0,0,0,0
b0896,0,0,0,0,0
b2242,0,0,-9.323699880732062e-14,0,0
b4120,0,0,-1.0747683135243868e-13,0,0
b2480,0,0,0,0,0
b0008,0,0,0,0,0
b3065,-1.0,e,,,e
b3564,0,0,3.5373552274777396e-14,0,0
b0221,1.1734904474710464,+,-0.010520690315203803,-,0
b0170,-1.0,e,,,e
b1681,0,0,-7.131217726959917e-14,0,0
b3314,-1.0,e,,,e
b2566,-1.0,e,,,e
b3786,0,0,-1.124494712888291e-13,0,0
b2234,0,0,0,0,e
b0723,0.5060383720358845,+,-0.026141516664369008,-,0
b0333,0,0,-5.176066115606405e-14,0,0
b3805,-1.0,e,-1.0,e,e
b3649,-1.0,e,,,0
b3167,-1.0,e,,,0
b2828,-1.0,e,,,e
b3894,0,0,0,0,0
b4371,-1.0,e,,,0
b2296,0,0,0,0,e
b2552,0,0,0,0,0
b3161,0,0,-1.6454917607691978e-13,0,0
b0337,0,0,-3.5034508642750776e-14,0,0
b2392,0,0,7.673687538202509e-14,0,0
b0805,0,0,0,0,0
b3430,-1.0,e,-8.024032624630017e-14,0,0
b0980,0,0,-9.696647875961344e-14,0,0
b2582,0,0,0,0,e
b2497,0,0,-1.0340830776811923e-13,0,0
b4138,0,0,0,0,0
b1489,0,0,1.7562460138978939e-13,0,0
b2594,-1.0,e,,,e
b3654,0,0,0,0,0
b3583,0,0,0,0,0
b2149,0,0,0,0,0
b0166,-1.0,e,-1.0,e,e
b3073,0,0,-1.338092201065062e-13,0,0
b2472,-1.0,e,-1.0,e,e
b0477,0,0,0,0,0
b3367,0,0,0,0,0
b1761,1.1915735671788974,+,-0.034201720160346116,-,0
b2204,0,0,-5.865454834060533e-14,0,0
b1054,0,0,-3.8311930419008104e-14,0,0
b2679,0,0,0,0,0
b3986,-1.0,e,,,e
b1927,0,0,1.4239832545118057e-14,0,0
b3479,0,0,0,0,0
b3212,0,0,0,0,0
b0930,-1.0,e,0,0,e
b2763,-1.0,e,-1.0,e,0
b4139,0,0,-2.407209787389005e-14,0,0
b2366,0,0,-6.679159550924422e-14,0,0
b3298,-1.0,e,,,e
b0120,0,0,-5.786344653254321e-14,0,0
b2400,-1.0,e,-1.0,e,e
b2485,0,0,0,0,0
b2303,0,0,-5.989770832470293e-14,0,0
b3502,0,0,0,0,0
b4395,1.806229665019643,+,0,0,0
b2913,0.4384869883393084,+,-0.02209531541158476,-,0
b3612,0,0,0,0,0
b0604,0,0,-7.040806091752818e-14,0,0
b0082,0,0,,,e
b1652,-1.0,e,,,e
b1006,0,0,-5.1534632068046304e-14,0,0
b0198,0,0,-4.26064830913453e-14,0,0
