,base,DALAt2r_FWD_BSU18120-MONOMER_s,ARGPt6_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,6PGCt6_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,DHAt_REV_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,FORt2_REV_BSU27200-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,GMPt6_FWD_CPLX_dummy_s,HISt2r_FWD_BSU39390-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,THMDt2_FWD_BSU39410-MONOMER_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,GSNt2_REV_BSU38710-MONOMER_s,METt3_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,PHEt2r_REV_CPLX_dummy_s,THMt6_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s,TYRt2r_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.04707253884794748,0.04708065546831679,0.04706937304204568,0.04718602393857043,0.047069503201566665,0.047002715017127106,0.04706871383100575,0.04707253545673489,0.04707255161487737,0.04710867634028714,0.047078802559283255,0.04707990330939833,0.047068415238900936,0.04698084070949671,0.04708243266599744,0.04707223065134517,0.04707451995226513,0.047042219332836116,0.0473536128140989,0.04707253545673489,0.047071947441358925,0.04568539194787066,0.047069205560174306,0.04707256837674757,0.04707253794650589,0.04707801576266553,0.047010151161261234,0.04707009552620207,0.04707885586966882,0.04304739033829499,0.047196115883181844,0.04727681649963634,0.04708931998255809,0.047072548848321405,0.047069503201566665,0.04707537759235772
protein_biomass_to_biomass,0.026118663032507063,0.027122047076003256,0.027126743591356823,0.02712026583543727,0.02718748097163467,0.027120318691195317,0.027081931129113175,0.027119935068243322,0.027122045107545012,0.027122054419674347,0.027143455510401475,0.027125668832214442,0.027126338658430674,0.027119883199061695,0.027069403352308383,0.027127777182762738,0.02712188573877823,0.027123243202187616,0.027104629891931672,0.027287735541825602,0.027122045107545012,0.02712176122665535,0.026323499183754123,0.027120157971156345,0.027122064084690936,0.02712204654425109,0.027125352209224327,0.027086724103991145,0.027120750686509314,0.027125719555412844,0.0248468309074712,0.027196816002587908,0.027239908363731063,0.027131759991117787,0.027122053018371402,0.027120318691195317,0.02712370003081136
mRNA_biomass_to_biomass,8.836974835493029e-05,9.161735528051871e-05,9.163256233586241e-05,9.160993308432619e-05,9.183684514920143e-05,9.161075421235564e-05,9.147877397737349e-05,9.160719508633324e-05,9.161734887364162e-05,9.161738036600432e-05,9.167048675460111e-05,9.162916764805905e-05,9.16301861432466e-05,9.160299103695723e-05,9.143413231713282e-05,9.163560241334304e-05,9.161626856502634e-05,9.161959196524026e-05,9.155794946771108e-05,9.205545118906107e-05,9.161734887364162e-05,9.161453954580919e-05,8.889441512187559e-05,9.160995952739006e-05,9.161741294157328e-05,9.161735369749054e-05,9.162428960482942e-05,9.147711044738268e-05,9.160929912178775e-05,9.162868576569917e-05,8.248824192931192e-05,9.175165998461142e-05,9.201084425977951e-05,9.16487841354008e-05,9.161736896768902e-05,9.161075421235564e-05,9.162236914152523e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.000542066942392171,0.0005421567981531419,0.0005420230311067297,0.000543366482417887,0.0005420281140546623,0.0005412469611944889,0.0005420068423364986,0.0005420669051452132,0.0005420670911705183,0.0005423797703460079,0.0005421368665433083,0.0005421427725093519,0.0005419814351509273,0.0005409821257237243,0.0005421748203857798,0.0005420605274327002,0.0005420800906614434,0.0005417139433132379,0.0005446539748955093,0.0005420669051452132,0.0005420501663176476,0.0005259633860272486,0.0005420231029023985,0.0005420672834219813,0.000542066933569195,0.0005421087850281716,0.0005412371138410652,0.0005420195242764109,0.0005421338001139404,0.00048791589245318466,0.0005428572530968443,0.0005443958953119043,0.0005422528561443925,0.0005420670322317112,0.0005420281140546623,0.0005420966123656368
rRNA_biomass_to_biomass,0.0038691855441090224,0.004011399703923729,0.004012065860465526,0.0040110743574818,0.004021016521643618,0.004011111509958814,0.004005329344582418,0.004010954675470314,0.004011399427951464,0.0040114008042714255,0.004013725233282026,0.004011917232517279,0.0040119605008463195,0.0040107691248707986,0.004003368249223797,0.004012199969551895,0.004011352295907535,0.004011497189067134,0.004008789865464571,0.004030591895410786,0.004011399427951464,0.004011275851093272,0.0038921938342193073,0.004011075302826188,0.004011402226741576,0.0040113996382997045,0.00401170489099188,0.004005257153894515,0.004011048679820182,0.004011895528249445,0.003610933193034495,0.004017305696959153,0.004028642016997855,0.004012776652369058,0.0040114003127333766,0.004011111509958814,0.004011619512169527
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5719811169038344e-05,2.5719608213821947e-05,2.5716460949064487e-05,2.572374246542394e-05,2.5726799419472443e-05,2.5699029929828763e-05,2.571207840305578e-05,2.5719819929682678e-05,2.5719825515749558e-05,2.5708099598353604e-05,2.5719835222015975e-05,2.57111838285222e-05,2.5700310899301676e-05,2.5696015988543283e-05,2.5716770133510508e-05,2.5718434781953357e-05,2.5715001550946702e-05,2.56896523530535e-05,2.5525181426145693e-05,2.5719819929682678e-05,2.571287213266618e-05,2.5202989698933914e-05,2.5715425831663026e-05,2.571982813532051e-05,2.571981954940347e-05,2.5711939800134712e-05,2.5704964970462294e-05,2.572852198172043e-05,2.571509064081648e-05,2.171165916641003e-05,2.5370470031543377e-05,2.5723735537343405e-05,2.5719472756142128e-05,2.571981048151163e-05,2.5726799419472443e-05,2.572073820364144e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.353647892693532e-05,2.354377765339968e-05,2.3533891553020453e-05,2.3641328715128603e-05,2.3528068928681707e-05,2.3443518203660682e-05,2.3534495579355868e-05,2.353647429580936e-05,2.3536482812503386e-05,2.354351530384856e-05,2.3541907017529833e-05,2.3554512272960683e-05,2.3543878409049808e-05,2.3417448261662814e-05,2.3553655446131916e-05,2.3536657816969685e-05,2.354057560221524e-05,2.3483716094308354e-05,2.369952707489655e-05,2.353647429580936e-05,2.354209562054815e-05,2.266984818747948e-05,2.3534939154874588e-05,2.3536493177534594e-05,2.353647599776685e-05,2.350303032750357e-05,2.3468405621645236e-05,2.3516553331169265e-05,2.3545959566352292e-05,2.1168058787842424e-05,2.380579906608262e-05,2.3687189199668084e-05,2.354723103155207e-05,2.3536482701801652e-05,2.3528068928681707e-05,2.353706233464129e-05
