,base,6PGCt6_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,AMPt6_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,2PGt6_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,CITt2r_FWD_BSU38770-MONOMER_s,DHAt_REV_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,LEUt2r_FWD_BSU29600-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,GSNt2_REV_BSU38710-MONOMER_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,METt3_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,THMt6_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s
biomass_dilution,0.04533943265453611,0.0454000521390936,0.0453452392742915,0.0453452558543282,0.04534660553598961,0.04534041932460601,0.04545550036832092,0.045345244286648295,0.04527659493563941,0.045353337987827806,0.045341826789592816,0.04535327684225836,0.0453452392742915,0.04534269549982222,0.04534743256930905,0.047078802559283255,0.04535557227005195,0.04524646459292252,0.045626325885524344,0.04531679528996879,0.045345465506805537,0.04534475218127751,0.04534527333447019,0.045342278131901906,0.04321195327347176,0.0453452392742915,0.04529524798863615,0.045351642102195784,0.04534222140262062,0.04535642761678643,0.04121733380824735,0.04466411213137801,0.04536087789162859,0.04554217584411343,0.04534524567314646,0.04534766954069149,0.04534041932460601
protein_biomass_to_biomass,0.026118663032507063,0.026154195257123626,0.026122023468438362,0.026122033022557622,0.02612286531059155,0.0261192640068428,0.026185584604575714,0.026122026371954935,0.026082595484082354,0.026126708350670273,0.026120142163037922,0.02612669674080062,0.026122023468438362,0.02612076383164376,0.026123339873715876,0.027125668832214442,0.02612800070753312,0.026065311556687697,0.026287661777897972,0.0261056841263903,0.02612216546486157,0.026121804147621244,0.026122043100678356,0.026120348240889216,0.024894222787267096,0.026122023468438362,0.02609415373640894,0.02612586142576564,0.02612038777268787,0.026128494162376118,0.02378688227287796,0.025733472431376605,0.026131075113355988,0.026235624343886287,0.02612202715247154,0.02612344013467396,0.0261192640068428
mRNA_biomass_to_biomass,8.836974835493029e-05,8.847007052252322e-05,8.838060889368985e-05,8.838064124325186e-05,8.838168502703573e-05,8.837059754145125e-05,8.859426819969452e-05,8.838061844406572e-05,8.824410168997292e-05,8.839582158714406e-05,8.837146321857325e-05,8.8394939758971e-05,8.838060889368985e-05,8.83695186474901e-05,8.838332253730678e-05,9.162916764805905e-05,8.839989269680148e-05,8.818349816521563e-05,8.882076233337537e-05,8.832492540240728e-05,8.83807013912762e-05,8.837780536408983e-05,8.838067524655212e-05,8.837395833540927e-05,8.418494322291062e-05,8.838060889368985e-05,8.825521535644213e-05,8.838938314736137e-05,8.837167487314397e-05,8.84017136750946e-05,7.907717591619482e-05,8.693810376364117e-05,8.840989880549885e-05,8.876069792872887e-05,8.838062145469947e-05,8.838485415334277e-05,8.837059754145125e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005234016969602487,0.0005228741860625403,0.0005228743771536273,0.0005228806308445724,0.0005228151698021727,0.0005241391750533465,0.0005228742419279556,0.0005220665243432728,0.0005229640747133739,0.0005228200804010188,0.0005229588924277079,0.0005228741860625403,0.0005228080670662926,0.0005228901594963711,0.0005421368665433083,0.0005229881958603165,0.0005217069942807336,0.0005254732883578134,0.0005225432492310124,0.0005228747434174099,0.0005228574693838777,0.000522874577855734,0.0005228347616782792,0.0004980628782965331,0.0005228741860625403,0.000522132281725663,0.0005229269475588758,0.000522821551888965,0.0005229990365582838,0.00046770590456592564,0.0005143410221578893,0.0005230474404272537,0.0005251237781806705,0.000522874260341763,0.0005228993053845072,0.0005228151698021727
rRNA_biomass_to_biomass,0.0038691855441090224,0.003873578013898756,0.003869661416636965,0.0038696628304299295,0.0038697082093629796,0.0038692239824516094,0.00387902282033739,0.0038696618301854546,0.0038636818617957206,0.0038703278153258,0.0038692607701381306,0.003870287869280593,0.003869661416636965,0.003869174138883522,0.0038697797663972897,0.004011917232517279,0.0038705070279663207,0.0038610204611754777,0.0038889429533117735,0.0038672146898698473,0.0038696656077564233,0.003869538009353749,0.003869664315363229,0.0038693696362598153,0.0036859883771260486,0.003869661416636965,0.0038641700010634576,0.0038700471834465077,0.0038692719053372514,0.003870586510289132,0.0034615827406106075,0.003806551080297881,0.0038709446907616396,0.003886316711741469,0.0038696619667576656,0.0038698475608761884,0.0038692239824516094
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.586609010589568e-05,2.5879221844768657e-05,2.5879227594374906e-05,2.5874021342709968e-05,2.588750873241902e-05,2.588329457953503e-05,2.5879213062779873e-05,2.5857955641319916e-05,2.587901057821481e-05,2.587186518699731e-05,2.5871017293348563e-05,2.5879221844768657e-05,2.5859735336999473e-05,2.5874402052904946e-05,2.5719835222015975e-05,2.5876579173092617e-05,2.585197635299027e-05,2.5675849961857296e-05,2.5849898851492673e-05,2.5878248139178583e-05,2.5871200111534734e-05,2.5879230288546012e-05,2.5874833858544327e-05,2.5018560745249144e-05,2.5879221844768654e-05,2.5856639684907906e-05,2.5871063821837965e-05,2.5887924949670764e-05,2.587616479349486e-05,2.166664638900003e-05,2.512727757082275e-05,2.587870888424306e-05,2.5883453188467967e-05,2.5879224160816205e-05,2.5880016995515824e-05,2.588750873241902e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.280617835051046e-05,2.2782171418592963e-05,2.2782180160730687e-05,2.2783941613013617e-05,2.277205538648155e-05,2.2884865501401122e-05,2.278217684845221e-05,2.2689048290446192e-05,2.278946770097657e-05,2.2780480901340785e-05,2.2800465996770016e-05,2.2782171418592963e-05,2.279055294454287e-05,2.2786366144124638e-05,2.3541907017529833e-05,2.279946883491992e-05,2.2652355623576986e-05,2.2941503593945627e-05,2.2731079129186456e-05,2.2782667255052145e-05,2.278871640606664e-05,2.2782190906201085e-05,2.2780815380453832e-05,2.1475408976183743e-05,2.2782171418592963e-05,2.2718637666712925e-05,2.2749046462385106e-05,2.2762450746790085e-05,2.279206275774355e-05,2.0297789393817005e-05,2.2603973561832755e-05,2.279228813122455e-05,2.292816575176862e-05,2.278217469473494e-05,2.278259285387181e-05,2.277205538648155e-05
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amba_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3gmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3ump_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_4abut_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_5mtr_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_6pgc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
