,base,2PGt6_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,6PGCt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,DALAt2r_FWD_BSU18120-MONOMER_s,ACNAMt2_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,ASNt2r_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,CMPt6_FWD_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,CHORt2_FWD_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,FORt2_REV_BSU27200-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,LEUt2r_FWD_BSU29600-MONOMER_s,GSNt2_REV_BSU38710-MONOMER_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,METt3_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s,THMt6_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.04309964719028616,0.043177956608872615,0.04318114422003624,0.04321927480263829,0.043174157805178796,0.04322023321319476,0.04322023321319476,0.04322023321319476,0.04322023321319476,0.043206560332449996,0.04317004710532378,0.043058592736560944,0.04321195327347176,0.04345622917173912,0.0431872649984412,0.04325132305693991,0.043114690506108826,0.04322023321319476,0.04568539194787066,0.04321772186203384,0.043212149008343616,0.04313564584637906,0.04322023321319476,0.04322023321319476,0.04322024316122631,0.04322023321319476,0.0431982361510513,0.04328173538776079,0.04323726859149605,0.0380077766327737,0.04227805190817151,0.040763146862112236,0.0432057273984786,0.04322204359603592,0.04322014425440015,0.04322023708886343
protein_biomass_to_biomass,0.026118663032507063,0.024829646491548944,0.02487465897083643,0.024876526087341085,0.02489842228616248,0.02487247503538872,0.02489897036591049,0.02489897036591049,0.02489897036591049,0.02489897036591049,0.02489118085713131,0.024870259572194065,0.024805987957161175,0.024894222787267096,0.025040379225852737,0.024880047220284116,0.02491693428945575,0.02483829645167842,0.02489897036591049,0.026323499183754123,0.02489753839964148,0.0248943456789175,0.02485034687004504,0.02489897036591049,0.02489897036591049,0.02489897610581708,0.02489897036591049,0.02488644308093274,0.024934494990197165,0.024908815736861344,0.021935300586912555,0.02435736100955091,0.023487507804479352,0.024890660642080873,0.024900029163206,0.024898919109736222,0.024898972597413527
mRNA_biomass_to_biomass,8.836974835493029e-05,8.396311446899011e-05,8.411796415434615e-05,8.412330793951518e-05,8.419977027019684e-05,8.411024931525715e-05,8.42017560087623e-05,8.42017560087623e-05,8.42017560087623e-05,8.42017560087623e-05,8.41725153264714e-05,8.409768821867612e-05,8.38822593509375e-05,8.418494322291062e-05,8.450133280253521e-05,8.413537833302685e-05,8.426049391026894e-05,8.399272689083502e-05,8.42017560087623e-05,8.889441512187559e-05,8.419641633902603e-05,8.418505564178868e-05,8.403353713938939e-05,8.42017560087623e-05,8.42017560087623e-05,8.42017753776703e-05,8.42017560087623e-05,8.415536248047564e-05,8.431887763136511e-05,8.423420945222907e-05,7.289291622220114e-05,8.23300223278822e-05,7.928956140534087e-05,8.417211959615886e-05,8.420481495111489e-05,8.420158279746903e-05,8.42017636131432e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0004967507494584979,0.0004976668352644174,0.000497698493278358,0.000498150571312493,0.0004976221003102844,0.0004981623244587043,0.0004981623244587043,0.0004981623244587043,0.0004981623244587043,0.0004979893975777484,0.000497546123154282,0.0004962732262684728,0.0004980628782965331,0.0004999358741360407,0.0004977697860282549,0.0004985096054516336,0.0004969252194027381,0.0004981623244587043,0.0005259633860272486,0.0004981307508655794,0.0004980634765076776,0.0004971675463689875,0.0004981623244587043,0.0004981623244587043,0.0004981624384216871,0.0004981623244587043,0.000497888870517119,0.0004988556160561996,0.0004983540954392996,0.000431146026626491,0.00048709575593784547,0.000469111540702966,0.0004979870289871225,0.0004981804282377139,0.000498161299446752,0.0004981623694603032
rRNA_biomass_to_biomass,0.0038691855441090224,0.0036762741873508096,0.0036830572587075497,0.0036832903043006204,0.003686637393915191,0.003682723314804186,0.0036867243910943892,0.0036867243910943892,0.0036867243910943892,0.0036867243910943892,0.0036854441385846086,0.0036821638839212812,0.0036727389215147717,0.0036859883771260486,0.003699878957490413,0.003683818551513304,0.0036892988900258375,0.0036775689296763615,0.0036867243910943892,0.0038921938342193073,0.0036864907529861883,0.0036859927102440076,0.0036793605451820237,0.0036867243910943892,0.0036867243910943892,0.00368672523306788,0.0036867243910943892,0.0036846978245321967,0.0036918557549187837,0.003688145061184132,0.00319092509059853,0.0036048346674451594,0.0034717475743057734,0.003685427596124111,0.003686858593054787,0.003686716807146635,0.0036867247244694247
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.4979284769560782e-05,2.5001503032092363e-05,2.5001646287809504e-05,2.5023207747252158e-05,2.4991203433875965e-05,2.502400435441963e-05,2.502400435441963e-05,2.502400435441963e-05,2.502400435441963e-05,2.5012080851727413e-05,2.4983017425729897e-05,2.4940185492812738e-05,2.5018560745249144e-05,2.4741980760969497e-05,2.5003643833515375e-05,2.5021479158824356e-05,2.497272155357756e-05,2.502400435441963e-05,2.5202989698933914e-05,2.5021961626554454e-05,2.501733309945633e-05,2.4978254065038685e-05,2.502400435441963e-05,2.502400435441963e-05,2.5024002426578062e-05,2.502400435441963e-05,2.499786654912551e-05,2.5045238997618464e-05,2.5027679110149916e-05,2.0413636659992635e-05,2.4370948526404758e-05,2.3447482936996303e-05,2.5013990635531765e-05,2.5024527428582857e-05,2.5023968304642933e-05,2.502400704424059e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.1357211193071954e-05,2.1458405782290673e-05,2.1458456759486984e-05,2.147903726428303e-05,2.146869452031447e-05,2.1479540543342853e-05,2.1479540543342853e-05,2.1479540543342853e-05,2.1479540543342853e-05,2.1472110841767e-05,2.1475811050584196e-05,2.140196086961299e-05,2.1475408976183743e-05,2.1578486154264427e-05,2.1463857039166057e-05,2.1522761118736696e-05,2.1392702837785568e-05,2.1479540543342853e-05,2.266984818747948e-05,2.1478230776677858e-05,2.1475309542092723e-05,2.1438979178240525e-05,2.1479540543342853e-05,2.1479540543342853e-05,2.1479546593301445e-05,2.1479540543342853e-05,2.1428913014970297e-05,2.1511477973756272e-05,2.1482957464389655e-05,1.8491795615616795e-05,2.1043936510922764e-05,2.0319758262166302e-05,2.1469409884313083e-05,2.1479664854342972e-05,2.1479487741806547e-05,2.1479540817681822e-05
