,base,ACACt2_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,6PGCt6_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,ARGPt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,ASNt2r_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,BTDt6_RR_REV_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,GSNt2_REV_BSU38710-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,UMPt6_FWD_CPLX_dummy_s,METt3_FWD_CPLX_dummy_s,HISt2r_FWD_BSU39390-MONOMER_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,PHEt2r_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s,THMt6_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.045458517777010383,0.04534247873624349,0.04534170616930468,0.04538452954726027,0.04534050782455302,0.04527650164138382,0.04534565890012969,0.04534567568719403,0.04535457974342625,0.045347790792301314,0.04535367935994248,0.045342979103802555,0.04535994779507504,0.045316687766326996,0.04535970321633955,0.04707885586966882,0.04535642761678643,0.04563088210395156,0.04524301940273899,0.045346132414208803,0.04534536313317125,0.045345661643323563,0.04323726859149605,0.045292281537606505,0.04534515343187474,0.04535174815724399,0.04534565890012969,0.04534342434230909,0.04534586491179218,0.04123586866485379,0.04468004906733322,0.04553731373950617,0.04536129722400738,0.045348088035604736,0.04534050782455302,0.045345136682132234
protein_biomass_to_biomass,0.026118663032507063,0.026187345481366402,0.026120496398448382,0.02612009550700336,0.026145239006360555,0.026119337269569495,0.026082564516867635,0.026122284053721703,0.02612229372710993,0.026127441314754276,0.026123508957992498,0.026126949858070177,0.02612094853216086,0.02613060046091168,0.026105645003538375,0.026130393671380134,0.027125719555412844,0.026128494162376118,0.026290293022905874,0.026063339172713553,0.02612257126963025,0.026122175552638474,0.026122285636422313,0.024908815736861344,0.02609245314980494,0.02612199686091852,0.02612593116105871,0.026122284053721703,0.02612109840683036,0.02612242954030252,0.023797590167221806,0.025742641153424603,0.026232830632653577,0.02613133553512238,0.02612370006932458,0.026119337269569495,0.026121987399019664
mRNA_biomass_to_biomass,8.836974835493029e-05,8.859948129152466e-05,8.837340495423262e-05,8.837055308567491e-05,8.844018667514359e-05,8.837011520271794e-05,8.824324592352502e-05,8.838087184942863e-05,8.83809046028736e-05,8.839772964543237e-05,8.838514073555849e-05,8.839515893061896e-05,8.836948899056014e-05,8.840626545327157e-05,8.83240411059354e-05,8.840760500429407e-05,9.162868576569917e-05,8.84017136750946e-05,8.882943759682457e-05,8.817641836551602e-05,8.838136856038462e-05,8.837843250622598e-05,8.838087716967582e-05,8.423420945222907e-05,8.824925501560057e-05,8.837976643494497e-05,8.838934562790924e-05,8.838087184942863e-05,8.837350666926854e-05,8.838054182589705e-05,7.911245558195035e-05,8.696961759021291e-05,8.87509790656187e-05,8.841016101756532e-05,8.838511487571743e-05,8.837011520271794e-05,8.837972779503927e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005241699817521124,0.0005228315942490801,0.0005228146367546414,0.0005232249936649819,0.0005228122492171536,0.0005220614025789931,0.000522875678583472,0.0005228758720600963,0.0005229753320614186,0.0005229010179537303,0.0005229602474520067,0.0005228079352139893,0.0005230258456397211,0.0005225379582992799,0.0005230337869998225,0.0005421338001139404,0.0005229990365582838,0.0005255245039528951,0.0005216649925133296,0.0005228786632652525,0.0005228609649627149,0.0005228757099459786,0.0004983540954392996,0.0005220970703577616,0.0005228691420063487,0.0005229267224918331,0.000522875678583472,0.000522832357323749,0.0005228736098567492,0.00046791450071122996,0.0005145273648501596,0.0005250662891268413,0.0005230489285533006,0.000522900784715759,0.0005228122492171536,0.0005228689223745219
rRNA_biomass_to_biomass,0.0038691855441090224,0.0038792511565451217,0.0038693460513677183,0.0038692208381880984,0.0038722686943474705,0.003869202742952291,0.003863644312531576,0.0038696728201337055,0.003869674251601181,0.0038704114983117,0.00386986038769892,0.003870298142269905,0.0038691734161509814,0.0038707855251125176,0.003867175889076059,0.003870845388440019,0.004011895528249445,0.003870586510289132,0.003889322643988308,0.00386070986116611,0.003869694986301641,0.003869564853106125,0.003869673052203779,0.003688145061184132,0.0038639094149589093,0.0038696244411911282,0.0038700460709743885,0.0038696728201337055,0.003869352244488941,0.003869658166460058,0.0034631277267925704,0.003807930466795245,0.003885891334481451,0.0038709560616870457,0.003869858866639656,0.003869202742952291,0.0038696227606419666
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5882360056285707e-05,2.587530408247997e-05,2.587067165701515e-05,2.5865876232676112e-05,2.5886064610089613e-05,2.5856771990879854e-05,2.587844648810045e-05,2.5878452210752072e-05,2.5878582774278225e-05,2.5879277271893797e-05,2.5870673580738432e-05,2.585929036880121e-05,2.5869963908917273e-05,2.5848706351214038e-05,2.587349041131882e-05,2.571509064081648e-05,2.587616479349486e-05,2.567527800030419e-05,2.5850658244996966e-05,2.587737648102183e-05,2.5866404301414283e-05,2.5878446116466748e-05,2.5027679110149916e-05,2.585611427202613e-05,2.5878036871487504e-05,2.5871533960548733e-05,2.587844648810045e-05,2.5887461701051504e-05,2.5871172877325282e-05,2.1670025544182506e-05,2.5134370879500563e-05,2.588065036852524e-05,2.5877933216479966e-05,2.5879241670695385e-05,2.5886064610089613e-05,2.587801614610059e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2387389944827477e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.2887482730332507e-05,2.2776759014378428e-05,2.2780239926498677e-05,2.279384890162724e-05,2.277216886843161e-05,2.2688850753163122e-05,2.2782249134821286e-05,2.278225810986386e-05,2.2789546329861472e-05,2.278222177792944e-05,2.279598447456141e-05,2.2786891576884998e-05,2.2796974786111042e-05,2.273085346579446e-05,2.2802833952643944e-05,2.3545959566352292e-05,2.279206275774355e-05,2.2947392122800585e-05,2.2650015084112414e-05,2.278241080323909e-05,2.2793177297155175e-05,2.278225097779605e-05,2.1482957464389655e-05,2.271163643198686e-05,2.2781950185650113e-05,2.274704503508108e-05,2.2782249134821286e-05,2.2762511453646324e-05,2.2785264049467773e-05,2.0309319939786112e-05,2.2610444992160262e-05,2.2926622942515802e-05,2.2792365904265866e-05,2.278266938325382e-05,2.277216886843161e-05,2.278194420638222e-05
