,base,6PGCt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,2PGt6_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,3GMPt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,DHAt_REV_CPLX_dummy_s,CMPt6_FWD_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,CITt2r_FWD_BSU38770-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,METt3_FWD_CPLX_dummy_s,GSNt2_REV_BSU38710-MONOMER_s,UMPt6_FWD_CPLX_dummy_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,THMt6_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s
biomass_dilution,0.04533943265453611,0.045379418180051506,0.04544962673099302,0.045331571580455296,0.04534432871845328,0.045336247150495994,0.045267478334758714,0.045336393172133796,0.0453362354420993,0.045336230429331555,0.04533284792145568,0.045307799101897646,0.045343889833470916,0.04534660553598961,0.04533315368927423,0.04706937304204568,0.04524257951726161,0.04533852174144623,0.04562860098483034,0.0453391668830685,0.045346616002688876,0.045336264891764295,0.045333269709239316,0.04318114422003624,0.045336233174263815,0.045337454781751836,0.045333209913226036,0.04528700762815215,0.04534247873624349,0.045342611795907276,0.04121283512349562,0.0446504775453378,0.045338659258670096,0.045351866237906664,0.04554440868276813,0.04533624690854061,0.045331571580455296
protein_biomass_to_biomass,0.026118663032507063,0.026142310221409483,0.026182229847664808,0.026114195589192295,0.02612154743559583,0.02611687243222772,0.02607737275033387,0.02611695647796348,0.026116865700502177,0.02611686279674741,0.026114998729568205,0.026100530722651272,0.026121322255414987,0.02612286531059155,0.026115300450033442,0.02712026583543727,0.02606308595124079,0.026118235663694905,0.026289004225428503,0.026118566611604742,0.02612287401786867,0.026116882660880265,0.026115187804572722,0.024876526087341085,0.026116864380458356,0.026117653745848842,0.026115225554559557,0.02608944385884602,0.026120496398448382,0.026120688372705102,0.023784325289470016,0.025725617315534556,0.026118278633041236,0.02612591282482407,0.02623694981172824,0.02611687249013042,0.026114195589192295
mRNA_biomass_to_biomass,8.836974835493029e-05,8.842975502029463e-05,8.858197665676215e-05,8.835252236881948e-05,8.837741169641845e-05,8.83622324901677e-05,8.822548362360125e-05,8.836251874824245e-05,8.836220941737109e-05,8.836219986626832e-05,8.835311345836064e-05,8.830654161658126e-05,8.837567338651245e-05,8.838168502703573e-05,8.83499341698297e-05,9.160993308432619e-05,8.817539160399862e-05,8.836510502149007e-05,8.882435696468195e-05,8.836756101650384e-05,8.838147020501305e-05,8.836226700133774e-05,8.835555035922135e-05,8.412330793951518e-05,8.83622051897587e-05,8.836202121843038e-05,8.835326136355952e-05,8.823807190011771e-05,8.837340495423262e-05,8.837093243395794e-05,7.90674129263034e-05,8.691159684559378e-05,8.836644237983681e-05,8.839148424588103e-05,8.876395118022525e-05,8.836222589087552e-05,8.835252236881948e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005231634159458132,0.0005240664487170105,0.0005227081952561594,0.0005228551269290228,0.0005227654360821633,0.0005219563446732236,0.0005227671308743396,0.000522765299237359,0.0005227652433675697,0.0005227114885221363,0.0005224344561413152,0.0005228448777533903,0.0005228806308445724,0.0005226921503468885,0.0005420230311067297,0.0005216592323255738,0.0005227823493140277,0.0005254943469494874,0.0005227968730828347,0.0005228791731521998,0.000522765639789779,0.00052272582521967,0.000497698493278358,0.0005227652747497594,0.0005227640311362874,0.0005227125826484403,0.000522030805291281,0.0005228315942490801,0.0005228177586453941,0.0004676481115908331,0.000514184221070924,0.0005227903464458562,0.0005229384650249251,0.0005251430053824461,0.0005227654056934776,0.0005227081952561594
rRNA_biomass_to_biomass,0.0038691855441090224,0.003871812121930177,0.0038784840958973705,0.0038684318290472903,0.00386952103623031,0.003868856101112214,0.0038628659627035636,0.0038688686387582123,0.0038688550888996234,0.0038688546753188756,0.0038684566242898977,0.0038664090545575134,0.0038694435851595204,0.0038697082093629796,0.0038683157906286357,0.0040110743574818,0.0038606661245548573,0.003868981404414649,0.0038891000656559264,0.003869089351250417,0.003869699767410284,0.0038688576082613006,0.00386856294116729,0.0036832903043006204,0.003868854907530095,0.003868846238288291,0.003868464968047005,0.0038634186047362302,0.0038693460513677183,0.003869238618583626,0.00346115459543294,0.003805390293334958,0.00386904069938554,0.0038701377072121288,0.0038864591701065045,0.003868855819793178,0.0038684318290472903
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5866403616985482e-05,2.5880198423739153e-05,2.5883891485920454e-05,2.5875655507930253e-05,2.5875872618250233e-05,2.585457807372462e-05,2.587598853045172e-05,2.5875858084951837e-05,2.5875866865610268e-05,2.5868531973293853e-05,2.584654975949482e-05,2.5867281669516302e-05,2.5874021342709968e-05,2.5855719563442328e-05,2.5716460949064487e-05,2.585368333051677e-05,2.5871063930210796e-05,2.5674688362975157e-05,2.5875159012192e-05,2.5872834813320786e-05,2.58758753193109e-05,2.5871479417205465e-05,2.5001646287809504e-05,2.5875866497517525e-05,2.586596560821845e-05,2.58845665246164e-05,2.5852482621878367e-05,2.587530408247997e-05,2.5867717698356645e-05,2.166310466737837e-05,2.5115981833339016e-05,2.587666143928044e-05,2.5875353334580397e-05,2.5879691717146002e-05,2.5875857292945677e-05,2.5883891485920454e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.278676258592263e-05,2.287987432188e-05,2.276453418414649e-05,2.278161997112124e-05,2.277433283738492e-05,2.2681043287925577e-05,2.277439840460738e-05,2.277432942534046e-05,2.2774323995404682e-05,2.2772648261674065e-05,2.2723245680125863e-05,2.2792391416060735e-05,2.2783941613013617e-05,2.278314138818318e-05,2.3533891553020453e-05,2.265328663292951e-05,2.2778594242569957e-05,2.293842466523098e-05,2.277760807413979e-05,2.2792104188263643e-05,2.277434376715366e-05,2.27729684310468e-05,2.1458456759486984e-05,2.2774325830502535e-05,2.2782547611796457e-05,2.2754605643104847e-05,2.2711634155746365e-05,2.2776759014378428e-05,2.2741186194218922e-05,2.0293634081265654e-05,2.2598396730241655e-05,2.277474489265321e-05,2.2784439301534068e-05,2.2928783556428855e-05,2.2774334041348116e-05,2.276453418414649e-05
