,base,6PGCt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,ACNAMt2_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,2PGt6_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,ASPt2r_FWD_BSU10220-MONOMER_s,CHORt2_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,CO2t_REV_CPLX_dummy_s,GLYt2r_FWD_CPLX_dummy_s,GSNt2_REV_BSU38710-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,THMDt2_FWD_BSU39410-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,HISt2r_FWD_BSU39390-MONOMER_s,METt3_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s,TYRt2r_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,THMt6_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.045380142621707906,0.04533958920672065,0.04533562276133365,0.04545244786293301,0.0453362354420993,0.04533957262536641,0.045334387840151286,0.04534767241513815,0.04533957262536641,0.045270925139885246,0.04534707203664414,0.04707253884794748,0.045336611306374834,0.04531058991974766,0.045345244286648295,0.0453497656980442,0.04534128510215485,0.04524078375926146,0.04533925942935542,0.04562633095262902,0.045339088471588476,0.045289471647175825,0.045339606688057164,0.04533957534711014,0.04322023321319476,0.04533607240861161,0.0453365565403951,0.045347790792301314,0.045345994478406544,0.041226329356258314,0.04467469678974639,0.045355211190268564,0.045334387840151286,0.04534200289606504,0.04554353518561546,0.04533958898615064
protein_biomass_to_biomass,0.026118663032507063,0.026142693950682628,0.026118752241173077,0.02611655578405984,0.02618381345191568,0.026116865700502177,0.026118742686300496,0.026115776340482955,0.026123428183177106,0.026118742686300496,0.026079312907339995,0.026123109914987983,0.027122047076003256,0.026117246419833286,0.026102096988025167,0.026122026371954935,0.026124643099361123,0.026119786071444,0.026062022801280026,0.026118577913404155,0.026287664713732624,0.026118525051110977,0.026090801629411353,0.02611876231997638,0.026118744256642495,0.02489897036591049,0.02611676089221124,0.02611710800893137,0.026123508957992498,0.026122591604303715,0.023792063584474214,0.02573953740900364,0.026127794290116902,0.026115776340482955,0.026120159352087488,0.026236397821124552,0.026118752311437288
mRNA_biomass_to_biomass,8.836974835493029e-05,8.843216012047375e-05,8.837008334777235e-05,8.835973804683969e-05,8.858869499896311e-05,8.836220941737109e-05,8.837005099546178e-05,8.835923317173803e-05,8.838526595117806e-05,8.837005099546178e-05,8.823353717618997e-05,8.838321302795034e-05,9.161735528051871e-05,8.83580287376593e-05,8.831319717785585e-05,8.838061844406572e-05,8.838894498770147e-05,8.837170779941578e-05,8.81729062355373e-05,8.83689719761458e-05,8.882077197028626e-05,8.836725341963568e-05,8.824468768131584e-05,8.837011735358282e-05,8.83700562739006e-05,8.42017560087623e-05,8.836222965041077e-05,8.836112078116556e-05,8.838514073555849e-05,8.837886239099135e-05,7.90947630966433e-05,8.69597541876199e-05,8.839934113348927e-05,8.835923317173803e-05,8.83742963514496e-05,8.876365899373682e-05,8.837007678905375e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005231776365847263,0.0005228118729805699,0.0005227506744410651,0.0005241061895989278,0.000522765299237359,0.0005228116818732466,0.0005227478901827472,0.0005229015839027192,0.0005228116818732466,0.0005220039810181903,0.0005228894772624434,0.000542066942392171,0.0005227400536194717,0.0005224738252351315,0.0005228742419279556,0.0005229233865422816,0.0005228214073088716,0.0005216442983901359,0.0005228053123485464,0.0005254733447318944,0.0005227950004147931,0.0005220699602905554,0.0005228120736974934,0.0005228117129888096,0.0004981623244587043,0.0005227653349288846,0.0005227590702228762,0.0005229010179537303,0.0005228646627729151,0.00046780982174928675,0.0005144690309429103,0.0005229849375845667,0.0005227478901827472,0.0005228368017680885,0.0005251412747150691,0.0005228118428334754
rRNA_biomass_to_biomass,0.0038691855441090224,0.0038719175685056426,0.003869200197475589,0.0038687470562319194,0.003878778633935766,0.0038688550888996234,0.003869198783562498,0.0038687260326210316,0.0038698652813336067,0.003869198783562498,0.0038632189389007543,0.0038697740872240833,0.004011399703923729,0.003868670727004426,0.0038667008424312114,0.0038696618301854546,0.003870027383692017,0.0038692708896560725,0.0038605563475842685,0.0038691517080182048,0.003888943370570583,0.0038690756370073883,0.0038637086754787827,0.0038692016825185183,0.0038691990138029313,0.0036867243910943892,0.0038688557684897185,0.003868809438971269,0.00386986038769892,0.003869586170888179,0.0034623521156744736,0.003807498497239814,0.0038704820676101963,0.0038687260326210316,0.003869384932024435,0.0038864464651681527,0.0038691999179326286
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.586891442647352e-05,2.5879615635258098e-05,2.5871835628170216e-05,2.5883525463282027e-05,2.5875858084951837e-05,2.5879609885026566e-05,2.588713820980888e-05,2.5879398830274796e-05,2.5879609885026566e-05,2.5858342371338737e-05,2.587098772224237e-05,2.5719811169038344e-05,2.585979382139051e-05,2.584986900163322e-05,2.5879213062779873e-05,2.5876568474172125e-05,2.5874379955121436e-05,2.5852364977518185e-05,2.58782182596187e-05,2.567584141139111e-05,2.5871588441260037e-05,2.585730364667907e-05,2.5879618329698777e-05,2.5879609516210186e-05,2.502400435441963e-05,2.5874803969887416e-05,2.588831274321472e-05,2.5879277271893797e-05,2.587146933788478e-05,2.1671451642089226e-05,2.5132136132652398e-05,2.5879096948482707e-05,2.588713820980888e-05,2.5880404928757544e-05,2.588356706170066e-05,2.5879600306912717e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.278704412898481e-05,2.2777060448523925e-05,2.2775044392146607e-05,2.2882300317819734e-05,2.277432942534046e-05,2.277705170565753e-05,2.276701396134394e-05,2.2784348906143154e-05,2.277705170565753e-05,2.2683922700031136e-05,2.279502923870021e-05,2.353647892693532e-05,2.278517220237783e-05,2.2725642112502672e-05,2.278217684845221e-05,2.279457159627245e-05,2.278098080411857e-05,2.2647215073961087e-05,2.2777229058913966e-05,2.294150873764029e-05,2.2783599944494097e-05,2.271347412325746e-05,2.277707119477966e-05,2.277705352438871e-05,2.1479540543342853e-05,2.277537749264314e-05,2.275733372131036e-05,2.278222177792944e-05,2.2743931292018392e-05,2.030185335485625e-05,2.2610169675209835e-05,2.27871686841666e-05,2.276701396134394e-05,2.2777473355606193e-05,2.2928624169683466e-05,2.2777061667811996e-05
