,base,6PGCt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,DALAt2r_FWD_BSU18120-MONOMER_s,3GMPt6_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,ASNt2r_FWD_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,FORt2_REV_BSU27200-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,GSNt2_REV_BSU38710-MONOMER_s,THMDt2_FWD_BSU39410-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,LEUt2r_FWD_BSU29600-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,METt3_FWD_CPLX_dummy_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,UMPt6_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,THMt6_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s
biomass_dilution,0.04533943265453611,0.045380142621707906,0.04533958419395547,0.04533958920672065,0.04533958419395547,0.04527093669211213,0.04533439943166925,0.045336247150495994,0.04533563432575079,0.04545253803507981,0.04534768404998846,0.0453452558543282,0.04533650698379246,0.04534708385658919,0.04534977725805066,0.045341296785024736,0.04562102053214112,0.04524078375926146,0.04531060152861655,0.04707255161487737,0.04533933934885017,0.04533912439449362,0.04528947164717583,0.045339586915693036,0.04322023321319476,0.045339618256668206,0.045336083978210144,0.04533656810609009,0.04534599796779098,0.04534567568719403,0.04122654388766869,0.04467473361265177,0.04535522276107012,0.04534201446513803,0.04554303325872595,0.045339612132200384,0.04533439943166925
protein_biomass_to_biomass,0.026118663032507063,0.026142693950682628,0.026118749337421872,0.026118752241173077,0.026118749337421872,0.026079319549067767,0.026115783004727826,0.02611687243222772,0.02611656243280448,0.026183865349613308,0.026123434872473053,0.026122033022557622,0.026117186359842583,0.026123116710908948,0.02612464974555289,0.026119792788417955,0.026284590401145953,0.026062022801280026,0.02610210366232218,0.027122054419674347,0.02611862396434599,0.026118545721417877,0.026090801629411353,0.026118750907760325,0.02489897036591049,0.02611876897111043,0.026116767543932162,0.026117114658416356,0.026122593598322735,0.02612229372710993,0.023792187360265882,0.025739558654179952,0.026127800942526515,0.026120166003492915,0.02623611266528388,0.026118765636201472,0.026115783004727826
mRNA_biomass_to_biomass,8.836974835493029e-05,8.843216012047375e-05,8.837007379655956e-05,8.837008334777235e-05,8.837007379655956e-05,8.82335599446454e-05,8.835925602058802e-05,8.83622324901677e-05,8.835976083907462e-05,8.85888718298037e-05,8.838528888142897e-05,8.838064124325186e-05,8.835782445578657e-05,8.838323631832179e-05,8.838896777170969e-05,8.837173082335168e-05,8.881077931482571e-05,8.81729062355373e-05,8.831322005642872e-05,9.161738036600432e-05,8.836912790452669e-05,8.836732394202432e-05,8.824468768131584e-05,8.837007907498636e-05,8.42017560087623e-05,8.837014015472335e-05,8.836225245308935e-05,8.836114357577531e-05,8.837886945532532e-05,8.83809046028736e-05,7.909517563219446e-05,8.695982587861728e-05,8.839936393854325e-05,8.837431915334816e-05,8.876256032036434e-05,8.837012213975767e-05,8.835925602058802e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005231776365847263,0.0005228118171102453,0.0005228118729805699,0.0005228118171102453,0.0005220041160619635,0.0005227480257012025,0.0005227654360821633,0.0005227508096255281,0.0005241072365620505,0.0005229017199029632,0.0005228743771536273,0.0005227388447284186,0.0005228896153918444,0.0005229235216781845,0.0005228215438629054,0.0005254143177293952,0.0005216442983901359,0.0005224739609329807,0.0005420670911705183,0.0005228062335509391,0.0005227954181171572,0.0005220699602905554,0.0005228118482257372,0.0004981623244587043,0.0005228122089347445,0.000522765470174886,0.0005227592054214151,0.000522864705098642,0.0005228758720600963,0.0004678122616923531,0.0005144694529142325,0.0005229850728449038,0.0005228369370098023,0.000525134778595153,0.0005228121112002931,0.0005227480257012025
rRNA_biomass_to_biomass,0.0038691855441090224,0.0038719175685056426,0.0038691997838907616,0.003869200197475589,0.0038691997838907616,0.003863219937798743,0.003868727035035686,0.003868856101112214,0.0038687480561715687,0.0038787863791215106,0.0038698662873178137,0.0038696628304299295,0.0038686617835416207,0.0038697751089509496,0.0038700283832713393,0.003869271899729288,0.0038885054894900366,0.0038605563475842685,0.003866701846166093,0.0040114008042714255,0.003869158523494647,0.003869078726996943,0.003863708675478783,0.003869200014130669,0.0036867243910943892,0.0038692026828486496,0.003868856768884697,0.0038688104390151227,0.0038695864838049557,0.003869674251601181,0.0034623701735574646,0.0038075016170350624,0.0038704830681115096,0.0038693859323877017,0.0038863983850389605,0.00386920190325289,0.003868727035035686
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.586891442647352e-05,2.587962441795468e-05,2.5879615635258098e-05,2.587962441795468e-05,2.5858356895169676e-05,2.588715270040598e-05,2.5875872618250233e-05,2.5871850154308107e-05,2.588359947348496e-05,2.5879413373240044e-05,2.5879227594374906e-05,2.585972098116444e-05,2.5871002186195815e-05,2.587658300380277e-05,2.5874394492826894e-05,2.567381861740246e-05,2.5852364977518185e-05,2.584988357664968e-05,2.5719825515749558e-05,2.5878248019265467e-05,2.5871621261037467e-05,2.585730364667907e-05,2.5879624049136165e-05,2.502400435441963e-05,2.587963286263061e-05,2.5874818496113568e-05,2.588832727246199e-05,2.5871482042572644e-05,2.5878452210752072e-05,2.1671558642789258e-05,2.513212587208167e-05,2.587911147867316e-05,2.5880419461082923e-05,2.5883173594657765e-05,2.5879617419261036e-05,2.588715270040598e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4332986361580972e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.278704412898481e-05,2.2777055018273936e-05,2.2777060448523925e-05,2.2777055018273936e-05,2.2683925993217488e-05,2.2767017324139662e-05,2.277433283738492e-05,2.277504770330811e-05,2.2882339322161327e-05,2.2784352273868104e-05,2.2782180160730687e-05,2.27851228314344e-05,2.279503294665254e-05,2.2794574899232622e-05,2.278098421330931e-05,2.294362519890479e-05,2.2647215073961087e-05,2.272564550599126e-05,2.3536482812503386e-05,2.2777271590183532e-05,2.2783614461029484e-05,2.271347412325746e-05,2.277705683700187e-05,2.1479540543342853e-05,2.2777074507409434e-05,2.2775380807353544e-05,2.275733702975802e-05,2.2743930010211344e-05,2.278225810986386e-05,2.0301967728451194e-05,2.2610193795601784e-05,2.2787171998806508e-05,2.2777476668415306e-05,2.2928321670753468e-05,2.2777071623383364e-05,2.2767017324139662e-05
