,base,ACACt2_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,6PGCt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,ACNAMt2_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,BTDt6_RR_REV_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,CMPt6_FWD_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,DHAt_REV_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,CHORt2_FWD_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,GLYt2r_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,METt3_FWD_CPLX_dummy_s,LEUt2r_FWD_BSU29600-MONOMER_s,GSNt2_REV_BSU38710-MONOMER_s,UMPt6_FWD_CPLX_dummy_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,THMt6_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s
biomass_dilution,0.04533943265453611,0.04467469678974639,0.04467473361265177,0.044642090005265415,0.0446504775453378,0.04462970600230839,0.044629940064637275,0.04467473361265177,0.04442017141413549,0.04467469678974639,0.04465940028407155,0.04434219275977216,0.04466411213137801,0.04462337481696447,0.04463896541286165,0.04467757169352297,0.047196115883181844,0.04469037997142746,0.044673363660801435,0.04454926360970924,0.04591588711735707,0.04463013357116577,0.044674729988699785,0.04466596200705854,0.040763146862112236,0.04471787648431216,0.04467473361265177,0.04456075100321746,0.04468004906733322,0.04466753694253008,0.03907561305622624,0.04467469678974639,0.04465967293438233,0.04467473361265177,0.044674654468988745,0.044676607956686425,0.04463954880323872
protein_biomass_to_biomass,0.026118663032507063,0.02573953740900364,0.025739558654179952,0.02572080757175984,0.025725617315534556,0.0257136521385911,0.025713801651336674,0.025739558654179952,0.0255933126920713,0.02573953740900364,0.025730813975039638,0.025548131372083484,0.025733472431376605,0.025710034828178435,0.025719017878866227,0.025741196417270507,0.027196816002587908,0.025748892072296595,0.025738784963276504,0.02566737784349215,0.02645932460905057,0.02571394413579242,0.02573955656707458,0.025734538197927273,0.023487507804479352,0.025764498850930084,0.025739558654179952,0.02567546869921875,0.025742641153424603,0.025735614753607305,0.022553524275608697,0.02573953740900364,0.025730942339678684,0.025739558654179952,0.025739513230180592,0.025740654861319552,0.02571934580259642
mRNA_biomass_to_biomass,8.836974835493029e-05,8.69597541876199e-05,8.695982587861728e-05,8.689429568074512e-05,8.691159684559378e-05,8.687100585181022e-05,8.68713431979617e-05,8.695982587861728e-05,8.645111194073963e-05,8.69597541876199e-05,8.692730860713762e-05,8.630680576570147e-05,8.693810376364117e-05,8.685770523019286e-05,8.688814536037792e-05,8.696525057224908e-05,9.175165998461142e-05,8.698030247257167e-05,8.695668875511898e-05,8.671273242312301e-05,8.924114592691879e-05,8.687042551882567e-05,8.695981880967454e-05,8.694177913613169e-05,7.928956140534087e-05,8.704142149752266e-05,8.695982587861728e-05,8.669017849088844e-05,8.696961759021291e-05,8.694113050503697e-05,7.48862283142614e-05,8.69597541876199e-05,8.692869513541683e-05,8.695982587861728e-05,8.69596661418694e-05,8.696299161886613e-05,8.68892471587151e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005144690309429103,0.0005144694529142325,0.0005140824133432659,0.000514184221070924,0.0005139441613055133,0.0005139460609974327,0.0005144694529142325,0.0005114548144861683,0.0005144690309429103,0.0005142771412475767,0.0005106059335534012,0.0005143410221578893,0.0005138655401089501,0.0005140455061203063,0.0005145015285755608,0.0005428572530968443,0.0005145871064316128,0.0005144509111158507,0.0005130074604924647,0.0005279567888691353,0.0005139406497244445,0.0005144694110724034,0.0005143626405532477,0.000469111540702966,0.0005149521460069074,0.0005144694529142325,0.0005128745618935682,0.0005145273648501596,0.0005143598402176986,0.00044292852685269183,0.0005144690309429103,0.0005142853813201441,0.0005144694529142325,0.0005144685168363501,0.0005144881910677941,0.0005140525735923688
rRNA_biomass_to_biomass,0.0038691855441090224,0.003807498497239814,0.0038075016170350624,0.003804635293820099,0.003805390293334958,0.003803614449774899,0.003803627065080105,0.0038075016170350624,0.0037851732013235314,0.003807498497239814,0.003806077994409705,0.0037789080310744014,0.003806551080297881,0.003803030948288437,0.003804363696410666,0.0038077393722489253,0.004017305696959153,0.003808358134833042,0.0038073643706042757,0.003796681956638062,0.003907355514982003,0.003803587727264842,0.00380750130735292,0.003806711042329017,0.0034717475743057734,0.003811074597537208,0.0038075016170350624,0.003795703429750296,0.003807930466795245,0.0038066861654629113,0.0032782224164717316,0.003807498497239814,0.0038061394814187127,0.0038075016170350624,0.0038074946344673426,0.0038076405218541464,0.0038044145550219406
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5132136132652398e-05,2.513212587208167e-05,2.5142827157039786e-05,2.5115981833339016e-05,2.5106997689793312e-05,2.5114676980818125e-05,2.513212587208167e-05,2.5204382066641604e-05,2.5132136132652398e-05,2.5119077256569134e-05,2.4942984334689752e-05,2.512727757082275e-05,2.509598627203603e-05,2.5109337557886902e-05,2.513212626872416e-05,2.5370470031543377e-05,2.531476604734848e-05,2.513076151396995e-05,2.5063233738859726e-05,2.5543087258963973e-05,2.5106164970439798e-05,2.513212340760486e-05,2.5124982483703092e-05,2.3447482936996303e-05,2.5162264425009887e-05,2.513212587208167e-05,2.502270980673835e-05,2.5134370879500563e-05,2.511081100692865e-05,2.0364992116368524e-05,2.5132136132652398e-05,2.5122353109059798e-05,2.513212587208167e-05,2.513207560047772e-05,2.5132718726404847e-05,2.5142747615440988e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.2610169675209835e-05,2.2610193795601784e-05,2.257334438951414e-05,2.2598396730241655e-05,2.2587921137778323e-05,2.256583816740191e-05,2.2610193795601784e-05,2.2336822957009428e-05,2.2610169675209835e-05,2.260192655112664e-05,2.2473736163520503e-05,2.2603973561832755e-05,2.259521803605037e-05,2.2593291683936304e-05,2.2614013872343518e-05,2.380579906608262e-05,2.2495798679461573e-05,2.2609423692682033e-05,2.252034596024859e-05,2.3095878678537135e-05,2.2590891511562167e-05,2.2610192003153718e-05,2.2605628295075178e-05,2.0319758262166302e-05,2.26166002672581e-05,2.2610193795601784e-05,2.2540280746668142e-05,2.2610444992160262e-05,2.254094282609572e-05,1.93292118325985e-05,2.2610169675209835e-05,2.259961765105939e-05,2.2610193795601784e-05,2.261015378552822e-05,2.2610312607411764e-05,2.2571863293347752e-05
