,base,ACACt2_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,6PGCt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,2PGt6_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,ASNt2r_FWD_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,CMPt6_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,DHAt_REV_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,FORt2_REV_BSU27200-MONOMER_s,CO2t_REV_CPLX_dummy_s,LEUt2r_FWD_BSU29600-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,GSNt2_REV_BSU38710-MONOMER_s,THMDt2_FWD_BSU39410-MONOMER_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,METt3_FWD_CPLX_dummy_s,GMPt6_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,URAt2_REV_BSU15480-MONOMER_s,THMt6_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.04544940409356822,0.045333209913226036,0.0453365565403951,0.04538086945903263,0.04533656810609009,0.045267909283603414,0.04533655152735387,0.045332703804600555,0.04533271280911074,0.04534464800749232,0.04533528494285719,0.04534404983821895,0.04530756795852121,0.04533825913734227,0.04534222140262062,0.04534674138891645,0.04523330091625993,0.04707009552620207,0.045336307309619614,0.045626325885524344,0.045336585585765574,0.045344013518697934,0.045285151981748095,0.04533655424884037,0.04534179641637442,0.045333050527863135,0.04533655152735387,0.04328173538776079,0.04534342434230909,0.041227041995516266,0.04471787648431216,0.045352188721148844,0.04533898139555241,0.0455408690442254,0.04533271280911074,0.04533656787831591
protein_biomass_to_biomass,0.026118663032507063,0.026182163054999714,0.026115225554559557,0.02611710800893137,0.026143110128212903,0.026117114658416356,0.02607767819218144,0.026117105105014127,0.026114976980695565,0.026114909411904065,0.026121788711690744,0.026116568100416154,0.026121471712590803,0.02610045883326724,0.026118145685949046,0.02612038777268787,0.0261230036900618,0.02605774289228924,0.027120750686509314,0.026116980092214002,0.026287661777897972,0.02611712473630105,0.026121611488248053,0.02608837580325332,0.02611710667521356,0.026120263497754884,0.026115122848808365,0.026117105105014127,0.024934494990197165,0.02612109840683036,0.023792588344308238,0.025764498850930084,0.02612615595037396,0.026118521542914604,0.026234960675852778,0.026114909411904065,0.02611711472444803
mRNA_biomass_to_biomass,8.836974835493029e-05,8.857970366807096e-05,8.835326136355952e-05,8.836112078116556e-05,8.843366796974652e-05,8.836114357577531e-05,8.822461232777334e-05,8.836111122973273e-05,8.835099897225673e-05,8.835308865507719e-05,8.837631924412207e-05,8.835291831107674e-05,8.83742707400444e-05,8.830425769748221e-05,8.836275855837535e-05,8.837167487314397e-05,8.837999835056024e-05,8.81572996477028e-05,9.160929912178775e-05,8.836016661420544e-05,8.882076233337537e-05,8.836117757714766e-05,8.836944373455716e-05,8.823442523815724e-05,8.836111650748538e-05,8.836799552363272e-05,8.835328868765938e-05,8.836111122973273e-05,8.431887763136511e-05,8.837350666926854e-05,7.909265448373871e-05,8.704142149752266e-05,8.839039775506218e-05,8.836535569085767e-05,8.875552498978557e-05,8.835308865507719e-05,8.836113700548086e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.000524053216959304,0.0005227125826484403,0.0005227590702228762,0.0005231865253600756,0.0005227592054214151,0.0005219514012816742,0.000522759014350996,0.0005226991948216372,0.0005227117006095135,0.0005228488753808169,0.0005227100941114211,0.0005228367948361156,0.0005224211596467123,0.00052276868376355,0.000522821551888965,0.0005228706784108083,0.0005215521600878997,0.0005420195242764109,0.0005227534382937758,0.0005254732883578134,0.0005227594061123142,0.0005228077199786558,0.0005220094779629414,0.0005227590454625511,0.000522800519582177,0.000522712660336861,0.000522759014350996,0.0004988556160561996,0.000522832357323749,0.0004677976249747786,0.0005149521460069074,0.0005229322487195656,0.0005227841289488886,0.0005250933895519,0.0005227117006095135,0.0005227591752027564
rRNA_biomass_to_biomass,0.0038691855441090224,0.003878386617873964,0.003868464968047005,0.003868809438971269,0.003871983450852196,0.0038688104390151227,0.003862829830282907,0.0038688090253749556,0.0038683660859951947,0.00386845840938972,0.0038694752192167214,0.0038684489852626974,0.0038693842188222004,0.0038663110979063426,0.0038688807169181814,0.0038692719053372514,0.00386963732432892,0.00385987422667446,0.004011048679820182,0.0038687678204227297,0.0038889429533117735,0.0038688119238656244,0.0038691720821092345,0.003863260887903737,0.0038688092555857457,0.003869112053980281,0.003868465957974522,0.0038688090253749556,0.0036918557549187837,0.003869352244488941,0.0034622634043831846,0.003811074597537208,0.0038700921512702683,0.0038689951345943978,0.0038860920995268185,0.00386845840938972,0.003868810158961693
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5892263619111585e-05,2.58845665246164e-05,2.588831274321472e-05,2.5867688388128854e-05,2.588832727246199e-05,2.586703680300936e-05,2.5888321517743375e-05,2.5880621569261115e-05,2.589354784509083e-05,2.588811095878744e-05,2.5870774797850916e-05,2.5879701239052367e-05,2.5858575751710805e-05,2.588308947028268e-05,2.5887924949670764e-05,2.588528139631959e-05,2.5863899886836115e-05,2.572852198172043e-05,2.588694440760727e-05,2.5675849961857296e-05,2.5888329974122974e-05,2.586655864797146e-05,2.586672022622818e-05,2.5888321150523465e-05,2.5880420321086882e-05,2.58835139671062e-05,2.5888321517743375e-05,2.5045238997618464e-05,2.5887461701051504e-05,2.1669583192269164e-05,2.5162264425009887e-05,2.5887810308639745e-05,2.588911571130463e-05,2.5893003276059966e-05,2.589354784509083e-05,2.5888311935442632e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2387389944827477e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.286251801071849e-05,2.2754605643104847e-05,2.275733372131036e-05,2.2788551129824198e-05,2.275733702975802e-05,2.2664227624545737e-05,2.2757328295866257e-05,2.2755370905386884e-05,2.275010651123451e-05,2.2764620675084954e-05,2.2764513473907484e-05,2.27753016584066e-05,2.2705940538895234e-05,2.276125433649532e-05,2.2762450746790085e-05,2.277484070827761e-05,2.263006076109617e-05,2.3516553331169265e-05,2.2757545796914953e-05,2.2941503593945627e-05,2.275734776597452e-05,2.2779763839931877e-05,2.269327783372381e-05,2.2757330112876727e-05,2.272371172523413e-05,2.2755655633916286e-05,2.2757328295866257e-05,2.1511477973756272e-05,2.2762511453646324e-05,2.0299440500666894e-05,2.26166002672581e-05,2.27674406359954e-05,2.2757749802891273e-05,2.2908970860865874e-05,2.275010651123451e-05,2.2757338260490624e-05
