,base,2PGt6_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,6PGCt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,ARGPt6_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,ACNAMt2_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,DHAt_REV_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,CO2t_REV_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,GMPt6_FWD_CPLX_dummy_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,THMDt2_FWD_BSU39410-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,GSNt2_REV_BSU38710-MONOMER_s,METt3_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,THMt6_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s,TYRt2r_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.045547487716380425,0.04562860098483034,0.04568141077344422,0.04562102053214112,0.045634253865875524,0.0456183961767753,0.045626449118117536,0.045574756269739475,0.04562633095262902,0.04562241800364571,0.045626325885524344,0.04563097792786557,0.04562633665517253,0.045626325885524344,0.04562800218065991,0.04562647475203351,0.0473536128140989,0.045626325885524344,0.045626325885524344,0.045626325885524344,0.04563170347768314,0.04345622917173912,0.045626325885524344,0.045626325885524344,0.04562636090927429,0.045626449118117536,0.04551597297783915,0.045626325885524344,0.04563088210395156,0.041755392565518364,0.045626325885524344,0.04591588711735707,0.045626325885524344,0.045626332213657236,0.045618342880583175,0.045626325885524344
protein_biomass_to_biomass,0.026118663032507063,0.02624235980314572,0.026289004225428503,0.026319785161998295,0.026284590401145953,0.026292249180470892,0.026283197181761288,0.026287732824646616,0.026258503534689014,0.026287664713732624,0.026285499431425132,0.026287661777897972,0.026290380177884768,0.026287667993587872,0.026287661777897972,0.02628863049405915,0.026287747484452284,0.027287735541825602,0.026287661777897972,0.026287661777897972,0.026287661777897972,0.026290763213727475,0.025040379225852737,0.026287661777897972,0.026287661777897972,0.026287681968690097,0.02628773282464662,0.026225294858833664,0.026287661777897972,0.026290293022905874,0.024102715100784714,0.026287661777897972,0.02645932460905057,0.026287661777897972,0.026287665421484974,0.02628316807359331,0.026287661777897972
mRNA_biomass_to_biomass,8.836974835493029e-05,8.866438751049486e-05,8.882435696468195e-05,8.891642887851521e-05,8.881077931482571e-05,8.883561701390922e-05,8.880221558269081e-05,8.88210019982874e-05,8.870432159851957e-05,8.882077197028626e-05,8.881052099560112e-05,8.882076233337537e-05,8.882869328013217e-05,8.882078367909562e-05,8.882076233337537e-05,8.882392090918945e-05,8.882105359768206e-05,9.205545118906107e-05,8.882076233337537e-05,8.882076233337537e-05,8.882076233337537e-05,8.883118609830833e-05,8.450133280253521e-05,8.882076233337537e-05,8.882076233337537e-05,8.882083046618373e-05,8.88210019982874e-05,8.856877369096951e-05,8.882076233337537e-05,8.882943759682457e-05,7.995162661093292e-05,8.882076233337537e-05,8.924114592691879e-05,8.882076233337537e-05,8.882077474396881e-05,8.880205643114419e-05,8.882076233337537e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005245481697557708,0.0005254943469494874,0.000526038386719774,0.0005254143177293952,0.0005255610564936628,0.0005253638988510735,0.0005254747033119927,0.0005247831034305526,0.0005254733447318944,0.0005254126999565787,0.0005254732883578134,0.0005255201593311297,0.0005254734134675414,0.0005254732883578134,0.0005254919641373969,0.0005254750123546615,0.0005446539748955093,0.0005254732883578134,0.0005254732883578134,0.0005254732883578134,0.000525534654672367,0.0004999358741360407,0.0005254732883578134,0.0005254732883578134,0.0005254736906644893,0.0005254747033119927,0.0005239850333242711,0.0005254732883578134,0.0005255245039528951,0.0004728805080330128,0.0005254732883578134,0.0005279567888691353,0.0005254732883578134,0.0005254733617560731,0.0005253629839114047,0.0005254732883578134
rRNA_biomass_to_biomass,0.0038691855441090224,0.003882092939918114,0.0038891000656559264,0.003893132635576325,0.0038885054894900366,0.00388959363948899,0.0038881332505191915,0.003888953422503212,0.0038838312554980896,0.003888943370570583,0.0038884943100373375,0.0038889429533117735,0.0038892901438296558,0.0038889438816716196,0.0038889429533117735,0.003889081433785214,0.003888955708209497,0.004030591895410786,0.0038889429533117735,0.0038889429533117735,0.0038889429533117735,0.0038893982583787074,0.003699878957490413,0.0038889429533117735,0.0038889429533117735,0.003888945929910098,0.003888953422503212,0.0038779159033391344,0.0038889429533117735,0.003889322643988308,0.003499907558496689,0.0038889429533117735,0.003907355514982003,0.0038889429533117735,0.003888943496911543,0.0038881264350715465,0.0038889429533117735
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.565038352982421e-05,2.5674688362975157e-05,2.5653254447668417e-05,2.567381861740246e-05,2.5675518380262734e-05,2.5685806790112967e-05,2.5675876759202197e-05,2.5594299462016995e-05,2.567584141139111e-05,2.5668134363551656e-05,2.5675849961857296e-05,2.567388508412746e-05,2.5675839106365152e-05,2.5675849961857296e-05,2.5675609877299017e-05,2.567596124292487e-05,2.5525181426145693e-05,2.5675849961857296e-05,2.5675849961857296e-05,2.5675849961857296e-05,2.5669217554363184e-05,2.4741980760969497e-05,2.5675849961857296e-05,2.5675849961857296e-05,2.5675858519038864e-05,2.5675876759202197e-05,2.5657775084662297e-05,2.5675849961857296e-05,2.567527800030419e-05,2.151337348286602e-05,2.5675849961857296e-05,2.5543087258963973e-05,2.5675849961857296e-05,2.567585238398377e-05,2.568666933643921e-05,2.5675849961857296e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.284464325102864e-05,2.293842466523098e-05,2.3005752199597247e-05,2.294362519890479e-05,2.294869001292822e-05,2.2915408530222475e-05,2.2941575034501508e-05,2.2931516798715585e-05,2.294150873764029e-05,2.293947669086585e-05,2.2941503593945627e-05,2.2946018395576522e-05,2.29414972668591e-05,2.2941503593945627e-05,2.2944104983385177e-05,2.2941572172058213e-05,2.369952707489655e-05,2.2941503593945627e-05,2.2941503593945627e-05,2.2941503593945627e-05,2.295263953021298e-05,2.1578486154264427e-05,2.2941503593945627e-05,2.2941503593945627e-05,2.294152363620378e-05,2.2941575034501508e-05,2.2822275472510464e-05,2.2941503593945627e-05,2.2947392122800585e-05,2.0647153918744772e-05,2.2941503593945627e-05,2.3095878678537135e-05,2.2941503593945627e-05,2.2941506791397045e-05,2.291462084309243e-05,2.2941503593945627e-05
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amba_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
