,base,6PGCt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,3GMPt6_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,ARGPt6_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,BTDt6_RR_REV_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,DHAt_REV_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,CO2t_REV_CPLX_dummy_s,GLYt2r_FWD_CPLX_dummy_s,GMPt6_FWD_CPLX_dummy_s,GSNt2_REV_BSU38710-MONOMER_s,THMDt2_FWD_BSU39410-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,UMPt6_FWD_CPLX_dummy_s,METt3_FWD_CPLX_dummy_s,LEUt2r_FWD_BSU29600-MONOMER_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,URAt2_REV_BSU15480-MONOMER_s,THMt6_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.045392673054631634,0.04534977725805066,0.04534976069491035,0.04534457734799229,0.04545775276947859,0.0453497656980442,0.04535785864866449,0.04528111378112124,0.04534592753092518,0.045346616002688876,0.04535725478044818,0.0453461750175209,0.04535557227005195,0.04534976069491035,0.04535146851407702,0.04532091711039414,0.04708243266599744,0.04525889563369454,0.045349399117875944,0.04562800218065991,0.04534900962872054,0.04325132305693991,0.045301127853864684,0.04534976341457004,0.0453462588399547,0.04535970321633955,0.04534674138891645,0.045349794759330646,0.045356137969261856,0.04125967701382823,0.04467757169352297,0.04536478686299028,0.04554533354777297,0.04534457734799229,0.04534977705415427,0.04535219096499331
protein_biomass_to_biomass,0.026118663032507063,0.026149945138456025,0.02612464974555289,0.026124640201152495,0.02612167467498623,0.026186881756276332,0.026124643099361123,0.026129324651815757,0.026085210713369892,0.026122520588194063,0.02612287401786867,0.026129004379691786,0.026122780879268302,0.02612800070753312,0.026124640201152495,0.026125680919702726,0.026108074681144712,0.027127777182762738,0.026072482901650432,0.02612444758434073,0.02628863049405915,0.026124268940360223,0.02491693428945575,0.02609754795961355,0.026124641770296553,0.02612265746860234,0.026130393671380134,0.0261230036900618,0.026124659835847754,0.02612846346466089,0.023811370800212738,0.025741196417270507,0.02613333934281353,0.026237440383370756,0.02612167467498623,0.026124649825386904,0.02612605687269008
mRNA_biomass_to_biomass,8.836974835493029e-05,8.845547511746834e-05,8.838896777170969e-05,8.838893545541656e-05,8.837812075216548e-05,8.859860671347524e-05,8.838894498770147e-05,8.840414648803525e-05,8.825242387625738e-05,8.837884927900915e-05,8.838147020501305e-05,8.840208657668186e-05,8.837580645261739e-05,8.839989269680148e-05,8.838893545541656e-05,8.839058270503235e-05,8.833235307536205e-05,9.163560241334304e-05,8.820710823015218e-05,8.838776168501803e-05,8.882392090918945e-05,8.838561549068122e-05,8.426049391026894e-05,8.826632368936318e-05,8.838894072971938e-05,8.838111076549861e-05,8.840760500429407e-05,8.837999835056024e-05,8.838900181613234e-05,8.839765876628344e-05,7.915655490791653e-05,8.696525057224908e-05,8.841702690276386e-05,8.876694350094687e-05,8.837812075216548e-05,8.83889612464586e-05,8.839318063271242e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005233154553432325,0.0005229235216781845,0.0005229233307837796,0.0005228595574790097,0.0005241647902336056,0.0005229233865422816,0.0005230132096235433,0.0005221156432143318,0.0005228636620983182,0.0005228791731521998,0.0005230010616659972,0.0005228451579196757,0.0005229881958603165,0.0005229233307837796,0.0005229329997234049,0.0005225870766895829,0.0005421748203857798,0.0005218468262607433,0.0005229164010535164,0.0005254919641373969,0.0005229035609721029,0.0004985096054516336,0.0005221978756203489,0.0005229233618749023,0.0005228769640629798,0.0005230337869998225,0.0005228706784108083,0.0005229237226234296,0.000522975791403789,0.00046817517030246975,0.0005145015285755608,0.0005230894993860961,0.0005251606936479387,0.0005228595574790097,0.0005229234917278005,0.0005229484496254001
rRNA_biomass_to_biomass,0.0038691855441090224,0.0038729398481630625,0.0038700283832713393,0.003870026970935908,0.003869554356263027,0.0038792132683410324,0.003870027383692017,0.0038706932968328427,0.003864047224154122,0.003869585147919543,0.003869699767410284,0.003870601796939076,0.0038694503515398324,0.0038705070279663207,0.003870026970935908,0.003870098658319915,0.0038675408862830795,0.004012199969551895,0.0038620569180485512,0.0038699757432469092,0.003889081433785214,0.0038698809350153868,0.0036892988900258375,0.0038646575356716347,0.003870027200995255,0.003869683809251603,0.003870845388440019,0.00386963732432892,0.003870029870006748,0.00387041050803071,0.003465060804126078,0.0038077393722489253,0.003871257726502582,0.003886590543875901,0.003869554356263027,0.0038700281051938104,0.0038702131115258983
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5864043402965522e-05,2.587658300380277e-05,2.5876577255652588e-05,2.5884102233794514e-05,2.5882219397116194e-05,2.5876568474172125e-05,2.587636602231996e-05,2.5855312042951386e-05,2.5868830303957123e-05,2.5872834813320786e-05,2.5867956300962302e-05,2.5857041743511808e-05,2.5876579173092617e-05,2.5876577255652588e-05,2.5871347437802205e-05,2.5846869691323375e-05,2.5716770133510508e-05,2.585353418142693e-05,2.587518340373794e-05,2.5675609877299017e-05,2.5868546829146824e-05,2.5021479158824356e-05,2.58537652393089e-05,2.587657688680901e-05,2.5871771574437534e-05,2.587349041131882e-05,2.588528139631959e-05,2.5876585699000436e-05,2.586842861906953e-05,2.1667273908748674e-05,2.513212626872416e-05,2.587603538061935e-05,2.5882877275384678e-05,2.5884102233794514e-05,2.5876567680692094e-05,2.58773726308333e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.2808953767365385e-05,2.2794574899232622e-05,2.2794566178817167e-05,2.278453159830909e-05,2.2891140611593243e-05,2.279457159627245e-05,2.280186123563323e-05,2.270143819312308e-05,2.2792622271130174e-05,2.2792104188263643e-05,2.281253569704925e-05,2.280153600853993e-05,2.279946883491992e-05,2.2794566178817167e-05,2.279848885536021e-05,2.274323536618158e-05,2.3553655446131916e-05,2.2676713144865228e-05,2.2794677954374252e-05,2.2944104983385177e-05,2.280075110037133e-05,2.1522761118736696e-05,2.273366674785546e-05,2.2794567994991853e-05,2.279288960902511e-05,2.2802833952643944e-05,2.277484070827761e-05,2.2794585673218638e-05,2.2761418909362254e-05,2.0350335250613847e-05,2.2614013872343518e-05,2.280385167207652e-05,2.2931890455994708e-05,2.278453159830909e-05,2.279457613847322e-05,2.2794987000211835e-05
