,base,ALAt2r_FWD_BSU27810-MONOMER_s,3UMPt6_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,6PGCt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,CMPt6_FWD_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,CHORt2_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,DHAt_REV_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,GSNt2_REV_BSU38710-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,HISt2r_FWD_BSU39390-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,METt3_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,PYRt2_REV_CPLX_dummy_s,THMt6_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s,PHEt2r_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.04533650698379246,0.04533234661117135,0.04533315368927423,0.04544941317751407,0.04534457962385505,0.04527103600010088,0.04533649036152011,0.045336611306374834,0.04536209831674407,0.04533253105101923,0.045340873439853914,0.045626325885524344,0.04534269549982222,0.04533873047643447,0.0453461750175209,0.04530806033253777,0.045336614751087974,0.047068415238900936,0.04522086863062401,0.045336312513086036,0.04526971048432374,0.04317004710532378,0.04533649307964883,0.04533609937435,0.045333527514208646,0.045336524369502196,0.04557980830826122,0.04533528494285719,0.045342979103802555,0.041187420587109565,0.045522960659168846,0.04434219275977216,0.04533650667021302,0.04533234661117135,0.045352119595070906,0.0453389172502805
protein_biomass_to_biomass,0.026118663032507063,0.026117186359842583,0.026114804368893706,0.026115300450033442,0.02618227550102668,0.02612185624801332,0.026079580359097125,0.026117176781326527,0.026117246419833286,0.02613247723618687,0.02611498440810807,0.026119778910478602,0.026287661777897972,0.02612076383164376,0.026118520146910212,0.026122780879268302,0.02610084534235361,0.026117248384527926,0.027119883199061695,0.0260507436441768,0.026117090025936766,0.026079623002705773,0.024870259572194065,0.02611717834960224,0.026117012754949043,0.026115500551265266,0.026117196383612745,0.02625773368895784,0.026116568100416154,0.02612094853216086,0.023769765197325453,0.026224743983573835,0.025548131372083484,0.026117186376380587,0.026114804368893706,0.0261262230752324,0.02611859150798344
mRNA_biomass_to_biomass,8.836974835493029e-05,8.835782445578657e-05,8.834918790229247e-05,8.83499341698297e-05,8.85765132554858e-05,8.837298538150758e-05,8.822765044088283e-05,8.835779202549122e-05,8.83580287376593e-05,8.839148675033629e-05,8.83474614504035e-05,8.836394715509652e-05,8.882076233337537e-05,8.83695186474901e-05,8.836059717327731e-05,8.837580645261739e-05,8.830213911051852e-05,8.835803575780362e-05,9.160299103695723e-05,8.812809807271754e-05,8.835697667298284e-05,8.81998254073089e-05,8.409768821867612e-05,8.835779729625412e-05,8.835517753465866e-05,8.835113869991914e-05,8.83578582728573e-05,8.882210824964194e-05,8.835291831107674e-05,8.836948899056014e-05,7.901423369606958e-05,8.871740953027028e-05,8.630680576570147e-05,8.83578177192498e-05,8.834918790229247e-05,8.838706191154538e-05,8.836203050595377e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005227388447284186,0.0005226879319924487,0.0005226921503468885,0.000524033613873469,0.0005228284275458943,0.0005219686539591709,0.0005227386531596229,0.0005227400536194717,0.0005229363183233905,0.0005226775416664268,0.0005227748858937442,0.0005254732883578134,0.0005228080670662926,0.0005227551685891188,0.0005228451579196757,0.0005224078982048203,0.0005227400958348773,0.0005419814351509273,0.0005213784909586379,0.0005227338402778033,0.0005218038305122199,0.000497546123154282,0.0005227386842294906,0.0005227230560914531,0.0005226992125400602,0.0005227390443302459,0.0005254855377720433,0.0005227100941114211,0.0005228079352139893,0.0004673324229233335,0.0005248669414768639,0.0005106059335534012,0.0005227388135222732,0.0005226879319924487,0.0005229117891506306,0.0005227637324142034
rRNA_biomass_to_biomass,0.0038691855441090224,0.0038686617835416207,0.003868284418725225,0.0038683157906286357,0.003878243565545489,0.003869325918088044,0.003862959644435795,0.0038686603662084814,0.003868670727004426,0.00387013225287478,0.0038682078682051556,0.003868928161719695,0.0038889429533117735,0.003869174138883522,0.0038687827256191055,0.0038694503515398324,0.0038662149838376704,0.0038686710390527924,0.0040107691248707986,0.003858589748415817,0.003868624807618695,0.0038617397480911067,0.0036821638839212812,0.0038686605961108047,0.003868545239940459,0.003868368465413825,0.003868663260325333,0.00388900395469927,0.0038684489852626974,0.0038691734161509814,0.003458819933443373,0.0038844167585913108,0.0037789080310744014,0.003868661496197187,0.0038682844187252247,0.003869942763457686,0.003868846213616846
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.585972098116444e-05,2.586680145154556e-05,2.5855719563442328e-05,2.5863653252413635e-05,2.5859502392984576e-05,2.5839480201479523e-05,2.5859715218431017e-05,2.585979382139051e-05,2.58418822534714e-05,2.5851943539308893e-05,2.5846817983113985e-05,2.5675849961857296e-05,2.5859735336999473e-05,2.5854904411634414e-05,2.5857041743511808e-05,2.5830416959089897e-05,2.5859808953773147e-05,2.5700310899301676e-05,2.582466489522838e-05,2.5858354582102834e-05,2.5829228500430853e-05,2.4983017425729897e-05,2.5859714844904527e-05,2.5851787008937675e-05,2.585532981728979e-05,2.5859723653746156e-05,2.5838431908594588e-05,2.5870774797850916e-05,2.585929036880121e-05,2.1643339572142766e-05,2.58554241550021e-05,2.4942984334689752e-05,2.585970562928265e-05,2.586680145154556e-05,2.585920097824019e-05,2.5860508690103864e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.27851228314344e-05,2.2776444703424384e-05,2.278314138818318e-05,2.289036123301839e-05,2.2792402925802106e-05,2.269625997429123e-05,2.2785114085390257e-05,2.278517220237783e-05,2.2800695000108352e-05,2.2783098489080768e-05,2.2805079479443446e-05,2.2941503593945627e-05,2.279055294454287e-05,2.2789351094124698e-05,2.280153600853993e-05,2.2734046998154855e-05,2.278517066384285e-05,2.3543878409049808e-05,2.2660684255358554e-05,2.27853684082551e-05,2.2726910084905046e-05,2.1475811050584196e-05,2.278511591387298e-05,2.279168416661303e-05,2.2783756385575334e-05,2.2785133525101125e-05,2.2949386635043412e-05,2.2764513473907484e-05,2.2786891576884998e-05,2.035253665362397e-05,2.2941651081281123e-05,2.2473736163520503e-05,2.2785124050364442e-05,2.2776444703424384e-05,2.2795224522178194e-05,2.278553382926142e-05
