,base,6PGCt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,3GMPt6_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,2PGt6_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,CMPt6_FWD_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,CHORt2_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,CO2t_REV_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,GMPt6_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,GSNt2_REV_BSU38710-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,METt3_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,THMt6_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s,TYRt2r_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.045417041344666245,0.045451908331452115,0.04533912439449362,0.04533908351614636,0.04534718020206171,0.045339088471588476,0.04527078903455789,0.04533365019730008,0.04533513035837544,0.045337454781751836,0.04534659057799671,0.04534475218127751,0.04534080109130587,0.04534900962872054,0.047071947441358925,0.0453101143879389,0.04533609937435,0.04563170347768314,0.04524614763527893,0.04534169174937505,0.04533908351614636,0.04313564584637906,0.04533908617560966,0.04528964908952452,0.04533911710880719,0.045337871889458765,0.045344013518697934,0.04534536313317125,0.04534611786486806,0.041195443988589125,0.04463013357116577,0.04535471583419083,0.045537267519919156,0.045339101156466485,0.04533365019730008,0.045341581012721614
protein_biomass_to_biomass,0.026118663032507063,0.026164024218398484,0.02618356404361408,0.026118545721417877,0.026118522180390936,0.02612320589950099,0.026118525051110977,0.026079295436579546,0.02611541354003293,0.026116333373010503,0.026117653745848842,0.026122893858530498,0.026121804147621244,0.026119568536063422,0.026124268940360223,0.02712176122665535,0.026101884262001884,0.026117012754949043,0.026290763213727475,0.026065165343366108,0.026120041253569832,0.026118522180390936,0.02485034687004504,0.026118523714845108,0.026090997023771424,0.02611854154324414,0.02611783698092789,0.026121611488248053,0.026122175552638474,0.0261227365578931,0.023774289331044675,0.02571394413579242,0.026127570205151458,0.026232845749624655,0.026118532541010046,0.02611541354003293,0.026119977597815165
mRNA_biomass_to_biomass,8.836974835493029e-05,8.850196300777968e-05,8.858578527193535e-05,8.836732394202432e-05,8.83672439799271e-05,8.838245256704499e-05,8.836725341963568e-05,8.82314233244695e-05,8.835591015419531e-05,8.835692481909258e-05,8.836202121843038e-05,8.838042021308928e-05,8.837780536408983e-05,8.836891021798182e-05,8.838561549068122e-05,9.161453954580919e-05,8.831041763813616e-05,8.835517753465866e-05,8.883118609830833e-05,8.818157963427374e-05,8.837183949747156e-05,8.83672439799271e-05,8.403353713938939e-05,8.836724913729215e-05,8.824222014125691e-05,8.836730942369919e-05,8.836451090714879e-05,8.836944373455716e-05,8.837843250622598e-05,8.83769223637743e-05,7.903397262530572e-05,8.687042551882567e-05,8.83965213278576e-05,8.874963367582703e-05,8.836727233301183e-05,8.835591015419531e-05,8.83716192843252e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005235896123878513,0.0005240888456840257,0.0005227954181171572,0.0005227949452025947,0.0005228848096130056,0.0005227950004147931,0.0005219913455949257,0.000522728111701181,0.0005227339010883742,0.0005227640311362874,0.000522872823365143,0.0005228574693838777,0.0005228047252718083,0.0005229035609721029,0.0005420501663176476,0.0005224572511861782,0.0005227230560914531,0.000525534654672367,0.0005216957392001941,0.0005228220612674513,0.0005227949452025947,0.0004971675463689875,0.0005227949756034423,0.0005220552252530407,0.0005227953316291783,0.0005227787534869676,0.0005228077199786558,0.0005228609649627149,0.0005228531252447088,0.00046745032994284714,0.0005139406497244445,0.000522968125350647,0.0005250581834534654,0.0005227951211361995,0.000522728111701181,0.0005228208284612298
rRNA_biomass_to_biomass,0.0038691855441090224,0.0038749716357274057,0.003878650583580497,0.003869078726996943,0.0038690752282957547,0.003869741447365934,0.0038690756370073883,0.0038631257493904857,0.0038685799312737417,0.003868623229411176,0.003868846238288291,0.0038696511443878966,0.003869538009353749,0.003869147738712095,0.0038698809350153868,0.004011275851093272,0.0038665784906014755,0.003868545239940459,0.0038893982583787074,0.0038609369972094237,0.0038692763322112295,0.0038690752282957547,0.0036793605451820237,0.0038690754532439667,0.0038636000895692856,0.0038690780872840474,0.003868955387748278,0.0038691720821092345,0.003869564853106125,0.003869500705518901,0.003459691015940209,0.003803587727264842,0.00387035795277974,0.003885831409430996,0.003869076474420277,0.0038685799312737417,0.0038692670733290213
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5844249284856204e-05,2.5875515760821416e-05,2.5871621261037467e-05,2.5871597208534724e-05,2.587138626885802e-05,2.5871588441260037e-05,2.5850405729450296e-05,2.5879551117895695e-05,2.5863824750631013e-05,2.586596560821845e-05,2.586296261288388e-05,2.5871200111534734e-05,2.5866350623121238e-05,2.5868546829146824e-05,2.571287213266618e-05,2.5841862462683575e-05,2.5851787008937675e-05,2.5669217554363184e-05,2.5849297828350062e-05,2.587036047775852e-05,2.5871597208534724e-05,2.4978254065038685e-05,2.5871596854017934e-05,2.5848477758311127e-05,2.587160575747653e-05,2.586996423760559e-05,2.586655864797146e-05,2.5866404301414283e-05,2.586279831594314e-05,2.1654530890326972e-05,2.5106164970439798e-05,2.5871084954918368e-05,2.587563576214802e-05,2.5871584768347043e-05,2.5879551117895695e-05,2.5872430050381623e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.2846043010723504e-05,2.2888783007835475e-05,2.2783614461029484e-05,2.278359459870915e-05,2.2790888276569386e-05,2.2783599944494097e-05,2.2690990863019596e-05,2.2773036751618317e-05,2.278158297725492e-05,2.2782547611796457e-05,2.280157346379185e-05,2.278871640606664e-05,2.2787528881764878e-05,2.280075110037133e-05,2.354209562054815e-05,2.273220667247969e-05,2.279168416661303e-05,2.295263953021298e-05,2.2663172397137747e-05,2.278669721827609e-05,2.278359459870915e-05,2.1438979178240525e-05,2.278359632545818e-05,2.2720227159775856e-05,2.2783613393823282e-05,2.278299037894022e-05,2.2779763839931877e-05,2.2793177297155175e-05,2.2748441716761343e-05,2.0287059433133447e-05,2.2590891511562167e-05,2.2793704228519107e-05,2.2931173808191795e-05,2.2783608480454206e-05,2.2773036751618317e-05,2.2784065010461486e-05
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amba_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3gmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3ump_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_4abut_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_5mtr_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_6pgc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
