,base,6PGCt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,ARGPt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,AMPt6_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,ASNt2r_FWD_CPLX_dummy_s,CMPt6_FWD_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,BTDt6_RR_REV_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,FORt2_REV_BSU27200-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,HISt2r_FWD_BSU39390-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,METt3_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,GSNt2_REV_BSU38710-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,H2Ot_FWD_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,PHEt2r_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s,THMt6_REV_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.045391550921524644,0.045443554888655764,0.045334382842870356,0.045334387840151286,0.045342484105965995,0.04533096971923335,0.045265714534632885,0.04533439943166925,0.045331571580455296,0.045334382842870356,0.04533234661117135,0.045341883627534205,0.04533662807752291,0.04534457734799229,0.04534041932460601,0.04530344128545383,0.045618342880583175,0.04524078694072495,0.047069503201566665,0.045334585424613646,0.04533365019730008,0.04533142081350386,0.04322014425440015,0.04533438556300581,0.04533271280911074,0.04534050782455302,0.04534100380338375,0.045286798430439604,0.04533441693784032,0.041232112783068285,0.04553342146384287,0.04534972162438721,0.045336813046497684,0.045334382842870356,0.045334226205768394,0.04463954880323872
protein_biomass_to_biomass,0.026118663032507063,0.026149274104049203,0.026178724011407146,0.026115773445597467,0.026115776340482955,0.026120459784270234,0.0261138917657047,0.026076331725944292,0.026115783004727826,0.026114195589192295,0.026115773445597467,0.026114804368893706,0.02612014145737711,0.026117119759421582,0.02612167467498623,0.0261192640068428,0.02609800416238564,0.02628316807359331,0.02606202463532997,0.027120318691195317,0.02611590189941993,0.02611541354003293,0.026114097707602455,0.024898919109736222,0.026115775015018723,0.026114909411904065,0.026119337269569495,0.026119736263510784,0.026089273720537452,0.026115793097754105,0.0237954108359108,0.026230609427482517,0.026124653406063226,0.026117190071649338,0.026115773445597467,0.0261156841142794,0.02571934580259642
mRNA_biomass_to_biomass,8.836974835493029e-05,8.845416078971756e-05,8.857017901394928e-05,8.835922365266237e-05,8.835923317173803e-05,8.837444172731337e-05,8.835007689762797e-05,8.822266725811395e-05,8.835925602058802e-05,8.835252236881948e-05,8.835922365266237e-05,8.834918790229247e-05,8.83723886399127e-05,8.83620388503154e-05,8.837812075216548e-05,8.837059754145125e-05,8.82983546853022e-05,8.880205643114419e-05,8.817291240280943e-05,9.161075421235564e-05,8.835926709736765e-05,8.835591015419531e-05,8.835257133062168e-05,8.420158279746903e-05,8.835922892776077e-05,8.835308865507719e-05,8.837011520271794e-05,8.836845147277829e-05,8.823906757040746e-05,8.835929007781642e-05,7.910547906194656e-05,8.874260963622151e-05,8.838789162819565e-05,8.836346891410977e-05,8.835922365266237e-05,8.835888720784187e-05,8.68892471587151e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005233076793154899,0.0005239970175523267,0.000522747834501867,0.0005227478901827472,0.0005228377549150778,0.0005226937225882484,0.0005219398825934022,0.0005227480257012025,0.0005227081952561594,0.000522747834501867,0.0005226879319924487,0.0005228256473208929,0.0005227644093417699,0.0005228595574790097,0.0005228151698021727,0.0005223863290812467,0.0005253629839114047,0.0005216443342180854,0.0005420281140546623,0.000522748102704489,0.000522728111701181,0.0005227083997507599,0.000498161299446752,0.000522747865597738,0.0005227117006095135,0.0005228122492171536,0.0005228032698458171,0.0005220368122305873,0.0005227482267212572,0.000467873328584106,0.000525017168194798,0.0005229174225144452,0.00052277295384111,0.000522747834501867,0.0005227458605330256,0.0005140525735923688
rRNA_biomass_to_biomass,0.0038691855441090224,0.003872881309763662,0.0038779695237835025,0.003868725620440344,0.0038687260326210316,0.003869392254470329,0.003868324927268854,0.003862743915105158,0.003868727035035686,0.0038684318290472903,0.003868725620440344,0.0038682844187252247,0.0038693010532315514,0.0038688484195335705,0.003869554356263027,0.0038692239824516094,0.0038660523191600686,0.0038881264350715465,0.0038605566169396107,0.004011111509958814,0.00386872766831817,0.0038685799312737417,0.003868433763119261,0.003686716807146635,0.003868725850534826,0.00386845840938972,0.003869202742952291,0.0038691312055442505,0.0038634630512531304,0.003868728522325304,0.003462821805272455,0.0038855266607082145,0.003869981719536412,0.0038689117647785873,0.003868725620440344,0.00386871092806592,0.0038044145550219406
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5869316473259876e-05,2.589737805440004e-05,2.5887146966240123e-05,2.588713820980888e-05,2.5886933004874063e-05,2.587979501982414e-05,2.5865910939640455e-05,2.588715270040598e-05,2.5883891485920454e-05,2.5887146966240123e-05,2.586680145154556e-05,2.5878522488505734e-05,2.588233839868626e-05,2.5884102233794514e-05,2.588750873241902e-05,2.5862080903135903e-05,2.568666933643921e-05,2.5852356387368106e-05,2.5726799419472443e-05,2.5886214032214372e-05,2.5879551117895695e-05,2.5882761507167752e-05,2.5023968304642933e-05,2.5887146600098066e-05,2.589354784509083e-05,2.5886064610089613e-05,2.5878619763532702e-05,2.5860826118013888e-05,2.5887155354181984e-05,2.1677493121320385e-05,2.5899489543406586e-05,2.5887142723619776e-05,2.5887942026772768e-05,2.5887146966240123e-05,2.5887479280070754e-05,2.5142747615440988e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.2797667605635252e-05,2.2864522427914592e-05,2.27670085632041e-05,2.276701396134394e-05,2.2774308926163807e-05,2.2765313545202703e-05,2.2673836948610675e-05,2.2767017324139662e-05,2.276453418414649e-05,2.27670085632041e-05,2.2776444703424384e-05,2.2784988701605505e-05,2.2771247302346484e-05,2.278453159830909e-05,2.277205538648155e-05,2.2710697896510884e-05,2.291462084309243e-05,2.2647228074002116e-05,2.3528068928681707e-05,2.2767454617766207e-05,2.2773036751618317e-05,2.276564966721231e-05,2.1479487741806547e-05,2.2767010378637756e-05,2.275010651123451e-05,2.277216886843161e-05,2.2734345021776953e-05,2.270848492769462e-05,2.2767028120966897e-05,2.0305245917834147e-05,2.290830531879712e-05,2.2776501010750292e-05,2.2767429985015926e-05,2.27670085632041e-05,2.276662211998056e-05,2.2571863293347752e-05
