,base,6PGCt6_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,ACACt2_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,3UMPt6_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,CHORt2_FWD_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,FORt2_REV_BSU27200-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,GSNt2_REV_BSU38710-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,LEUt2r_FWD_BSU29600-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,METt3_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,THMt6_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s
biomass_dilution,0.04533943265453611,0.04537733627061489,0.045333269709239316,0.04526742220259804,0.045336083978210144,0.045448928704401696,0.04534416585585323,0.04533265684836946,0.04533606739690968,0.04533607240861161,0.04533142081350386,0.045343564937573765,0.045342278131901906,0.045333527514208646,0.04530762664017025,0.045237290861073226,0.0453462588399547,0.04533593150960663,0.045338318781052135,0.045626449118117536,0.047069205560174306,0.04528621319995732,0.043212149008343616,0.04533610145333401,0.045337871889458765,0.045336070118858186,0.04533606739690968,0.0453425812079662,0.045333050527863135,0.04122036290374298,0.04534586491179218,0.04466596200705854,0.04533849705532173,0.04535170349829988,0.045540003587679546,0.04533608375659413,0.04533142081350386
protein_biomass_to_biomass,0.026118663032507063,0.02614110930963288,0.026115187804572722,0.026077329474932593,0.026116767543932162,0.026181820805884302,0.026121442723378827,0.026114877780768164,0.026116757989072467,0.02611676089221124,0.026114097707602455,0.02612112414123755,0.026120348240889216,0.026115500551265266,0.026100420489323213,0.026060045144169274,0.02612265746860234,0.026116695278196073,0.026118107839034833,0.02628773282464662,0.027120157971156345,0.026088959045243193,0.0248943456789175,0.02611677761915408,0.02611783698092789,0.026116759559535897,0.026116757989072467,0.026120659802159253,0.026115122848808365,0.02378864399218304,0.02612242954030252,0.025734538197927273,0.02611817430238776,0.026125808181119058,0.02623439806419302,0.026116767613566107,0.026114097707602455
mRNA_biomass_to_biomass,8.836974835493029e-05,8.842578288000916e-05,8.835555035922135e-05,8.822571239878271e-05,8.836225245308935e-05,8.8580834621192e-05,8.837743233264576e-05,8.835307873695153e-05,8.83622201013356e-05,8.836222965041077e-05,8.835257133062168e-05,8.837537844155653e-05,8.837395833540927e-05,8.835113869991914e-05,8.830654330081489e-05,8.81651013785634e-05,8.838111076549861e-05,8.836148858657364e-05,8.836504751916182e-05,8.88210019982874e-05,9.160995952739006e-05,8.823733985875152e-05,8.418505564178868e-05,8.836228644661546e-05,8.836451090714879e-05,8.836222538009254e-05,8.83622201013356e-05,8.837121226811565e-05,8.835328868765938e-05,7.908262690738702e-05,8.838054182589705e-05,8.694177913613169e-05,8.836646425203674e-05,8.83915051907083e-05,8.8755772562648e-05,8.836224589312923e-05,8.835257133062168e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005231398022268767,0.00052272582521967,0.0005219576143856599,0.000522765470174886,0.0005240596122579831,0.0005228551650054323,0.0005227111989492804,0.0005227652790710777,0.0005227653349288846,0.0005227083997507599,0.0005228430526470597,0.0005228347616782792,0.0005226992125400602,0.000522434381965443,0.0005215980492259282,0.0005228769640629798,0.0005227609665042004,0.0005227819260739824,0.0005254747033119927,0.0005420231029023985,0.0005220264122639999,0.0004980634765076776,0.0005227656708197294,0.0005227787534869676,0.0005227653101884641,0.0005227652790710777,0.0005228193310684737,0.000522712660336861,0.00046773800517490037,0.0005228736098567492,0.0005143626405532477,0.0005227903918430014,0.0005229385049371941,0.0005250945432985237,0.0005227654400194766,0.0005227083997507599
rRNA_biomass_to_biomass,0.0038691855441090224,0.003871637651190713,0.00386856294116729,0.003862875778117025,0.003868856768884697,0.003878433913685798,0.0038695217334915356,0.0038684548975484708,0.0038688553549975488,0.0038688557684897185,0.003868433763119261,0.003869430497288965,0.0038693696362598153,0.003868368465413825,0.0038664089220020966,0.003860214056173724,0.003869683809251603,0.0038688234966014613,0.0038689786884412926,0.003888953422503212,0.004011075302826188,0.003863386387359538,0.0036859927102440076,0.0038688582533941886,0.003868955387748278,0.003868855585251487,0.0038688553549975488,0.0038692506661573453,0.003868465957974522,0.0034618204856376985,0.003869658166460058,0.003806711042329017,0.0038690414507064484,0.0038701384180275383,0.003886100603686477,0.00386885648928722,0.003868433763119261
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.586287812231503e-05,2.5871479417205465e-05,2.585354713226516e-05,2.5874818496113568e-05,2.5878727014278865e-05,2.587460162837594e-05,2.5867457504925828e-05,2.5874812750493324e-05,2.5874803969887416e-05,2.5882761507167752e-05,2.5866192012046e-05,2.5874833858544327e-05,2.585532981728979e-05,2.584549324289631e-05,2.5847566748709342e-05,2.5871771574437534e-05,2.5873555958892273e-05,2.5870001440406704e-05,2.5675876759202197e-05,2.5715425831663026e-05,2.585260763640737e-05,2.501733309945633e-05,2.5874821197408478e-05,2.586996423760559e-05,2.587481238071972e-05,2.5874812750493324e-05,2.5866764370827873e-05,2.58835139671062e-05,2.1666886930607817e-05,2.5871172877325282e-05,2.5124982483703092e-05,2.5875607575817313e-05,2.5874299769891398e-05,2.587876793890838e-05,2.5874803171677512e-05,2.5882761507167752e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.2786859893599493e-05,2.27729684310468e-05,2.2682245982126646e-05,2.2775380807353544e-05,2.288060762822532e-05,2.2782668115820528e-05,2.2773683179570756e-05,2.2775372063498264e-05,2.277537749264314e-05,2.276564966721231e-05,2.279334650046686e-05,2.2780815380453832e-05,2.2783756385575334e-05,2.2724285091479773e-05,2.264554978180761e-05,2.279288960902511e-05,2.2775629774134915e-05,2.2779619085366765e-05,2.2941575034501508e-05,2.3534939154874588e-05,2.271194464613087e-05,2.1475309542092723e-05,2.277539154781932e-05,2.278299037894022e-05,2.2775373882584257e-05,2.2775372063498264e-05,2.2742293227606855e-05,2.2755655633916286e-05,2.029866130638315e-05,2.2785264049467773e-05,2.2605628295075178e-05,2.2775793463552256e-05,2.2785487376022006e-05,2.2926924891393792e-05,2.2775382025578816e-05,2.276564966721231e-05
