,base,AMPt6_FWD_CPLX_dummy_s,6PGCt6_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,ARGPt6_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,3GMPt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,CITt2r_FWD_BSU38770-MONOMER_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,GSNt2_REV_BSU38710-MONOMER_s,THMDt2_FWD_BSU39410-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,HISt2r_FWD_BSU39390-MONOMER_s,METt3_FWD_CPLX_dummy_s,LEUt2r_FWD_BSU29600-MONOMER_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,UMPt6_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,THMt6_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s
biomass_dilution,0.04533943265453611,0.045336264891764295,0.04538033832620021,0.04527041537937102,0.045339606688057164,0.04534770147463243,0.04533441693784032,0.045339618256668206,0.04533961765316912,0.045335718296723455,0.045452476904266466,0.04534710123358731,0.04534527333447019,0.045336524369502196,0.0453413143497612,0.045240279292617404,0.045310721946068125,0.04562636090927429,0.045339288477607355,0.045349794759330646,0.04707256837674757,0.04533911710880719,0.04528944302830502,0.04533960439704678,0.04322024316122631,0.04533610145333401,0.045336585585765574,0.04533960167529663,0.0453459875862046,0.04534515343187474,0.04122648723335893,0.04554302141596239,0.04467473361265177,0.04535524024979364,0.04534203194690481,0.04533907820386313,0.04533441693784032
protein_biomass_to_biomass,0.026118663032507063,0.026116882660880265,0.026142808138679686,0.02607902321818927,0.02611876231997638,0.026123444918626754,0.026115793097754105,0.02611876897111043,0.026118768626417932,0.026116610838654603,0.02618383017692744,0.026123126729631182,0.026122043100678356,0.026117196383612745,0.02611980291529043,0.026061736174222874,0.026102172994216345,0.026287681968690097,0.026118594642375294,0.026124659835847754,0.027122064084690936,0.02611854154324414,0.026090785184114004,0.026118760986573536,0.02489897610581708,0.02611677761915408,0.02611712473630105,0.026118759416227835,0.026122587615943174,0.02612199686091852,0.023792154683919146,0.026236105846147127,0.025739558654179952,0.02612781102560006,0.026120176082549924,0.026118462041186362,0.026115793097754105
mRNA_biomass_to_biomass,8.836974835493029e-05,8.836226700133774e-05,8.84325126577044e-05,8.823242383413348e-05,8.837011735358282e-05,8.838532277636705e-05,8.835929007781642e-05,8.837014015472335e-05,8.837013892273838e-05,8.835992434310721e-05,8.858875178799972e-05,8.838327012027312e-05,8.838067524655212e-05,8.83578582728573e-05,8.837176499143786e-05,8.817180309887644e-05,8.831345577833008e-05,8.882083046618373e-05,8.836902877947236e-05,8.838900181613234e-05,9.161741294157328e-05,8.836730942369919e-05,8.824463115520475e-05,8.837011308083072e-05,8.42017753776703e-05,8.836228644661546e-05,8.836117757714766e-05,8.837010780237939e-05,8.837884919388688e-05,8.837976643494497e-05,7.909506656786767e-05,8.876253711463497e-05,8.695982587861728e-05,8.839939795831488e-05,8.837435315981125e-05,8.836896123980613e-05,8.835929007781642e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.000522765639789779,0.0005231796941932947,0.0005219973981841148,0.0005228120736974934,0.0005229019199646652,0.0005227482267212572,0.0005228122089347445,0.0005228122015576071,0.000522751774882399,0.0005241065254472027,0.0005228898149035634,0.000522874577855734,0.0005227390443302459,0.0005228217455388992,0.0005216377753093455,0.0005224753556343001,0.0005254736906644893,0.0005228056482812924,0.0005229237226234296,0.0005420672834219813,0.0005227953316291783,0.0005220696246571516,0.0005228120489428615,0.0004981624384216871,0.0005227656708197294,0.0005227594061123142,0.0005228120178272247,0.000522864585435458,0.0005228691420063487,0.0004678116161755586,0.0005251346413626257,0.0005144694529142325,0.000522985273644479,0.0005228371377306146,0.0005228052469412841,0.0005227482267212572
rRNA_biomass_to_biomass,0.0038691855441090224,0.0038688576082613006,0.0038719328921205105,0.0038631702175259673,0.0038692016825185183,0.0038698677675056657,0.003868728522325304,0.0038692026828486496,0.0038692026283061657,0.0038687551978414405,0.0038787811185253514,0.003869776585077532,0.003869664315363229,0.003868663260325333,0.003869273391868602,0.0038605080685444235,0.0038667121641902972,0.003888945929910098,0.0038691541932327532,0.003870029870006748,0.004011402226741576,0.0038690780872840474,0.0038637061931943257,0.0038692014991750833,0.00368672523306788,0.0038688582533941886,0.0038688119238656244,0.0038692012689341038,0.003869585598416831,0.0038696244411911282,0.003462365395064161,0.003886397369784625,0.0038075016170350624,0.003870484553766738,0.0038693874174595233,0.0038691510998778737,0.003868728522325304
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.58758753193109e-05,2.5867272973422656e-05,2.5857941996300923e-05,2.5879618329698777e-05,2.587941605775543e-05,2.5887155354181984e-05,2.587963286263061e-05,2.587963067222616e-05,2.5871867659677244e-05,2.588354268471002e-05,2.5871004904497544e-05,2.5879230288546012e-05,2.5859723653746156e-05,2.5874397190455286e-05,2.5851955787933127e-05,2.584996414125919e-05,2.5675858519038864e-05,2.587823548546104e-05,2.5876585699000436e-05,2.571982813532051e-05,2.587160575747653e-05,2.5857263038331208e-05,2.5879626743592233e-05,2.5024002426578062e-05,2.5874821197408478e-05,2.5888329974122974e-05,2.5879627112407018e-05,2.587147855211314e-05,2.5878036871487504e-05,2.1671524121201138e-05,2.5883165944847998e-05,2.513212587208167e-05,2.5879114174350666e-05,2.5880422156099804e-05,2.587919954706704e-05,2.5887155354181984e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.277434376715366e-05,2.2788237568272508e-05,2.2683619409772276e-05,2.277707119477966e-05,2.278436297367126e-05,2.2767028120966897e-05,2.2777074507409434e-05,2.2777074932367012e-05,2.2775096599016314e-05,2.2882314372071983e-05,2.2795043532719575e-05,2.2782190906201085e-05,2.2785133525101125e-05,2.278099503050945e-05,2.2646917653581042e-05,2.272570286089699e-05,2.294152363620378e-05,2.2777243116977104e-05,2.2794585673218638e-05,2.3536493177534594e-05,2.2783613393823282e-05,2.2713466081871944e-05,2.2777067583262414e-05,2.1479546593301445e-05,2.277539154781932e-05,2.275734776597452e-05,2.2777065764527557e-05,2.2743924695108772e-05,2.2781950185650113e-05,2.0301937806478162e-05,2.2928317150775966e-05,2.2610193795601784e-05,2.2787182749661565e-05,2.2777487414503702e-05,2.2776756903411726e-05,2.2767028120966897e-05
