,base,3GMPt6_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,6PGCt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,ALAt2r_FWD_BSU27810-MONOMER_s,ASPt2r_FWD_BSU10220-MONOMER_s,BTDt6_RR_REV_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,CMPt6_FWD_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,FORt2_REV_BSU27200-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,GSNt2_REV_BSU38710-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,UMPt6_FWD_CPLX_dummy_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,METt3_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s,TYRt2r_REV_CPLX_dummy_s,THMt6_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.045543530455237194,0.04547076596521755,0.0455392848657662,0.04553342146384287,0.04554440868276813,0.04555160844538597,0.04551451695448331,0.045543530455237194,0.04554353518561546,0.04554303325872595,0.045522960659168846,0.04554217584411343,0.04555092415606715,0.045626325885524344,0.04551448832890053,0.045445671337652684,0.04554512782821035,0.04554533354777297,0.04727681649963634,0.04554213963644574,0.045537267519919156,0.04552115423785841,0.04227805190817151,0.04554353313928286,0.04554302141596239,0.045540003587679546,0.04553731373950617,0.04555158061609702,0.0455408690442254,0.040179388448299866,0.045543530455237194,0.04467473361265177,0.04554562381567084,0.04553342146384287,0.04554596653341302,0.045543003704382884
protein_biomass_to_biomass,0.026118663032507063,0.02623639507999486,0.026194603698948167,0.026234038294972676,0.026230609427482517,0.02623694981172824,0.026241068143169028,0.02622074319060081,0.02623639507999486,0.026236397821124552,0.02623611266528388,0.026224743983573835,0.026235624343886287,0.026240701410317906,0.026287661777897972,0.02621971518679942,0.02618031518791664,0.026237372310338125,0.026237440383370756,0.027239908363731063,0.026235609749635826,0.026232845749624655,0.026224626895257327,0.02435736100955091,0.02623639662863004,0.026236105846147127,0.02623439806419302,0.026232830632653577,0.026241145576487563,0.026234960675852778,0.02318839095740175,0.02623639507999486,0.025739558654179952,0.02623763461987861,0.026230609427482517,0.026237815177407097,0.026236095831424493
mRNA_biomass_to_biomass,8.836974835493029e-05,8.876364999632853e-05,8.861884680955696e-05,8.875274661093953e-05,8.874260963622151e-05,8.876395118022525e-05,8.87788185946694e-05,8.86754805770801e-05,8.876364999632853e-05,8.876365899373682e-05,8.876256032036434e-05,8.871740953027028e-05,8.876069792872887e-05,8.877660178772308e-05,8.882076233337537e-05,8.870668036557916e-05,8.856447059398982e-05,8.876507533391843e-05,8.876694350094687e-05,9.201084425977951e-05,8.87604564739644e-05,8.874963367582703e-05,8.868621331020678e-05,8.23300223278822e-05,8.876365520066753e-05,8.876253711463497e-05,8.8755772562648e-05,8.87509790656187e-05,8.877629258903832e-05,8.875552498978557e-05,7.7068762573883e-05,8.876364999632853e-05,8.695982587861728e-05,8.876672531460236e-05,8.874260963622151e-05,8.876790405086038e-05,8.876249654979679e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005251412221196911,0.0005242844807800439,0.0005250767114592418,0.000525017168194798,0.0005251430053824461,0.00052523084992197,0.0005246170945388958,0.0005251412221196911,0.0005251412747150691,0.000525134778595153,0.0005248669414768639,0.0005251237781806705,0.0005252177832290195,0.0005254732883578134,0.0005248026785223689,0.0005239626394581908,0.0005251495824503097,0.0005251606936479387,0.0005443958953119043,0.0005251223463947944,0.0005250581834534654,0.0005246831821281193,0.00048709575593784547,0.0005251412527972057,0.0005251346413626257,0.0005250945432985237,0.0005250662891268413,0.0005252166696497217,0.0005250933895519,0.00045583426718504694,0.0005251412221196911,0.0005144694529142325,0.0005251594120838772,0.000525017168194798,0.0005251663933858181,0.0005251344104740784
rRNA_biomass_to_biomass,0.0038691855441090224,0.0038864460758394038,0.003880103174829085,0.003885968438953531,0.0038855266607082145,0.0038864591701065045,0.003887110542843168,0.003882598644715721,0.0038864460758394038,0.0038864464651681527,0.0038863983850389605,0.0038844167585913108,0.003886316711741469,0.003887012242957013,0.0038889429533117735,0.0038839430521962074,0.0038777188179146735,0.0038865080766122724,0.003886590543875901,0.004028642016997855,0.003886306360251159,0.003885831409430996,0.0038830595819310232,0.0036048346674451594,0.003886446302835957,0.003886397369784625,0.003886100603686477,0.003885891334481451,0.0038870004105456776,0.0038860920995268185,0.003373734177324978,0.0038864460758394038,0.0038075016170350624,0.003886580726175877,0.0038855266607082145,0.0038866326050667724,0.0038863956051662396
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5883575844271565e-05,2.5860795623483915e-05,2.5875644539223743e-05,2.5899489543406586e-05,2.5879691717146002e-05,2.5883361073515067e-05,2.5744282079191527e-05,2.5883575844271565e-05,2.588356706170066e-05,2.5883173594657765e-05,2.58554241550021e-05,2.5883453188467967e-05,2.5875095372312575e-05,2.5675849961857296e-05,2.5853809194758402e-05,2.5866327760754304e-05,2.5878408507690703e-05,2.5882877275384678e-05,2.5723735537343405e-05,2.5882196958444448e-05,2.587563576214802e-05,2.5839884578913686e-05,2.4370948526404758e-05,2.5883575473159075e-05,2.5883165944847998e-05,2.587876793890838e-05,2.588065036852524e-05,2.5879750227728e-05,2.5893003276059966e-05,2.1001302683917472e-05,2.5883575844271565e-05,2.513212587208167e-05,2.588340291193946e-05,2.5899489543406586e-05,2.5884378361601322e-05,2.588314798557102e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.2928618945528597e-05,2.2830387568868536e-05,2.2926488308463503e-05,2.290830531879712e-05,2.2928783556428855e-05,2.293589925104171e-05,2.2970217258652792e-05,2.2928618945528597e-05,2.2928624169683466e-05,2.2928321670753468e-05,2.2941651081281123e-05,2.292816575176862e-05,2.294647909935879e-05,2.2941503593945627e-05,2.287712924752158e-05,2.2816600805319957e-05,2.2932450402845062e-05,2.2931890455994708e-05,2.3687189199668084e-05,2.292804256140248e-05,2.2931173808191795e-05,2.290585207056943e-05,2.1043936510922764e-05,2.2928620741433954e-05,2.2928317150775966e-05,2.2926924891393792e-05,2.2926622942515802e-05,2.2917529823036858e-05,2.2908970860865874e-05,1.9889067591806445e-05,2.2928618945528597e-05,2.2610193795601784e-05,2.2929455624211232e-05,2.290830531879712e-05,2.2929037849382113e-05,2.292830760642814e-05
