,base,ARGPt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,6PGCt6_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,3UMPt6_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,ASNt2r_FWD_CPLX_dummy_s,BTDt6_RR_REV_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,CITt2r_FWD_BSU38770-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,CHORt2_FWD_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,GMPt6_FWD_CPLX_dummy_s,GSNt2_REV_BSU38710-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,METt3_FWD_CPLX_dummy_s,LEUt2r_FWD_BSU29600-MONOMER_s,UMPt6_FWD_CPLX_dummy_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,THMt6_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s,PHEt2r_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.04535404559945187,0.045458837508992045,0.04534595344739186,0.04534599796779098,0.04538545929204617,0.045342611795907276,0.04527108620143143,0.04534199474874328,0.045345994478406544,0.04534098507470646,0.04557980830826122,0.04535359287621474,0.045351642102195784,0.045626325885524344,0.04707801576266553,0.045356137969261856,0.04534806582450516,0.04534563774823866,0.04531973266975702,0.04524738230309636,0.0431982361510513,0.045294470141483086,0.04534611786486806,0.04534595614626614,0.0453425812079662,0.04534179641637442,0.0453459875862046,0.04535174815724399,0.04534595344739186,0.04122998733811366,0.04466753694253008,0.04555158061609702,0.04534597090896283,0.045348486814151434,0.04534100380338375,0.045361597088578
protein_biomass_to_biomass,0.026118663032507063,0.02612724906318262,0.0261876441599943,0.026122567938292027,0.026122593598322735,0.026145905078455135,0.026120688372705102,0.02607956641199009,0.026120375942344662,0.026122591604303715,0.026119725479312322,0.02625773368895784,0.026127020122854387,0.02612586142576564,0.026287661777897972,0.027125352209224327,0.02612846346466089,0.026123841871136096,0.026122401724666233,0.026107507274171583,0.026065991222194225,0.02488644308093274,0.026093849076801692,0.0261227365578931,0.02612256949544228,0.026120659802159253,0.026120263497754884,0.026122587615943174,0.02612593116105871,0.026122567938292027,0.02379423878936521,0.025735614753607305,0.026241145576487563,0.026122578193688958,0.026124039637212472,0.026119736263510784,0.02613161803144798
mRNA_biomass_to_biomass,8.836974835493029e-05,8.839398185608525e-05,8.859743296925178e-05,8.837878269010179e-05,8.837886945532532e-05,8.843908357534888e-05,8.837093243395794e-05,8.822987460439275e-05,8.836845238617615e-05,8.837886239099135e-05,8.836841472655685e-05,8.882210824964194e-05,8.839215743660572e-05,8.838938314736137e-05,8.882076233337537e-05,9.162428960482942e-05,8.839765876628344e-05,8.838125199826676e-05,8.837769870567087e-05,8.832739252509161e-05,8.818176743719656e-05,8.415536248047564e-05,8.825040668748992e-05,8.83769223637743e-05,8.837878792383432e-05,8.837121226811565e-05,8.836799552363272e-05,8.837884919388688e-05,8.838934562790924e-05,8.837878269010179e-05,7.909988861110978e-05,8.694113050503697e-05,8.877629258903832e-05,8.837881075982797e-05,8.838331710178209e-05,8.836845147277829e-05,8.840815707757931e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005229540014172517,0.0005241587360308923,0.0005228641927467726,0.000522864705098642,0.0005232193825187686,0.0005228177586453941,0.0005219831606912998,0.0005228030824176682,0.0005228646627729151,0.000522803052951742,0.0005254855377720433,0.0005229432852999405,0.0005229269475588758,0.0005254732883578134,0.0005421087850281716,0.000522975791403789,0.0005228787428588025,0.0005228577937985276,0.0005225587898022794,0.0005216975458124135,0.000497888870517119,0.0005221046108989492,0.0005228531252447088,0.0005228642235993635,0.0005228193310684737,0.000522800519582177,0.000522864585435458,0.0005229267224918331,0.0005228641927467726,0.00046784064379048736,0.0005143598402176986,0.0005252166696497217,0.0005228643669299035,0.0005228910072474512,0.0005228032698458171,0.0005230379250980534
rRNA_biomass_to_biomass,0.0038691855441090224,0.0038702484993036065,0.0038791628045957115,0.003869582693080663,0.0038695864838049557,0.0038722226412026303,0.003869238618583626,0.0038630599467045397,0.0038691302057822043,0.003869586170888179,0.0038691295981667403,0.00388900395469927,0.0038701675576808345,0.0038700471834465077,0.0038889429533117735,0.00401170489099188,0.00387041050803071,0.0038696904881081453,0.003869535399999953,0.003867324720015101,0.0038609462535117607,0.0036846978245321967,0.003863960884695538,0.003869500705518901,0.003869582921372546,0.0038692506661573453,0.003869112053980281,0.003869585598416831,0.0038700460709743885,0.003869582693080663,0.003462576703824369,0.0038066861654629113,0.0038870004105456776,0.003869583926820027,0.0038697814058471862,0.0038691312055442505,0.0038708695335402956
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5871257623987864e-05,2.5875402516333323e-05,2.5871470084606214e-05,2.5871482042572644e-05,2.5857581123069563e-05,2.5867717698356645e-05,2.584819822835287e-05,2.5863695254688666e-05,2.587146933788478e-05,2.587862657421546e-05,2.5838431908594588e-05,2.586252079664531e-05,2.5871063821837965e-05,2.5675849961857296e-05,2.5711939800134712e-05,2.586842861906953e-05,2.5866272546329136e-05,2.5870078176416503e-05,2.5844509978339535e-05,2.5840673879252537e-05,2.499786654912551e-05,2.5845635546995084e-05,2.586279831594314e-05,2.5871469725537587e-05,2.5866764370827873e-05,2.5880420321086882e-05,2.587147855211314e-05,2.5871533960548733e-05,2.5871470084606214e-05,2.1669043794482416e-05,2.511081100692865e-05,2.5879750227728e-05,2.5871457931125254e-05,2.5872764081077843e-05,2.5878619763532702e-05,2.5871503345192082e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,1.4332986361580972e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.2751198028097595e-05,2.2849132888764264e-05,2.2743905208422538e-05,2.2743930010211344e-05,2.2743918540200653e-05,2.2741186194218922e-05,2.2642502468332507e-05,2.2741902989008367e-05,2.2743931292018392e-05,2.2734320861700036e-05,2.2949386635043412e-05,2.275841304073388e-05,2.2749046462385106e-05,2.2941503593945627e-05,2.350303032750357e-05,2.2761418909362254e-05,2.2746145343462755e-05,2.2744082767099314e-05,2.2697141543108576e-05,2.2604777777265528e-05,2.1428913014970297e-05,2.2669421151469146e-05,2.2748441716761343e-05,2.27439070162899e-05,2.2742293227606855e-05,2.272371172523413e-05,2.2743924695108772e-05,2.274704503508108e-05,2.2743905208422538e-05,2.0302949710066106e-05,2.254094282609572e-05,2.2917529823036858e-05,2.2743918882946016e-05,2.2746386729450003e-05,2.2734345021776953e-05,2.2756795379412385e-05
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amba_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3gmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3ump_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_4abut_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_5mtr_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_6pgc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_Larab_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_Lcyst_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_abt__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ac_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_acac_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_acgam_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_acmana_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_acnam_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_actn__R_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ade_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_adn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_akg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ala_B_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ala__D_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ala_L_Thr__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ala_L_asp__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ala__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
