,base,6PGCt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,3GMPt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,ACNAMt2_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,BTDt6_RR_REV_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,FORt2_REV_BSU27200-MONOMER_s,GLYt2r_FWD_CPLX_dummy_s,HISt2r_FWD_BSU39390-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,GSNt2_REV_BSU38710-MONOMER_s,METt3_FWD_CPLX_dummy_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,UMPt6_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,PHEt2r_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,THMt6_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s
biomass_dilution,0.04533943265453611,0.04514728295854999,0.045368393005556874,0.04524257951726161,0.04524078375926146,0.04524888839113721,0.04524078375926146,0.04524078375926146,0.04524078375926146,0.04523685323479037,0.04517836155708477,0.045248280347240044,0.04522086863062401,0.04524646459292252,0.04525889563369454,0.04698084070949671,0.04524253816691335,0.04562647475203351,0.04524078375926146,0.04524078375926146,0.045242670720319976,0.04524614763527893,0.045237290861073226,0.045240279292617404,0.04322023321319476,0.04524078375926146,0.04471457781171798,0.04523330091625993,0.04524738230309636,0.04524301940273899,0.04138064672578413,0.04469037997142746,0.045445671337652684,0.04525816709981925,0.04524230471966047,0.045240786605105346,0.04524078694072495
protein_biomass_to_biomass,0.026118663032507063,0.02600858084662374,0.026135785474428522,0.02606308595124079,0.026062022801280026,0.026066711061298473,0.026062022801280026,0.026062022801280026,0.026062022801280026,0.02605984684326094,0.026026177823396075,0.026066388233691364,0.0260507436441768,0.026065311556687697,0.026072482901650432,0.027069403352308383,0.026063090139202376,0.026287747484452284,0.026062022801280026,0.026062022801280026,0.02606312643433944,0.026065165343366108,0.026060045144169274,0.026061736174222874,0.02489897036591049,0.026062022801280026,0.02575965128078481,0.02605774289228924,0.026065991222194225,0.026063339172713553,0.02388140299087096,0.025748892072296595,0.02618031518791664,0.026072100460077626,0.026062923822330268,0.02606202443987621,0.02606202463532997
mRNA_biomass_to_biomass,8.836974835493029e-05,8.797684990786495e-05,8.841384753785416e-05,8.817539160399862e-05,8.81729062355373e-05,8.818813147215824e-05,8.81729062355373e-05,8.81729062355373e-05,8.81729062355373e-05,8.816263655507006e-05,8.804839413809032e-05,8.818606660478233e-05,8.812809807271754e-05,8.818349816521563e-05,8.820710823015218e-05,9.143413231713282e-05,8.817464958754952e-05,8.882105359768206e-05,8.81729062355373e-05,8.81729062355373e-05,8.817609262035979e-05,8.818157963427374e-05,8.81651013785634e-05,8.817180309887644e-05,8.42017560087623e-05,8.81729062355373e-05,8.712216172444517e-05,8.81572996477028e-05,8.818176743719656e-05,8.817641836551602e-05,7.93825330540632e-05,8.698030247257167e-05,8.856447059398982e-05,8.820496793063817e-05,8.817513702661735e-05,8.817291181641909e-05,8.817291240280943e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005204855082320324,0.00052307129922653,0.0005216592323255738,0.0005216442983901359,0.0005217342611934265,0.0005216442983901359,0.0005216442983901359,0.0005216442983901359,0.0005215835474224245,0.0005209078675807132,0.0005217220869962885,0.0005213784909586379,0.0005217069942807336,0.0005218468262607433,0.0005409821257237243,0.0005216545383782898,0.0005254750123546615,0.0005216442983901359,0.0005216442983901359,0.0005216630751363532,0.0005216957392001941,0.0005215980492259282,0.0005216377753093455,0.0004981623244587043,0.0005216442983901359,0.0005154318711832853,0.0005215521600878997,0.0005216975458124135,0.0005216649925133296,0.00046951179652294985,0.0005145871064316128,0.0005239626394581908,0.0005218339997178136,0.0005216574963006148,0.0005216443313817651,0.0005216443342180854
rRNA_biomass_to_biomass,0.0038691855441090224,0.0038519861431014777,0.0038711152183421313,0.0038606661245548573,0.0038605563475842685,0.003861223295348722,0.0038605563475842685,0.0038605563475842685,0.0038605563475842685,0.003860106518837002,0.003855103609781077,0.0038611316017545714,0.003858589748415817,0.0038610204611754777,0.0038620569180485512,0.004003368249223797,0.0038606322660911198,0.003888955708209497,0.0038605563475842685,0.0038605563475842685,0.0038606957235557842,0.0038609369972094237,0.003860214056173724,0.0038605080685444235,0.0036867243910943892,0.0038605563475842685,0.003814567892175413,0.00385987422667446,0.0038609462535117607,0.00386070986116611,0.003474948719378066,0.003808358134833042,0.0038777188179146735,0.0038619613334143063,0.003860654257192264,0.0038605565920611837,0.0038605566169396107
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.578738324403174e-05,2.5852485380301618e-05,2.585368333051677e-05,2.5852364977518185e-05,2.5852151525983373e-05,2.5852364977518185e-05,2.5852364977518185e-05,2.5852364977518185e-05,2.5844606126344186e-05,2.5835154189954267e-05,2.5843795757923554e-05,2.582466489522838e-05,2.585197635299027e-05,2.585353418142693e-05,2.5696015988543283e-05,2.584719258350412e-05,2.567596124292487e-05,2.5852364977518185e-05,2.5852364977518185e-05,2.585100718520859e-05,2.5849297828350062e-05,2.5847566748709342e-05,2.5851955787933127e-05,2.502400435441963e-05,2.5852364977518185e-05,2.5639718913816715e-05,2.5863899886836115e-05,2.5840673879252537e-05,2.5850658244996966e-05,2.1742722570149838e-05,2.531476604734848e-05,2.5866327760754304e-05,2.585130185858283e-05,2.5852218863474747e-05,2.5852367266050995e-05,2.5852356387368106e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.2639501214990672e-05,2.2775351275491098e-05,2.265328663292951e-05,2.2647215073961087e-05,2.2654518318055177e-05,2.2647215073961087e-05,2.2647215073961087e-05,2.2647215073961087e-05,2.264523325430726e-05,2.2563682338566356e-05,2.2665180983723e-05,2.2660684255358554e-05,2.2652355623576986e-05,2.2676713144865228e-05,2.3417448261662814e-05,2.2651177769176797e-05,2.2941572172058213e-05,2.2647215073961087e-05,2.2647215073961087e-05,2.2649768166893467e-05,2.2663172397137747e-05,2.264554978180761e-05,2.2646917653581042e-05,2.1479540543342853e-05,2.2647215073961087e-05,2.2361041494754913e-05,2.263006076109617e-05,2.2604777777265528e-05,2.2650015084112414e-05,2.0368781023021717e-05,2.2495798679461573e-05,2.2816600805319957e-05,2.2658528026614778e-05,2.2647137886450906e-05,2.2647215273346897e-05,2.2647228074002116e-05
