,base,6PGCt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,AMPt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,2PGt6_FWD_CPLX_dummy_s,ACNAMt2_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,3UMPt6_FWD_CPLX_dummy_s,CHORt2_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,BTDt6_RR_REV_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,CMPt6_FWD_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,CO2t_REV_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,FORt2_REV_BSU27200-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,GLYt2r_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,GSNt2_REV_BSU38710-MONOMER_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,METt3_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,TYRt2r_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,URAt2_REV_BSU15480-MONOMER_s,THMt6_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.04538017817734441,0.045339586915693036,0.045336233174263815,0.04545244557244273,0.04533957033445125,0.04534767013318802,0.04527092288039236,0.045335620471055806,0.04533957534711014,0.04533371197349588,0.04531058761087683,0.04533649307964883,0.0453452392742915,0.045347069847799584,0.04534976341457004,0.045341282796731774,0.04524078375926146,0.045626325885524344,0.04707253794650589,0.04533935364155144,0.04322023321319476,0.04533908617560966,0.04533957033445125,0.045336070118858186,0.04533960439704678,0.045289410751312695,0.04534595614626614,0.04533655424884037,0.045345661643323563,0.04122632794223986,0.044674729988699785,0.04554353313928286,0.04534200060525378,0.04535520889641377,0.04533438556300581,0.0453395839734912
protein_biomass_to_biomass,0.026118663032507063,0.026142714310030752,0.026118750907760325,0.026116864380458356,0.026183812118813016,0.026118741352952536,0.026123426854993456,0.02607931159207287,0.026116554451079823,0.026118744256642495,0.026115387162033484,0.026102095644350155,0.02611717834960224,0.026122023468438362,0.026123108640434937,0.026124641770296553,0.026119784729714778,0.026062022801280026,0.026287661777897972,0.02712204654425109,0.026118632130050532,0.02489897036591049,0.026118523714845108,0.026118741352952536,0.026116759559535897,0.026118760986573536,0.02609076658088416,0.02612256949544228,0.02611710667521356,0.026122285636422313,0.023792062770126594,0.02573955656707458,0.02623639662863004,0.026120158018799532,0.0261277929550761,0.026115775015018723,0.02611874940774701
mRNA_biomass_to_biomass,8.836974835493029e-05,8.843223388901036e-05,8.837007907498636e-05,8.83622051897587e-05,8.858869072727095e-05,8.837004672289519e-05,8.838526169612499e-05,8.823353296515864e-05,8.835973377558471e-05,8.83700562739006e-05,8.835791317026237e-05,8.831319287066258e-05,8.835779729625412e-05,8.838060889368985e-05,8.838320895427403e-05,8.838894072971938e-05,8.837170349894779e-05,8.81729062355373e-05,8.882076233337537e-05,9.161735369749054e-05,8.836915681199124e-05,8.42017560087623e-05,8.836724913729215e-05,8.837004672289519e-05,8.836222538009254e-05,8.837011308083072e-05,8.824456827102155e-05,8.837878792383432e-05,8.836111650748538e-05,8.838087716967582e-05,7.909476035941416e-05,8.695981880967454e-05,8.876365520066753e-05,8.837429207909877e-05,8.83993368552096e-05,8.835922892776077e-05,8.837006723804727e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005231780713860576,0.0005228118482257372,0.0005227652747497594,0.0005241061648504495,0.0005228116571197101,0.0005229015592526466,0.0005220039566286237,0.0005227506496951157,0.0005228117129888096,0.0005227400790555968,0.0005224738002755657,0.0005227386842294906,0.0005228741860625403,0.000522889453684596,0.0005229233618749023,0.0005228213823911466,0.0005216442983901359,0.0005254732883578134,0.000542066933569195,0.0005228064069571779,0.0004981623244587043,0.0005227949756034423,0.0005228116571197101,0.0005227653101884641,0.0005228120489428615,0.0005220692532795967,0.0005228642235993635,0.0005227590454625511,0.0005228757099459786,0.0004678098055018182,0.0005144694110724034,0.0005251412527972057,0.0005228367770157956,0.0005229849127971513,0.000522747865597738,0.0005228117869643695
rRNA_biomass_to_biomass,0.0038691855441090224,0.003871920791260943,0.003869200014130669,0.003868854907530095,0.0038787784506379075,0.003869198600227167,0.0038698650987649525,0.0038632187582602895,0.003868746872952796,0.0038691990138029313,0.0038686679329552652,0.00386670065757292,0.0038686605961108047,0.003869661416636965,0.0038697739125867826,0.003870027200995255,0.0038692707051057804,0.0038605563475842685,0.0038889429533117735,0.0040113996382997045,0.003869159805611077,0.0036867243910943892,0.0038690754532439667,0.003869198600227167,0.003868855585251487,0.0038692014991750833,0.003863703445482236,0.003869582921372546,0.0038688092555857457,0.003869673052203779,0.0034623519952929915,0.00380750130735292,0.003886446302835957,0.003869384748698318,0.0038704818840240005,0.003868725850534826,0.003869199504356817
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5868852782058023e-05,2.5879624049136165e-05,2.5875866497517525e-05,2.5883533874674188e-05,2.5879618298943624e-05,2.5879407244823422e-05,2.585835078886909e-05,2.587184403830012e-05,2.5879609516210186e-05,2.5886393895775283e-05,2.5849877394837834e-05,2.5859714844904527e-05,2.5879221844768654e-05,2.5870996107757874e-05,2.587657688680901e-05,2.5874388371245076e-05,2.5852364977518185e-05,2.5675849961857296e-05,2.571981954940347e-05,2.5878299698384923e-05,2.502400435441963e-05,2.5871596854017934e-05,2.5879618298943624e-05,2.587481238071972e-05,2.5879626743592233e-05,2.585725377426051e-05,2.5871469725537587e-05,2.5888321150523465e-05,2.5878446116466748e-05,2.167145009945326e-05,2.513212340760486e-05,2.5883575473159075e-05,2.5880413341943748e-05,2.587910535979617e-05,2.5887146600098066e-05,2.5879609089645603e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.2787118603290902e-05,2.277705683700187e-05,2.2774325830502535e-05,2.28822967070917e-05,2.277704809419476e-05,2.2784345302199222e-05,2.268391913556186e-05,2.2775040781785905e-05,2.277705352438871e-05,2.2767213741661175e-05,2.2725638465725215e-05,2.278511591387298e-05,2.2782171418592963e-05,2.2795025786588865e-05,2.2794567994991853e-05,2.27809771853154e-05,2.2647215073961087e-05,2.2941503593945627e-05,2.353647599776685e-05,2.2777269268857827e-05,2.1479540543342853e-05,2.278359632545818e-05,2.277704809419476e-05,2.2775373882584257e-05,2.2777067583262414e-05,2.27134478740748e-05,2.27439070162899e-05,2.2757330112876727e-05,2.278225097779605e-05,2.0301852663384866e-05,2.2610192003153718e-05,2.2928620741433954e-05,2.2777469744346884e-05,2.278716507121419e-05,2.2767010378637756e-05,2.277705623761811e-05
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
