,base,6PGCt6_FWD_CPLX_dummy_s,3UMPt6_FWD_CPLX_dummy_s,ARGPt6_FWD_CPLX_dummy_s,AMPt6_FWD_CPLX_dummy_s,ACACt2_FWD_CPLX_dummy_s,3GMPt6_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,2PGt6_FWD_CPLX_dummy_s,DALAt2r_FWD_BSU18120-MONOMER_s,ACNAMt2_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,ASPt2r_FWD_BSU10220-MONOMER_s,BTDt6_RR_REV_CPLX_dummy_s,CITt2r_FWD_BSU38770-MONOMER_s,CHORt2_FWD_CPLX_dummy_s,CMPt6_FWD_CPLX_dummy_s,DHAt_REV_CPLX_dummy_s,F6Pt6_2_FWD_BSU12010-MONOMER_s,FORt2_REV_BSU27200-MONOMER_s,CO2t_REV_CPLX_dummy_s,GLYt2r_FWD_CPLX_dummy_s,THMDt2_FWD_BSU39410-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,GMPt6_FWD_CPLX_dummy_s,GSNt2_REV_BSU38710-MONOMER_s,PSER_Lt6_FWD_BSU19999-MONOMER_s,METt3_FWD_CPLX_dummy_s,UMPt6_FWD_CPLX_dummy_s,H2Ot_FWD_CPLX_dummy_s,PYRt2_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,SUCCt2r_REV_BSU07570-MONOMER_s,URAt2_REV_BSU15480-MONOMER_s,THMt6_REV_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s
biomass_dilution,0.04533943265453611,0.045388307170104954,0.045341883627534205,0.04535516423423639,0.045343889833470916,0.04545991798470141,0.045347067129161096,0.04534708385658919,0.045278929916468466,0.04534707203664414,0.04534311237559582,0.045347067129161096,0.045340873439853914,0.04535327684225836,0.04535725478044818,0.04531808054279492,0.04534880238445006,0.045248280347240044,0.04707990330939833,0.0453467531001808,0.045626325885524344,0.04534659057799671,0.045347069847799584,0.045343564937573765,0.04534710123358731,0.043058592736560944,0.045298485563662505,0.04535359287621474,0.04534404983821895,0.04535367935994248,0.041193257266971005,0.04462337481696447,0.04536270361572974,0.04555092415606715,0.045341883627534205,0.045347083455663094,0.04534949707668411
protein_biomass_to_biomass,0.026118663032507063,0.02614744193050156,0.02612014145737711,0.026127791034079213,0.026121322255414987,0.026188163920972504,0.02612310707187924,0.026123116710908948,0.02608397083219628,0.026123109914987983,0.02612091736163965,0.02612310707187924,0.026119778910478602,0.02612669674080062,0.026129004379691786,0.026106459109880898,0.026124163626128703,0.026066388233691364,0.027126338658430674,0.026122941821461073,0.026287661777897972,0.026122893858530498,0.026123108640434937,0.02612112414123755,0.026123126729631182,0.024805987957161175,0.026096109431915867,0.026127020122854387,0.026121471712590803,0.026126949858070177,0.02377301371289819,0.025710034828178435,0.026132157502201093,0.026240701410317906,0.02612014145737711,0.026123116677248447,0.026124523556790142
mRNA_biomass_to_biomass,8.836974835493029e-05,8.844670581927515e-05,8.83723886399127e-05,8.839841303829361e-05,8.837567338651245e-05,8.860179619143989e-05,8.838320368196788e-05,8.838323631832179e-05,8.824769000922638e-05,8.838321302795034e-05,8.837288091433502e-05,8.838320368196788e-05,8.836394715509652e-05,8.8394939758971e-05,8.840208657668186e-05,8.832634304832746e-05,8.838490409351807e-05,8.818606660478233e-05,9.16301861432466e-05,8.83821229651903e-05,8.882076233337537e-05,8.838042021308928e-05,8.838320895427403e-05,8.837537844155653e-05,8.838327012027312e-05,8.38822593509375e-05,8.825875329669803e-05,8.839215743660572e-05,8.83742707400444e-05,8.839515893061896e-05,7.903015505129878e-05,8.685770523019286e-05,8.84124890395141e-05,8.877660178772308e-05,8.83723886399127e-05,8.838322940937428e-05,8.838744824735214e-05
tRNA_biomass_to_biomass,0.0005228098930397819,0.0005232635872216378,0.0005228256473208929,0.000522979291538812,0.0005228448777533903,0.0005241836255614264,0.0005228894226052709,0.0005228896153918444,0.0005220876400045996,0.0005228894772624434,0.0005228283571249145,0.0005228894226052709,0.0005227748858937442,0.0005229588924277079,0.0005230010616659972,0.0005225515258149632,0.0005228994044869918,0.0005217220869962885,0.0005421427725093519,0.0005228830430431911,0.0005254732883578134,0.000522872823365143,0.000522889453684596,0.0005228430526470597,0.0005228898149035634,0.0004962732262684728,0.0005221530876564022,0.0005229432852999405,0.0005228367948361156,0.0005229602474520067,0.0004674278698924532,0.0005138655401089501,0.0005230626500551518,0.0005252177832290195,0.0005228256473208929,0.000522889583172692,0.0005229145378271425
rRNA_biomass_to_biomass,0.0038691855441090224,0.003872553325631313,0.0038693010532315514,0.003870439935322405,0.0038694435851595204,0.0038793512776126747,0.003869773682614455,0.0038697751089509496,0.0038638376569528833,0.0038697740872240833,0.0038693215258556995,0.003869773682614455,0.003868928161719695,0.003870287869280593,0.003870601796939076,0.0038672754443125324,0.0038698476864207593,0.0038611316017545714,0.0040119605008463195,0.003869726532801274,0.0038889429533117735,0.0038696511443878966,0.0038697739125867826,0.003869430497288965,0.003869776585077532,0.0036727389215147717,0.0038643237629462012,0.0038701675576808345,0.0038693842188222004,0.003870298142269905,0.003459523922326427,0.003803030948288437,0.003871056757564522,0.003887012242957013,0.0038693010532315514,0.0038697748140889333,0.003869959796524377
ncRNA_biomass_to_biomass,2.587951417057197e-05,2.5859070840363077e-05,2.5878522488505734e-05,2.5870785710744816e-05,2.5867281669516302e-05,2.5874911159068005e-05,2.5870996475839436e-05,2.5871002186195815e-05,2.5849849179116103e-05,2.587098772224237e-05,2.5863224552949666e-05,2.5870996475839436e-05,2.5846817983113985e-05,2.5871017293348563e-05,2.5867956300962302e-05,2.5841261738305927e-05,2.5865756207813627e-05,2.5843795757923554e-05,2.57111838285222e-05,2.5869605271668116e-05,2.5675849961857296e-05,2.586296261288388e-05,2.5870996107757874e-05,2.5866192012046e-05,2.5871004904497544e-05,2.4940185492812738e-05,2.584703547654819e-05,2.586252079664531e-05,2.5879701239052367e-05,2.5870673580738432e-05,2.1651199235981923e-05,2.509598627203603e-05,2.5870484566858638e-05,2.5875095372312575e-05,2.5878522488505734e-05,2.5870986909444844e-05,2.587179190577888e-05
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277696656951644e-05,2.2806464183670618e-05,2.2784988701605505e-05,2.280231787736566e-05,2.2792391416060735e-05,2.2900247657265217e-05,2.2795023972247104e-05,2.279503294665254e-05,2.270265501595954e-05,2.279502923870021e-05,2.2793009585970198e-05,2.2795023972247104e-05,2.2805079479443446e-05,2.2800465996770016e-05,2.281253569704925e-05,2.2743608691878994e-05,2.2798967414880698e-05,2.2665180983723e-05,2.3554512272960683e-05,2.279520006654491e-05,2.2941503593945627e-05,2.280157346379185e-05,2.2795025786588865e-05,2.279334650046686e-05,2.2795043532719575e-05,2.140196086961299e-05,2.2731936918110582e-05,2.275841304073388e-05,2.27753016584066e-05,2.279598447456141e-05,2.0290194061423178e-05,2.259521803605037e-05,2.2805137314492767e-05,2.294647909935879e-05,2.2784988701605505e-05,2.2795033881952543e-05,2.2795444694867987e-05
