# SignalP-5.0	Organism: Gram-positive	Timestamp: 20190601013451
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
_BSU00010	OTHER	0.004801	0.000432	0.000658	0.994108	
_BSU00100	SP(Sec/SPI)	0.952140	0.004652	0.042570	0.000638	CS pos: 31-32. AKA-AS. Pr: 0.8873
_BSU00160	OTHER	0.024687	0.000581	0.002889	0.971842	
_BSU00230	OTHER	0.060572	0.000911	0.157952	0.780564	
_BSU00400	SP(Sec/SPI)	0.466929	0.131340	0.009770	0.391961	CS pos: 61-62. AYA-AH. Pr: 0.5904
_BSU00430	OTHER	0.001931	0.000198	0.000415	0.997456	
_BSU00570	OTHER	0.046175	0.002353	0.019576	0.931895	
_BSU00600	OTHER	0.003030	0.000765	0.000394	0.995811	
_BSU00610	OTHER	0.003490	0.000441	0.061474	0.934595	
_BSU00640	OTHER	0.002329	0.000233	0.000905	0.996533	
_BSU00690	SP(Sec/SPI)	0.573030	0.002294	0.080124	0.344551	CS pos: 34-35. TEN-MS. Pr: 0.0881
_BSU00890	OTHER	0.005974	0.000392	0.023203	0.970431	
_BSU01000	OTHER	0.009350	0.000108	0.002944	0.987599	
_BSU01360	SP(Sec/SPI)	0.570113	0.008596	0.003104	0.418188	CS pos: 41-42. VNA-EA. Pr: 0.4116
_BSU01450	OTHER	0.008720	0.004917	0.000780	0.985583	
_BSU01460	OTHER	0.013834	0.002337	0.000750	0.983080	
_BSU01470	OTHER	0.013591	0.000182	0.003649	0.982578	
_BSU01530	OTHER	0.307732	0.000819	0.028428	0.663022	
_BSU01550	LIPO(Sec/SPII)	0.006150	0.000102	0.993426	0.000323	CS pos: 19-20. VTA-CA. Pr: 0.9942
_BSU01560	OTHER	0.012246	0.001049	0.067712	0.918994	
_BSU01570	SP(Sec/SPI)	0.662619	0.014920	0.044832	0.277628	CS pos: 41-42. VFS-TD. Pr: 0.1941
_BSU01580	OTHER	0.053738	0.001520	0.005211	0.939532	
_BSU01590	OTHER	0.004142	0.000244	0.013107	0.982507	
_BSU01610	SP(Sec/SPI)	0.578975	0.004663	0.128426	0.287936	CS pos: 29-30. VRP-AE. Pr: 0.2667
_BSU01620	OTHER	0.097802	0.001370	0.044156	0.856672	
_BSU01630	LIPO(Sec/SPII)	0.002675	0.000064	0.997102	0.000159	CS pos: 19-20. AAA-CG. Pr: 0.9969
