BSUB_gene	ident	ECOLI_gene
BSU00010	0.43	b3702
BSU00020	0.26	b3701
BSU00030	0.34	b0528
BSU00040	0.25	b3700
BSU00050	0.01	NaN
BSU00060	0.59	b3699
BSU00070	0.52	b2231
BSU00080	0.01	NaN
BSU00090	0.56	b2508
BSU00100	0.01	NaN
BSU00110	0.01	NaN
BSU00120	0.01	NaN
BSU00130	0.51	b0893
BSU00140	0.01	NaN
BSU00150	0.01	NaN
BSU00160	0.01	NaN
BSU00170	0.01	NaN
BSU00180	0.44	b2559
BSU00190	0.39	b0470
BSU00200	0.41	b0471
BSU00210	0.45	b0472
BSU00220	0.01	NaN
BSU00230	0.01	NaN
BSU00240	0.01	NaN
BSU00250	0.01	NaN
BSU00260	0.01	NaN
BSU00270	0.01	NaN
BSU00280	0.34	b1098
BSU00290	0.01	NaN
BSU00300	0.01	NaN
BSU00310	0.01	NaN
BSU00320	0.01	NaN
BSU00330	0.29	b3488
BSU00340	0.01	NaN
BSU00350	0.35	b3155
BSU00360	0.42	b3146
BSU00370	0.01	NaN
BSU00380	0.29	b2114
BSU00390	0.40	b1100
BSU00400	0.01	NaN
BSU00410	0.01	NaN
BSU00420	0.32	b0051
BSU00430	0.01	NaN
BSU00440	0.01	NaN
BSU00450	0.01	NaN
BSU00460	0.30	b1208
BSU00470	0.01	NaN
BSU00480	0.48	b3113
BSU00490	0.01	NaN
BSU00500	0.43	b3730
BSU00510	0.51	b1207
BSU00520	0.29	b2185
BSU00530	0.37	b1204
BSU00540	0.01	NaN
BSU00550	0.37	b1114
BSU00560	0.01	NaN
BSU00570	0.01	NaN
BSU00580	0.44	b2781
BSU00590	0.34	b3400
BSU00600	0.01	NaN
BSU00610	0.01	NaN
BSU00620	0.01	NaN
BSU00630	0.01	NaN
BSU00640	0.01	NaN
BSU00650	0.32	b2270
BSU00660	0.39	b3625
BSU00670	0.35	b0188
BSU00680	0.51	b0125
BSU00690	0.52	b3178
BSU00700	0.01	NaN
BSU00710	0.24	b3401
BSU00720	0.32	b0441
BSU00730	0.54	b2414
BSU00740	0.33	b1812
BSU00750	0.61	b3360
BSU00760	0.26	b1096
BSU00770	0.43	b3177
BSU00780	0.29	b3058
BSU00790	0.48	b0142
BSU00800	0.01	NaN
BSU00810	0.39	b3260
BSU00820	0.54	b4129
BSU00830	0.01	NaN
BSU00840	0.01	NaN
BSU00850	0.01	NaN
BSU00860	0.48	b2592
BSU00870	0.47	b4389
BSU00880	0.01	NaN
BSU00890	0.01	NaN
BSU00900	0.37	b2747
BSU00910	0.63	b2746
BSU00920	0.38	b2400
BSU00930	0.49	b3607
BSU00940	0.45	b0526
BSU00950	0.01	NaN
BSU00960	0.44	b4180
BSU00970	0.01	NaN
BSU00980	0.01	NaN
BSU00990	0.01	NaN
BSU01000	0.31	b3981
BSU01010	0.44	b3982
BSU01020	0.68	b3983
BSU01030	0.51	b3984
BSU01040	0.35	b3985
BSU01050	0.54	b3986
BSU01060	0.28	b3084
BSU01070	0.59	b3987
BSU01080	0.50	b3988
BSU01090	0.01	NaN
BSU01100	0.68	b3342
BSU01110	0.56	b3341
BSU01120	0.62	b3340
BSU01130	0.77	b3980
BSU01140	0.01	NaN
BSU01150	0.64	b3321
BSU01160	0.51	b3320
BSU01170	0.43	b3319
BSU01180	0.41	b3318
BSU01190	0.60	b3317
BSU01200	0.69	b3316
BSU01210	0.54	b3315
BSU01220	0.59	b3314
BSU01230	0.60	b3313
BSU01240	0.40	b3312
BSU01250	0.56	b3311
BSU01260	0.64	b3310
BSU01270	0.46	b3309
BSU01280	0.59	b3308
BSU01290	0.01	NaN
BSU01300	0.49	b3306
BSU01310	0.49	b3305
BSU01320	0.56	b3304
BSU01330	0.55	b3303
BSU01340	0.51	b3302
BSU01350	0.47	b3301
BSU01360	0.41	b3300
BSU01370	0.47	b0474
BSU01380	0.46	b0168
BSU01389	0.01	NaN
BSU01390	0.68	b0884
BSU01400	0.58	b3299
BSU01410	0.56	b3298
BSU01420	0.66	b3297
BSU01430	0.46	b3295
BSU01440	0.47	b3294
BSU01450	0.01	NaN
BSU01460	0.01	NaN
BSU01470	0.01	NaN
BSU01480	0.37	b2318
BSU01490	0.59	b3231
BSU01500	0.55	b3230
BSU01510	0.01	NaN
BSU01520	0.01	NaN
BSU01530	0.01	NaN
BSU01540	0.33	b2113
BSU01550	0.01	NaN
BSU01560	0.41	b3785
BSU01570	0.01	NaN
BSU01580	0.01	NaN
BSU01590	0.01	NaN
BSU01600	0.25	b0585
BSU01610	0.01	NaN
BSU01620	0.01	NaN
BSU01630	0.01	NaN
BSU01640	0.01	NaN
BSU01650	0.01	NaN
BSU01660	0.29	b1107
BSU01670	0.53	b2430
BSU01680	0.38	b2429
BSU01690	0.31	b1853
BSU01700	0.48	b2428
BSU01710	0.34	b3388
BSU01720	0.01	NaN
BSU01730	0.37	b2573
BSU01740	0.01	NaN
BSU01750	0.01	NaN
BSU01760	0.30	b0584
BSU01770	0.45	b3176
BSU01780	0.41	b3729
BSU01800	0.25	b2068
BSU01810	0.33	b2213
BSU01820	0.01	NaN
BSU01830	0.01	NaN
BSU01845	0.01	NaN
BSU01860	0.01	NaN
BSU01870	0.01	NaN
BSU01880	0.01	NaN
BSU01889	0.01	NaN
BSU01890	0.01	NaN
BSU01900	0.01	NaN
BSU01910	0.01	NaN
BSU01920	0.01	NaN
BSU01935	0.01	NaN
BSU01950	0.01	NaN
BSU01960	0.32	b3229
BSU01970	0.01	NaN
BSU01980	0.01	NaN
BSU01990	0.01	NaN
BSU02000	0.01	NaN
BSU02010	0.01	NaN
BSU02019	0.01	NaN
BSU02030	0.29	b3806
BSU02040	0.01	NaN
BSU02050	0.01	NaN
BSU02060	0.63	b3795
BSU02070	0.01	NaN
BSU02080	0.01	NaN
BSU02090	0.01	NaN
BSU02100	0.01	NaN
BSU02110	0.01	NaN
BSU02120	0.01	NaN
BSU02130	0.29	b2239
BSU02140	0.60	b2240
BSU02150	0.01	NaN
BSU02160	0.01	NaN
BSU02170	0.24	b3547
BSU02180	0.46	b4253
BSU02190	0.01	NaN
BSU02200	0.23	b1780
BSU02210	0.31	b3184
BSU02220	0.23	b3905
BSU02230	0.57	b1849
BSU02240	0.23	b1598
BSU02250	0.01	NaN
BSU02260	0.01	NaN
BSU02270	0.01	NaN
BSU02280	0.28	b2317
BSU02290	0.29	b4160
BSU02300	0.01	NaN
BSU02310	0.01	NaN
BSU02320	0.40	b4396
BSU02330	0.33	b1055
BSU02340	0.01	NaN
BSU02350	0.42	b0679
BSU02360	0.01	NaN
BSU02370	0.01	NaN
BSU02380	0.01	NaN
BSU02390	0.29	b3770
BSU02400	0.64	b0260
BSU02410	0.52	b0261
BSU02420	0.01	NaN
BSU02430	0.01	NaN
BSU02440	0.01	NaN
BSU02450	0.01	NaN
BSU02460	0.01	NaN
BSU02470	0.01	NaN
BSU02480	0.66	b2789
BSU02490	0.73	b2787
BSU02500	0.27	b3226
BSU02510	0.68	b3128
BSU02520	0.01	NaN
BSU02530	0.01	NaN
BSU02540	0.01	NaN
BSU02550	0.01	NaN
BSU02560	0.01	NaN
BSU02570	0.01	NaN
BSU02580	0.01	NaN
BSU02590	0.01	NaN
BSU02600	0.01	NaN
BSU02610	0.01	NaN
BSU02619	0.01	NaN
BSU02620	0.28	b1270
BSU02630	0.01	NaN
BSU02640	0.01	NaN
BSU02650	0.01	NaN
BSU02660	0.01	NaN
BSU02670	0.01	NaN
BSU02680	0.01	NaN
BSU02690	0.54	b2957
BSU02700	0.01	NaN
BSU02710	0.01	NaN
BSU02720	0.01	NaN
BSU02730	0.01	NaN
BSU02740	0.01	NaN
BSU02750	0.01	NaN
BSU02760	0.25	b0128
BSU02770	0.35	b1771
BSU02780	0.01	NaN
BSU02790	0.01	NaN
BSU02800	0.01	NaN
BSU02810	0.01	NaN
BSU02820	0.01	NaN
BSU02830	0.39	b2902
BSU02840	0.01	NaN
BSU02850	0.22	b1857
BSU02860	0.34	b1858
BSU02870	0.30	b1859
BSU02880	0.01	NaN
BSU02890	0.01	NaN
BSU02900	0.32	b1538
BSU02910	0.01	NaN
BSU02920	0.01	NaN
BSU02930	0.01	NaN
BSU02940	0.01	NaN
BSU02950	0.27	b4279
BSU02960	0.01	NaN
BSU02970	0.01	NaN
BSU02980	0.51	b2677
BSU02990	0.48	b2678
BSU03000	0.25	b2679
BSU03010	0.01	NaN
BSU03020	0.30	b2298
BSU03030	0.01	NaN
BSU03040	0.01	NaN
BSU03050	0.01	NaN
BSU03060	0.01	NaN
BSU03070	0.01	NaN
BSU03080	0.01	NaN
BSU03090	0.01	NaN
BSU03100	0.01	NaN
BSU03110	0.01	NaN
BSU03120	0.01	NaN
BSU03130	0.54	b1740
BSU03140	0.01	NaN
BSU03150	0.34	b3390
BSU03160	0.34	b0210
BSU03170	0.01	NaN
BSU03180	0.31	b2326
BSU03190	0.01	NaN
BSU03200	0.01	NaN
BSU03210	0.01	NaN
BSU03220	0.54	b1015
BSU03230	0.01	NaN
BSU03240	0.30	b1688
BSU03250	0.20	b3151
BSU03260	0.01	NaN
BSU03270	0.01	NaN
BSU03280	0.01	NaN
BSU03290	0.26	b3366
BSU03300	0.36	b3365
BSU03310	0.01	NaN
BSU03320	0.01	NaN
BSU03330	0.01	NaN
BSU03340	0.01	NaN
BSU03350	0.01	NaN
BSU03359	0.01	NaN
BSU03360	0.27	b4352
BSU03370	0.48	b1918
BSU03380	0.01	NaN
BSU03390	0.01	NaN
BSU03400	0.01	NaN
BSU03410	0.01	NaN
BSU03420	0.01	NaN
BSU03430	0.01	NaN
BSU03440	0.01	NaN
BSU03450	0.01	NaN
BSU03460	0.33	b4196
BSU03470	0.42	b4212
BSU03480	0.01	NaN
BSU03490	0.01	NaN
BSU03500	0.01	NaN
BSU03510	0.01	NaN
BSU03520	0.01	NaN
BSU03530	0.01	NaN
BSU03540	0.01	NaN
BSU03550	0.01	NaN
BSU03560	0.01	NaN
BSU03580	0.01	NaN
BSU03590	0.01	NaN
BSU03600	0.01	NaN
BSU03610	0.38	b1920
BSU03620	0.01	NaN
BSU03630	0.53	b2311
BSU03640	0.31	b3843
BSU03651	0.01	NaN
BSU03652	0.01	NaN
BSU03660	0.01	NaN
BSU03670	0.30	b1634
BSU03680	0.01	NaN
BSU03690	0.01	NaN
BSU03700	0.01	NaN
BSU03710	0.01	NaN
BSU03720	0.01	NaN
BSU03730	0.01	NaN
BSU03740	0.01	NaN
BSU03750	0.39	b3405
BSU03760	0.01	NaN
BSU03770	0.01	NaN
BSU03780	0.01	NaN
BSU03789	0.01	NaN
BSU03790	0.28	b0002
BSU03800	0.01	NaN
BSU03810	0.01	NaN
BSU03820	0.01	NaN
BSU03830	0.01	NaN
BSU03840	0.01	NaN
BSU03850	0.01	NaN
BSU03860	0.01	NaN
BSU03870	0.33	b1518
BSU03880	0.01	NaN
BSU03890	0.01	NaN
BSU03900	0.45	b2662
BSU03910	0.52	b2661
BSU03920	0.26	b3907
BSU03930	0.01	NaN
BSU03940	0.01	NaN
BSU03950	0.25	b1841
BSU03960	0.01	NaN
BSU03970	0.01	NaN
BSU03981	0.64	b3599
BSU03982	0.01	NaN
BSU03990	0.47	b3600
BSU04000	0.53	b1800
BSU04010	0.01	NaN
BSU04020	0.25	b3830
BSU04030	0.01	NaN
BSU04039	0.01	NaN
BSU04040	0.01	NaN
BSU04050	0.53	b0713
BSU04060	0.01	NaN
BSU04070	0.01	NaN
BSU04080	0.47	b0711
BSU04090	0.36	b0712
BSU04100	0.28	b0272
BSU04110	0.01	NaN
BSU04120	0.01	NaN
BSU04130	0.01	NaN
BSU04140	0.27	b0635
BSU04150	0.51	b1647
BSU04160	0.01	NaN
BSU04170	0.01	NaN
BSU04180	0.01	NaN
BSU04190	0.01	NaN
BSU04200	0.01	NaN
BSU04210	0.29	b1427
BSU04220	0.01	NaN
BSU04230	0.01	NaN
BSU04240	0.01	NaN
BSU04250	0.01	NaN
BSU04260	0.33	b1763
BSU04270	0.01	NaN
BSU04280	0.01	NaN
BSU04290	0.01	NaN
