Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
BSU09120-MONOMER	Inner_Membrane	BSU09120(1)	Inner_Membrane	s
CPLX8J2-22	Inner_Membrane	BSU14890(1)	Inner_Membrane	s
CPLX8J2-22	Inner_Membrane	BSU14900(1)	Inner_Membrane	s
CPLX8J2-22	Inner_Membrane	BSU14910(1)	Inner_Membrane	s
CPLX8J2-22	Inner_Membrane	BSU14920(1)	Inner_Membrane	s
CPLX8J2-25	Inner_Membrane	BSU36850(1)	Inner_Membrane	s
CPLX8J2-25	Inner_Membrane	BSU36860(1)	Inner_Membrane	s
CPLX8J2-25	Inner_Membrane	BSU36870(1)	Inner_Membrane	s
BSU26410-MONOMER	Inner_Membrane	BSU26410(1)	Inner_Membrane	s
BSU21329-MONOMER	Inner_Membrane	BSU21329(1)	Inner_Membrane	s
BSU17780-MONOMER	Inner_Membrane	BSU17780(1)	Inner_Membrane	s
BSU39970-MONOMER	Inner_Membrane	BSU39970(1)	Inner_Membrane	s
BSU30170-MONOMER	Inner_Membrane	BSU30170(1)	Inner_Membrane	s
BSU36360-MONOMER	Inner_Membrane	BSU36360(1)	Inner_Membrane	s
BSU34370-MONOMER	Inner_Membrane	BSU34370(1)	Inner_Membrane	s
BSU30710-MONOMER	Inner_Membrane	BSU30710(1)	Inner_Membrane	s
BSU13660-MONOMER	Inner_Membrane	BSU13660(1)	Inner_Membrane	s
BSU21610-MONOMER	Inner_Membrane	BSU21610(1)	Inner_Membrane	s
BSU07460-MONOMER	Inner_Membrane	BSU07460(1)	Inner_Membrane	s
BSU15580-MONOMER	Inner_Membrane	BSU15580(1)	Inner_Membrane	s
BSU13090-MONOMER	Inner_Membrane	BSU13090(1)	Inner_Membrane	s
BSU03110-MONOMER	Inner_Membrane	BSU03110(1)	Inner_Membrane	s
BSU26160-MONOMER	Inner_Membrane	BSU26160(1)	Inner_Membrane	s
BSU25350-MONOMER	Inner_Membrane	BSU25350(1)	Inner_Membrane	s
BSU11040-MONOMER	Inner_Membrane	BSU11040(1)	Inner_Membrane	s
BSU03350-MONOMER	Inner_Membrane	BSU03350(1)	Inner_Membrane	s
BSU08330-MONOMER	Inner_Membrane	BSU08330(1)	Inner_Membrane	s
BSU00160-MONOMER	Outer_Membrane	BSU00160(1)	Outer_Membrane	s
BSU24360-MONOMER	Inner_Membrane	BSU24360(1)	Inner_Membrane	s
BSU40139-MONOMER	Inner_Membrane	BSU40139(1)	Inner_Membrane	s
BSU12840-MONOMER	Inner_Membrane	BSU12840(1)	Inner_Membrane	s
BSU31260-MONOMER	Inner_Membrane	BSU31260(1)	Inner_Membrane	s
BSU24380-MONOMER	Inner_Membrane	BSU24380(1)	Inner_Membrane	s
BSU02560-MONOMER	Inner_Membrane	BSU02560(1)	Inner_Membrane	s
BSU10760-MONOMER	Inner_Membrane	BSU10760(1)	Inner_Membrane	s
BSU01890-MONOMER	Inner_Membrane	BSU01890(1)	Inner_Membrane	s
BSU07010-MONOMER	Inner_Membrane	BSU07010(1)	Inner_Membrane	s
BSU33140-MONOMER	Inner_Membrane	BSU33140(1)	Inner_Membrane	s
BSU07320-MONOMER	Inner_Membrane	BSU07320(1)	Inner_Membrane	s
BSU13950-MONOMER	Inner_Membrane	BSU13950(1)	Inner_Membrane	s
BSU37900-MONOMER	Inner_Membrane	BSU37900(1)	Inner_Membrane	s
BSU08610-MONOMER	Inner_Membrane	BSU08610(1)	Inner_Membrane	s
BSU31310-MONOMER	Inner_Membrane	BSU31310(1)	Inner_Membrane	s
BSU11740-MONOMER	Outer_Membrane	BSU11740(1)	Outer_Membrane	s
BSU34470-MONOMER	Inner_Membrane	BSU34470(1)	Inner_Membrane	s
MONOMER8J2-28	Inner_Membrane	BSU02730(1)	Inner_Membrane	s
BSU37040-MONOMER	Inner_Membrane	BSU37040(1)	Inner_Membrane	s
BSU03550-MONOMER	Inner_Membrane	BSU03550(1)	Inner_Membrane	s
BSU07790-MONOMER	Inner_Membrane	BSU07790(1)	Inner_Membrane	s
BSU27580-MONOMER	Outer_Membrane	BSU27580(1)	Outer_Membrane	s
BSU10740-MONOMER	Outer_Membrane	BSU10740(1)	Outer_Membrane	s
BSU08440-MONOMER	Inner_Membrane	BSU08440(1)	Inner_Membrane	s
BSU30290-MONOMER	Inner_Membrane	BSU30290(1)	Inner_Membrane	s
BSU09500-MONOMER	Inner_Membrane	BSU09500(1)	Inner_Membrane	s
BSU17410-MONOMER	Outer_Membrane	BSU17410(1)	Outer_Membrane	s
BSU39330-MONOMER	Outer_Membrane	BSU39330(1)	Outer_Membrane	s
BSU20520-MONOMER	Inner_Membrane	BSU20520(1)	Inner_Membrane	s
BSU28010-MONOMER	Inner_Membrane	BSU28010(1)	Inner_Membrane	s
BSU38400-MONOMER	Inner_Membrane	BSU38400(1)	Inner_Membrane	s
BSU11730-MONOMER	Outer_Membrane	BSU11730(1)	Outer_Membrane	s
BSU35650-MONOMER	Inner_Membrane	BSU35650(1)	Inner_Membrane	s
BSU05620-MONOMER	Inner_Membrane	BSU05620(1)	Inner_Membrane	s
BSU36060-MONOMER	Outer_Membrane	BSU36060(1)	Outer_Membrane	s
BSU12080-MONOMER	Inner_Membrane	BSU12080(1)	Inner_Membrane	s
BSU05470-MONOMER	Inner_Membrane	BSU05470(2)	Inner_Membrane	s
BSU35810-MONOMER	Inner_Membrane	BSU35810(1)	Inner_Membrane	s
BSU33060-MONOMER	Inner_Membrane	BSU33060(1)	Inner_Membrane	s
BSU38670-MONOMER	Inner_Membrane	BSU38670(1)	Inner_Membrane	s
BSU02210-MONOMER	Inner_Membrane	BSU02210(1)	Inner_Membrane	s
BSU19620-MONOMER	Inner_Membrane	BSU19620(1)	Inner_Membrane	s
BSU10010-MONOMER	Inner_Membrane	BSU10010(1)	Inner_Membrane	s
BSU05540-MONOMER	Inner_Membrane	BSU05540(1)	Inner_Membrane	s
BSU33690-MONOMER	Inner_Membrane	BSU33690(1)	Inner_Membrane	s
BSU12610-MONOMER	Inner_Membrane	BSU12610(1)	Inner_Membrane	s
BSU38330-MONOMER	Inner_Membrane	BSU38330(1)	Inner_Membrane	s
BSU39270-MONOMER	Inner_Membrane	BSU39270(1)	Inner_Membrane	s
BSU17910-MONOMER	Inner_Membrane	BSU17910(1)	Inner_Membrane	s
BSU19320-MONOMER	Inner_Membrane	BSU19320(1)	Inner_Membrane	s
BSU05710-MONOMER	Outer_Membrane	BSU05710(1)	Outer_Membrane	s
BSU28060-MONOMER	Inner_Membrane	BSU28060(1)	Inner_Membrane	s
BSU18350-MONOMER	Inner_Membrane	BSU18350(1)	Inner_Membrane	s
BSU34190-MONOMER	Inner_Membrane	BSU34190(1)	Inner_Membrane	s
CPLX8J2-108	Inner_Membrane	BSU03710(1)	Inner_Membrane	s
CPLX8J2-108	Inner_Membrane	BSU03720(1)	Inner_Membrane	s
CPLX8J2-108	Inner_Membrane	BSU03700(1)	Inner_Membrane	s
CPLX8J2-101	Inner_Membrane	BSU36840(1)	Inner_Membrane	s
CPLX8J2-101	Inner_Membrane	BSU36830(3)	Inner_Membrane	s
CPLX8J2-101	Inner_Membrane	BSU36820(1)	Inner_Membrane	s
CPLX8J2-101	Inner_Membrane	BSU36810(3)	Inner_Membrane	s
CPLX8J2-101	Inner_Membrane	BSU36800(1)	Inner_Membrane	s
CPLX8J2-101	Inner_Membrane	BSU36870(1)	Inner_Membrane	s
CPLX8J2-101	Inner_Membrane	BSU36860(10)	Inner_Membrane	s
CPLX8J2-101	Inner_Membrane	BSU36850(2)	Inner_Membrane	s
CPLX8J2-107	Inner_Membrane	BSU35820(1)	Inner_Membrane	s
CPLX8J2-107	Inner_Membrane	BSU35810(1)	Inner_Membrane	s
CPLX8J2-107	Inner_Membrane	BSU35800(1)	Inner_Membrane	s
BSU40570-MONOMER	Inner_Membrane	BSU40570(1)	Inner_Membrane	s
BSU22030-MONOMER	Inner_Membrane	BSU22030(1)	Inner_Membrane	s
BSU37320-MONOMER	Inner_Membrane	BSU37320(1)	Inner_Membrane	s
