Modified_enzyme	Core_enzyme	Modifications	Source
BSU12290-MONOMER_mod_mg2_mod_fad_mod_cu	BSU12290-MONOMER	mg2() AND fad() AND cu()	M_protein_recon
BSU18000-MONOMER_mod_4fe4s	BSU18000-MONOMER	4fe4s()	M_protein_recon
BSU30970-MONOMER_mod_mg2	BSU30970-MONOMER	mg2()	M_protein_recon
BSU00770-MONOMER_mod_mg2	BSU00770-MONOMER	mg2()	M_protein_recon
BSU15200-MONOMER_mod_mg2_mod_k	BSU15200-MONOMER	mg2() AND k()	M_protein_recon
BSU22870-MONOMER_mod_fmn	BSU22870-MONOMER	fmn()	M_protein_recon
CPLX8J2-101_mod_mg2	CPLX8J2-101	mg2()	M_protein_recon
BSU03640-MONOMER_mod_mn2	BSU03640-MONOMER	mn2()	M_protein_recon
BSU30210-MONOMER_mod_mg2	BSU30210-MONOMER	mg2()	M_protein_recon
BSU31990-MONOMER_mod_mg2	BSU31990-MONOMER	mg2()	M_protein_recon
BSU22620-MONOMER_mod_pydx5p	BSU22620-MONOMER	pydx5p()	M_protein_recon
BSU32330-MONOMER_mod_2:4fe4s	BSU32330-MONOMER	4fe4s(2)	M_protein_recon
BSU21870-MONOMER_mod_4fe4s	BSU21870-MONOMER	4fe4s()	M_protein_recon
BSU11010-MONOMER_mod_zn2_mod_cbl1	BSU11010-MONOMER	zn2() AND cbl1()	M_protein_recon
BSU09310-MONOMER_mod_mg2	BSU09310-MONOMER	mg2()	M_protein_recon
BSU06480-MONOMER_mod_mg2	BSU06480-MONOMER	mg2()	M_protein_recon
BSU24270-MONOMER_mod_thmpp	BSU24270-MONOMER	thmpp()	M_protein_recon
BSU14390-MONOMER_mod_mg2	BSU14390-MONOMER	mg2()	M_protein_recon
BSU12080-MONOMER_mod_ca2	BSU12080-MONOMER	ca2()	M_protein_recon
BSU36240-MONOMER_mod_mg2	BSU36240-MONOMER	mg2()	M_protein_recon
BSU31200-MONOMER_mod_mg2	BSU31200-MONOMER	mg2()	M_protein_recon
