SOURCE,TARGET
dapG,dapG
hom,hom
hom,metAA
hom,metI
cysJ,cysI
cysJ,sat
cysJ,cysH
cysJ,cysJ
fadE,fadE
cysI,cysI
cysI,sat
cysI,cysH
cysI,cysJ
asd,dapG
asd,hom
asd,asd
asd,metAA
asd,metI
cysH,cysI
cysH,sat
cysH,cysH
cysH,cysJ
acdA,acdA
fumC,fumC
gapA,gapA
metI,metAA
metI,metI
metE,metE
metAA,metAA
metAA,metI
odhB,odhA
odhB,odhB
pgk,pgk
pncB,pncB
pgm,pgm
proCC,proCC
odhA,odhA
odhA,odhB
rocD,rocD
sat,cysI
sat,sat
sat,cysH
sat,cysJ
samT,yvrB
samT,samT
samT,metE
sigH,sigH
sigKn,sigKn
sigKn,sigKc
sigKc,sigKn
sigKc,sigKc
yvrB,yvrB
yvrB,samT
yvrB,metE
