SOURCE,TARGET
nrdE,nrdF
nrdE,trxA
nrdE,trxB
nrdF,nrdE
nrdF,trxA
nrdF,trxB
trxA,nrdE
trxA,nrdF
trxA,trxB
rpiB,yfkN
rpiB,rpe
rpiB,tktA
rpiB,deoD
rpiB,tal
lctE,pyk
yfkN,rpe
yfkN,tktA
yfkN,deoD
yfkN,rpiB
yfkN,tal
mccA,ilvD
mccA,mccB
mccA,ilvC
mccA,alsS
mccB,ilvD
mccB,mccA
mccB,ilvC
mccB,alsS
pheA,yhdR
pheA,aroH
alsS,ilvD
alsS,mccB
alsS,mccA
alsS,ilvC
tal,yfkN
tal,rpe
tal,tktA
tal,deoD
tal,rpiB
fruK,akrN
fruK,fbaA
glnA,glmS
fabI,ycsD
fabI,fabHA
tpiA,gpsA
pgk,pgm
pgk,gapA
gapA,pgm
gapA,pgk
ycsD,fabHA
ycsD,fabI
mdh,aspB
rpe,yfkN
rpe,tktA
rpe,deoD
rpe,rpiB
rpe,tal
aspB,mdh
gpsA,tpiA
pdhB,pdhA
pdhB,pdhC
pdhB,pdhD
pdhB,pyk
pdhA,pdhB
pdhA,pdhC
pdhA,pdhD
pdhA,pyk
pdhD,pdhA
pdhD,pdhB
pdhD,pdhC
pdhD,pyk
pdhC,pdhA
pdhC,pdhB
pdhC,pdhD
pdhC,pyk
ilvD,mccB
ilvD,mccA
ilvD,ilvC
ilvD,alsS
rbsK,rpe
rbsK,tktA
rbsK,rpiB
rbsK,tal
ilvC,ilvD
ilvC,mccB
ilvC,mccA
ilvC,alsS
tktA,yfkN
tktA,rpe
tktA,deoD
tktA,rpiB
tktA,tal
alrA,gudB
yugH,gudB
sufU,citB
sufU,ilvD
sufU,mccB
sufU,mccA
sufU,ilvC
sufU,alsS
