SOURCE,TARGET
yugH,yugH
yvrB,samT
yvrB,metE
yvrB,yvrB
sufU,sigH
sufU,citB
sufU,odhB
sufU,odhA
sufU,ilvD
sufU,mccB
sufU,mccA
sufU,ilvC
sufU,citZ
sufU,fadE
sufU,fumC
sufU,alsS
sufU,acdA
trxB,trxB
clsB,clsB
ilvK,ilvK
fruK,akrN
fruK,fruK
fruK,fbaA
sigX,sigX
fadA,mmgC
fadA,mmgA
fadA,fadB
fadA,fadE
fadA,fadA
fadA,fadN
fadA,acdA
fadN,mmgC
fadN,mmgA
fadN,fadB
fadN,fadE
fadN,fadA
fadN,fadN
fadN,acdA
fadE,fadE
glnA,glmS
glnA,samT
glnA,metE
glnA,glnA
glnA,yvrB
fabI,ycsD
fabI,fabHA
fabI,fabI
glmS,glmS
glmS,samT
glmS,metE
glmS,yvrB
sigE,sigE
sigE,mmgC
sigE,mmgA
sigE,fadB
sigE,fadE
sigE,fadA
sigE,fadN
sigE,acdA
pgm,pgm
pgk,pgm
pgk,pgk
pgk,gapA
gapA,pgm
gapA,pgk
gapA,gapA
ycsD,ycsD
ycsD,fabHA
ycsD,fabI
thyA,thyA
metE,samT
metE,metE
metE,yvrB
gmk,gmk
rpe,yfkN
rpe,rpe
rpe,tktA
rpe,deoD
rpe,rpiB
rpe,tal
deoD,deoD
dfrA,dfrA
aspB,samT
aspB,metI
aspB,metE
aspB,cysH
aspB,sat
aspB,asd
aspB,dapG
aspB,metAA
aspB,aspB
aspB,sigKn
aspB,sigKc
aspB,hom
aspB,yvrB
aspB,cysI
aspB,cysJ
cmk,samT
cmk,metE
cmk,cmk
cmk,yvrB
mccB,ilvD
mccB,mccB
mccB,mccA
mccB,ilvC
mccB,alsS
mccA,ilvD
mccA,mccB
mccA,mccA
mccA,ilvC
mccA,alsS
maeB,metI
maeB,cysH
maeB,sat
maeB,asd
maeB,dapG
maeB,ilvD
maeB,metAA
maeB,sigKn
maeB,sigKc
maeB,mccB
maeB,mccA
maeB,ilvC
maeB,maeB
maeB,hom
maeB,yvrB
maeB,cysI
maeB,cysJ
maeB,alsS
akrN,akrN
metI,samT
metI,metI
metI,metE
metI,cysH
metI,sat
metI,asd
metI,dapG
metI,metAA
metI,sigKn
metI,sigKc
metI,hom
metI,yvrB
metI,cysI
metI,cysJ
alsS,alsS
hom,samT
hom,metI
hom,metE
hom,cysH
hom,sat
hom,asd
hom,dapG
hom,metAA
hom,sigKn
hom,sigKc
hom,hom
hom,yvrB
hom,cysI
hom,cysJ
sucD,sigH
sucD,samT
sucD,metI
sucD,proCC
sucD,metE
sucD,cysH
sucD,sat
sucD,sucC
sucD,sucD
sucD,asd
sucD,dapG
sucD,thyA
sucD,odhB
sucD,odhA
sucD,metAA
sucD,sigKn
sucD,sigKc
sucD,hom
sucD,fumC
sucD,yvrB
sucD,cysI
sucD,cysJ
sucD,rocD
sucC,sigH
sucC,samT
sucC,metI
sucC,proCC
sucC,metE
sucC,cysH
sucC,sat
sucC,sucC
sucC,sucD
sucC,asd
sucC,dapG
sucC,thyA
sucC,odhB
sucC,odhA
sucC,metAA
sucC,sigKn
sucC,sigKc
sucC,hom
sucC,fumC
sucC,yvrB
sucC,cysI
sucC,cysJ
sucC,rocD
fadB,fadB
fadB,fadE
samT,samT
samT,metE
samT,yvrB
tal,yfkN
tal,rpe
tal,tktA
tal,deoD
tal,rpiB
tal,tal
fbaA,fbaA
adk,adk
adk,samT
adk,metI
adk,metE
adk,cysH
adk,sat
adk,asd
adk,dapG
adk,metAA
adk,sigKn
adk,sigKc
adk,hom
adk,yvrB
adk,cysI
adk,cysJ
alrA,alrA
alrA,gudB
yhfT,yhfT
yhfT,fadE
fumC,sigH
fumC,samT
fumC,metE
fumC,fumC
fumC,yvrB
nrdE,nrdE
nrdE,nrdF
nrdE,thyA
nrdF,nrdE
nrdF,nrdF
nrdF,thyA
metAA,samT
metAA,metI
metAA,metE
metAA,cysH
metAA,sat
metAA,asd
metAA,dapG
metAA,metAA
metAA,sigKn
metAA,sigKc
metAA,hom
metAA,yvrB
metAA,cysI
metAA,cysJ
trxA,sigH
trxA,metI
trxA,cysH
trxA,sat
trxA,asd
trxA,dapG
trxA,nrdE
trxA,nrdF
trxA,thyA
trxA,ilvD
trxA,metAA
trxA,sigKn
trxA,sigKc
trxA,mccB
trxA,mccA
trxA,ilvC
trxA,trxA
trxA,hom
trxA,fumC
trxA,yvrB
trxA,cysI
trxA,cysJ
trxA,trxB
trxA,alsS
cysH,samT
cysH,metI
cysH,metE
cysH,cysH
cysH,sat
cysH,asd
cysH,dapG
cysH,metAA
cysH,sigKn
cysH,sigKc
cysH,hom
cysH,yvrB
cysH,cysI
cysH,cysJ
sat,samT
sat,metI
sat,metE
sat,cysH
sat,sat
sat,asd
sat,dapG
sat,metAA
sat,sigKn
sat,sigKc
sat,hom
sat,yvrB
sat,cysI
sat,cysJ
asd,samT
asd,metI
asd,metE
asd,cysH
asd,sat
asd,asd
asd,dapG
asd,metAA
asd,sigKn
asd,sigKc
asd,hom
asd,yvrB
asd,cysI
asd,cysJ
dapG,dapG
rpiB,yfkN
rpiB,rpe
rpiB,tktA
rpiB,deoD
rpiB,rpiB
rpiB,tal
mmgC,mmgC
mmgA,mmgC
mmgA,mmgA
yfkN,yfkN
yfkN,rpe
yfkN,tktA
yfkN,deoD
yfkN,rpiB
yfkN,tal
pdhC,sigH
pdhC,samT
pdhC,metI
pdhC,proCC
pdhC,metE
pdhC,pdhA
pdhC,pdhB
pdhC,pdhC
pdhC,cysH
pdhC,sat
pdhC,asd
pdhC,dapG
pdhC,thyA
pdhC,metAA
pdhC,sigKn
pdhC,sigKc
pdhC,citZ
pdhC,hom
pdhC,fadE
pdhC,fumC
pdhC,yvrB
pdhC,cysI
pdhC,cysJ
pdhC,acdA
pdhC,rocD
pdhB,sigH
pdhB,samT
pdhB,metI
pdhB,proCC
pdhB,metE
pdhB,pdhA
pdhB,pdhB
pdhB,pdhC
pdhB,cysH
pdhB,sat
pdhB,asd
pdhB,dapG
pdhB,thyA
pdhB,metAA
pdhB,sigKn
pdhB,sigKc
pdhB,citZ
pdhB,hom
pdhB,fadE
pdhB,fumC
pdhB,yvrB
pdhB,cysI
