SOURCE,TARGET,blockage,SOURCE_confirmed,SOURCE_known,TARGET_confirmed,TARGET_known
yvrB,samT,True,False,False,False,True
yvrB,metE,True,False,False,False,True
sufU,sigH,False,False,False,False,False
sufU,citB,False,False,False,False,True
sufU,odhB,False,False,False,False,False
sufU,odhA,False,False,False,False,False
sufU,ilvD,False,False,False,False,False
sufU,mccB,False,False,False,False,False
sufU,mccA,False,False,False,False,False
sufU,ilvC,False,False,False,False,True
sufU,citZ,False,False,False,True,True
sufU,fadE,False,False,False,False,False
sufU,fumC,False,False,False,False,False
sufU,alsS,False,False,False,False,False
sufU,acdA,False,False,False,False,True
fruK,akrN,False,False,False,False,False
fruK,fbaA,False,False,False,False,False
fadA,mmgC,False,False,False,False,False
fadA,mmgA,False,False,False,False,False
fadA,fadB,False,False,False,False,False
fadA,fadE,False,False,False,False,False
fadA,fadN,False,False,False,False,True
fadA,acdA,False,False,False,False,True
fadN,mmgC,False,False,True,False,False
fadN,mmgA,False,False,True,False,False
fadN,fadB,False,False,True,False,False
fadN,fadE,False,False,True,False,False
fadN,fadA,False,False,True,False,False
fadN,acdA,False,False,True,False,True
glnA,glmS,False,False,False,False,False
glnA,samT,False,False,False,False,True
glnA,metE,False,False,False,False,True
glnA,yvrB,False,False,False,False,False
fabI,ycsD,False,False,False,False,False
fabI,fabHA,False,False,False,False,False
glmS,samT,False,False,False,False,True
glmS,metE,False,False,False,False,True
glmS,yvrB,False,False,False,False,False
sigE,mmgC,False,False,True,False,False
sigE,mmgA,False,False,True,False,False
sigE,fadB,False,False,True,False,False
sigE,fadE,False,False,True,False,False
sigE,fadA,False,False,True,False,False
sigE,fadN,False,False,True,False,True
sigE,acdA,False,False,True,False,True
pgk,pgm,False,False,False,False,False
pgk,gapA,False,False,False,False,False
gapA,pgm,False,False,False,False,False
gapA,pgk,False,False,False,False,False
ycsD,fabHA,False,False,False,False,False
ycsD,fabI,False,False,False,False,False
metE,samT,False,False,True,False,True
metE,yvrB,False,False,True,False,False
rpe,yfkN,False,False,False,False,False
rpe,tktA,False,False,False,False,False
rpe,deoD,False,False,False,False,False
rpe,rpiB,False,False,False,False,False
rpe,tal,False,False,False,False,False
aspB,samT,False,False,False,False,True
aspB,metI,False,False,False,False,True
aspB,metE,False,False,False,False,True
aspB,cysH,False,False,False,False,False
aspB,sat,False,False,False,False,True
aspB,asd,False,False,False,False,False
aspB,dapG,False,False,False,False,False
aspB,metAA,False,False,False,False,False
aspB,sigKn,False,False,False,False,False
aspB,sigKc,False,False,False,False,False
aspB,hom,False,False,False,False,False
aspB,yvrB,False,False,False,False,False
aspB,cysI,False,False,False,False,False
aspB,cysJ,False,False,False,False,False
cmk,samT,False,False,False,False,True
cmk,metE,False,False,False,False,True
cmk,yvrB,False,False,False,False,False
mccB,ilvD,False,False,False,False,False
mccB,mccA,False,False,False,False,False
mccB,ilvC,False,False,False,False,True
mccB,alsS,False,False,False,False,False
mccA,ilvD,False,False,False,False,False
mccA,mccB,False,False,False,False,False
mccA,ilvC,False,False,False,False,True
