,name,flux
BSU28270,leuB,0.0
BSU11870,metI,0.0
BSU29440,argH,0.0
BSU11880,metC,0.0
BSU11220,argD,0.0
BSU11200,argJ,0.0
BSU28310,ilvB,0.0
BSU15510,pyrAA,0.0
BSU28250,leuD,0.0
BSU15850,sdaAB,0.0
BSU02390,ilvE,0.0
BSU03790,thrD,0.0
BSU15520,pyrAB,0.0
BSU30540,asnB,0.0
BSU15600,cysC,0.0
BSU11240,carB,0.0
BSU00750,pabA,0.0
BSU13180,metE,0.0
BSU11250,argF,0.0
BSU40340,rocD,0.0
BSU28280,leuA,0.0
BSU11210,argB,0.0
BSU29450,argG,0.0
BSU15860,sdaAA,0.0
BSU32250,thrC,0.0
BSU28290,ilvC,1.9452226071270957e-09
