,base,leu__L_s,6pgc_s,f6p_s,acnam_s,adn_c,pi_c,so4_s,pep_s,cbl1_s,3amp_s,asp__L_s,gmp_s,man6p_c,pser__L_s,zn2_s,mg2_s,arg__L_s,pyr_c,mn2_s,k_s,met__L_c
biomass_dilution,0.04683205762239878,0.012795307025085922,0.012750131126969027,0.012824458397230266,0.012617627710295938,0.012792471658525163,0.0072365270134465195,0.012793541303624303,0.007207389893159231,0.012793971554405235,0.012793971554405235,0.012793971554405235,0.012782727763934264,0.012207581788843302,0.012765011472243314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.026954473904211823,0.007488976183679338,0.0074627217687930625,0.007506061570902922,0.007385589426718947,0.007487329142984119,0.004241850858560529,0.007487943374909418,0.004224829611818866,0.007488192770915842,0.007488192770915842,0.007488192770915842,0.00748166795829375,0.007147111534635316,0.007471324400074198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,9.196026433820471e-05,2.146662630494961e-05,2.1385335424706378e-05,2.1514838484564337e-05,2.115045557036929e-05,2.146149821327592e-05,1.1948074025709031e-05,2.146365743771857e-05,1.1898228741340468e-05,2.1464451538264336e-05,2.1464451538264336e-05,2.1464451538264336e-05,2.1443893995923e-05,2.041663750917933e-05,2.1413448168490156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.0005440842664510416,0.0001268453491374925,0.0001263648900028462,0.00012713123902826956,0.0001249780917427497,0.000126815053407602,7.060115515723893e-05,0.0001268278324785526,7.03065993795669e-05,0.00012683252408933333,0.00012683252408933333,0.00012683252408933333,0.0001267110696393581,0.00012063969796141183,0.00012653138015581344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.004026877297415845,0.0009384755773780397,0.0009349201089570534,0.0009405863195688214,0.0009246406590349373,0.0009382512144997531,0.0005223752301602306,0.0009383453561927894,0.0005201960157065563,0.0009383800847345628,0.0009383800847345628,0.0009383800847345628,0.0009374813385737054,0.0008925640030594086,0.0009361470961166866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,2.9248175310312896e-05,1.4473787582352788e-06,1.4385309659813964e-06,1.4465126199411578e-06,1.419331782528255e-06,1.446800614091401e-06,6.376813625754398e-07,1.4474678092342094e-06,6.336008213869701e-07,1.4475725721321436e-06,1.4475725721321436e-06,1.4475725721321436e-06,1.444833978880118e-06,1.3284556357484904e-06,1.4441759754458219e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.3522143552402488e-05,5.546806508239166e-06,5.519497879279361e-06,5.558282992853329e-06,5.4556929169982184e-06,5.545305877753745e-06,3.0729062399385643e-06,5.545466410041643e-06,3.0591800434023775e-06,5.5457169149395165e-06,5.5457169149395165e-06,5.5457169149395165e-06,5.540442912412593e-06,5.271221809871699e-06,5.530996710942455e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
