,base,asp__L_s,acnam_s,man6p_c,6pgc_s,so4_s,leu__L_s,pi_c,3amp_s,adn_c,pser__L_s,gmp_s,cbl1_s,pep_s,f6p_s,pyr_c,arg__L_s,k_s,zn2_s,mg2_s,mn2_s,met__L_c
biomass_dilution,0.04683205762239878,0.013333272601946089,0.013161655376645367,0.013292473643612595,0.013285780661651378,0.013333290849557956,0.013333680865889623,0.013333272601946089,0.012793541303624303,0.012793650438062139,0.013299177268395518,0.013322428959070716,0.013333272601946089,0.007207164802595434,0.013333290849557956,0.0024358405952538743,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.026954473904211823,0.007803352225218466,0.007703548314971064,0.007779644832615038,0.007775751471432255,0.007803362868070701,0.007803593793110178,0.007803352225218466,0.007487943374909418,0.0074880071897748535,0.007783496380336606,0.007797060650951845,0.007803352225218466,0.004224698337928755,0.007803362868070701,0.0014324679618441677,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,9.196026433820471e-05,2.2380152295771635e-05,2.2073060559349358e-05,2.2306646494449262e-05,2.229472017822794e-05,2.238018371830676e-05,2.238075222203653e-05,2.2380152295771635e-05,2.146365743771857e-05,2.1463841718723256e-05,2.23200004177527e-05,2.2360298990327244e-05,2.2380152295771635e-05,1.1897837106599995e-05,2.238018371830676e-05,3.880094431821462e-06,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.0005440842664510416,0.00013225339192772637,0.00013043992205597851,0.00013181887365410394,0.0001317483526869118,0.00013225357899519297,0.00013225690717134212,0.00013225339192772637,0.0001268278324785526,0.00012682892358240419,0.00013189823030513532,0.0001321360918393992,0.00013225339192772637,7.030428603203013e-05,0.00013225357899519297,2.2931292338870757e-05,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.004026877297415845,0.000978523593394924,0.0009650876022988675,0.0009753084200403901,0.0009747865499271826,0.0009785249735730316,0.0009785500543354482,0.000978523593394924,0.0009383453561927894,0.0009383534323113518,0.0009758901956522656,0.0009776555772571202,0.000978523593394924,0.0005201788930607363,0.0009785249735730316,0.00016967777857347484,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,2.9248175310312896e-05,1.6013802315009236e-06,1.5734820331580307e-06,1.592286218987796e-06,1.5907241691458588e-06,1.6013803129476844e-06,1.6010352284691314e-06,1.6013802315009236e-06,1.4474678092342094e-06,1.4474933626753755e-06,1.597458044056124e-06,1.5985872350732935e-06,1.6013802315009236e-06,6.335641717653691e-07,1.6013803129476844e-06,8.799915180171288e-08,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.3522143552402488e-05,5.776232192312889e-06,5.687067555725703e-06,5.7523662436658626e-06,5.748640577011138e-06,5.776251598006875e-06,5.776815197673725e-06,5.776232192312889e-06,5.545466410041643e-06,5.5455130637769335e-06,5.7582897003618016e-06,5.771136636538534e-06,5.776232192312889e-06,3.0590692106223714e-06,5.776251598006876e-06,1.0322403763933528e-06,0.0,0.0,0.0,0.0,0.0,0.0
