,base,asp__L_s,f6p_s,pser__L_s,adn_c,6pgc_s,3amp_s,so4_s,man6p_c,acnam_s,leu__L_s,cbl1_s,pi_c,gmp_s,pep_s,zn2_s,arg__L_s,mg2_s,pyr_c,k_s,mn2_s,met__L_c
biomass_dilution,0.04683205762239878,0.012794080657680057,0.012824575247099285,0.012765120681984482,0.012794080657680057,0.012750239232964533,0.012792471658525163,0.012793650438062139,0.012207382623817755,0.012617734264563727,0.01279541633472997,0.012794080657680057,0.007235908294418865,0.012782585135826923,0.007207442178286436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.026954473904211823,0.0074882565675018975,0.007506129903427939,0.007471388258964766,0.0074882565675018975,0.007462784983964021,0.007487329142984119,0.0074880071897748535,0.0071469959623542915,0.007385651737018969,0.007489040100942608,0.0074882565675018975,0.004241489475969222,0.007481585525236048,0.004224860227606574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,9.196026433820471e-05,2.1464635767978617e-05,2.1515035653058725e-05,2.141363257619922e-05,2.1464635767978617e-05,2.138551792128165e-05,2.146149821327592e-05,2.1463841718723256e-05,2.041627247793208e-05,2.1150635368184307e-05,2.1466810883096778e-05,2.1464635767978617e-05,1.1947013509842263e-05,2.144362188347463e-05,1.1898315719177205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.0005440842664510416,0.00012683361489028284,0.00012713240649659942,0.0001265324719799087,0.00012683361489028284,0.00012636597053821596,0.000126815053407602,0.00012682892358240419,0.00012063754360667422,0.00012497915630231928,0.00012684644199680202,0.00012683361489028284,7.059488915519067e-05,0.00012670946619987135,7.030711439747179e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.004026877297415845,0.0009383881586147453,0.0009405949598300009,0.0009361551779632804,0.0009383881586147453,0.0009349281068498169,0.0009382512144997531,0.0009383534323113518,0.0008925480687813342,0.0009246485388020721,0.0009384836665270997,0.0009383881586147453,0.0005223288754885748,0.000937469481617155,0.0005201998288737813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,2.9248175310312896e-05,1.447598123602972e-06,1.4465381279812633e-06,1.4442012975367908e-06,1.447598123602972e-06,1.4385561954982816e-06,1.446800614091401e-06,1.4474933626753755e-06,1.3284214411532033e-06,1.4193564645640515e-06,1.4474043223666256e-06,1.447598123602972e-06,6.375987282399979e-07,1.4448126181271243e-06,6.336117286035979e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.3522143552402488e-05,5.5457635617322775e-06,5.558332885491401e-06,5.531043535109636e-06,5.5457635617322775e-06,5.5195440159378115e-06,5.545305877753745e-06,5.5455130637769335e-06,5.271126332081501e-06,5.455738534447457e-06,5.546853277780383e-06,5.5457635617322775e-06,3.0726113351087533e-06,5.540370326970045e-06,3.059201932130675e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amba_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
