,base,man6p_c,f6p_s,asp__L_s,leu__L_s,cbl1_s,gmp_s,acnam_s,pser__L_s,so4_s,pep_s,6pgc_s,pi_c,adn_c,3amp_s,arg__L_s,zn2_s,mg2_s,mn2_s,k_s,pyr_c,met__L_c
biomass_dilution,0.04683205762239878,0.0071866500425567725,0.007207389893159231,0.007207389893159231,0.007200106025774195,0.007207389893159231,0.007197380249350407,0.0070146171623908325,0.0071544187805550885,0.007207164802595434,0.007207389893159231,0.007191213601614535,0.007209112811804636,0.007207442178286436,0.007207389893159231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.026954473904211823,0.004212727460022178,0.004224829611818866,0.004224829611818866,0.004220570761003866,0.004224829611818866,0.00421899383593957,0.004112264670752285,0.004193870374017745,0.004224698337928755,0.004224829611818866,0.004215411399099998,0.004225839498016967,0.004224860227606574,0.004224829611818866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,9.196026433820471e-05,1.186238214714168e-05,1.1898228741340468e-05,1.1898228741340468e-05,1.188589401113364e-05,1.1898228741340468e-05,1.1880748132820515e-05,1.1567081542241849e-05,1.1808085827800683e-05,1.1897837106599995e-05,1.1898228741340468e-05,1.1869644213503107e-05,1.1901061072745567e-05,1.1898315719177205e-05,1.1898228741340468e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.0005440842664510416,7.009476751588988e-05,7.03065993795669e-05,7.03065993795669e-05,7.023373072429421e-05,7.03065993795669e-05,7.020331712834856e-05,6.835040051411734e-05,6.977409915090716e-05,7.030428603203013e-05,7.03065993795669e-05,7.013763299736982e-05,7.03233804969948e-05,7.030711439747179e-05,7.03065993795669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.004026877297415845,0.0005186279392391434,0.0005201960157065563,0.0005201960157065563,0.0005196563624218788,0.0005201960157065563,0.0005194317574186302,0.0005057105835965925,0.0005162525354384798,0.0005201788930607363,0.0005201960157065563,0.000518945831765045,0.0005203202849615113,0.0005201998288737813,0.0005201960157065563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,2.9248175310312896e-05,6.308557593887402e-07,6.336008213869701e-07,6.336008213869701e-07,6.329071235302009e-07,6.336008213869701e-07,6.318935090353433e-07,6.094483827033982e-07,6.279328777234727e-07,6.335641717653691e-07,6.336008213869701e-07,6.308125374130369e-07,6.339818626186799e-07,6.336117286035979e-07,6.336008213869701e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.3522143552402488e-05,3.0474416105555043e-06,3.0591800434023775e-06,3.0591800434023775e-06,3.0553174248185768e-06,3.0591800434023775e-06,3.054664505994239e-06,2.9661003047311827e-06,3.0336678574508913e-06,3.0590692106223714e-06,3.0591800434023775e-06,3.0493690074561237e-06,3.0598877592538535e-06,3.059201932130675e-06,3.0591800434023775e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
