,base,pser__L_s,cbl1_s,3amp_s,6pgc_s,man6p_c,so4_s,adn_c,pi_c,pep_s,gmp_s,asp__L_s,f6p_s,leu__L_s,acnam_s,pyr_c,arg__L_s,k_s,zn2_s,mg2_s,mn2_s,met__L_c
biomass_dilution,0.04683205762239878,0.01329976573809031,0.013333489512163307,0.012824458397230266,0.013286056693288724,0.01329274488121689,0.013333290849557956,0.012824575247099285,0.013333507760474508,0.007207389893159231,0.013322646072204576,0.013333507760474508,0.013333507760474508,0.013333897254293159,0.0131563753763598,0.0024358265384151895,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.026954473904211823,0.007783838313667805,0.007803477906948786,0.007506061570902922,0.0077759117682431435,0.00777980231536152,0.007803362868070701,0.007506129903427939,0.0078034885502072425,0.004224829611818866,0.007797186453320593,0.0078034885502072425,0.0078034885502072425,0.0078037191692248665,0.007700460280663183,0.00143245969084944,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,9.196026433820471e-05,2.2321062189191844e-05,2.2380553999572673e-05,2.1514838484564337e-05,2.2295220902804752e-05,2.2307139335504213e-05,2.238018371830676e-05,2.1515035653058725e-05,2.238058542336304e-05,1.1898228741340468e-05,2.2360700977950665e-05,2.238058542336304e-05,2.238058542336304e-05,2.2381153054407572e-05,2.2064170327621572e-05,3.880072145166242e-06,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.0005440842664510416,0.00013190450420709547,0.00013225576538171679,0.00012713123902826956,0.00013175131206531716,0.00013182178660492525,0.00013225357899519297,0.00012713240649659942,0.00013225595245665528,7.03065993795669e-05,0.0001321384669718948,0.00013225595245665528,0.00013225595245665528,0.00013225927547238074,0.00013038728028707383,2.2931160499353575e-05,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.004026877297415845,0.0009759366246082124,0.0009785411627348188,0.0009405863195688214,0.0009748084484015601,0.0009753299748031417,0.0009785249735730316,0.0009405949598300009,0.0009785425429680566,0.0005201960157065563,0.000977673159005173,0.0009785425429680566,0.0009785425429680566,0.0009785675856110996,0.0009646977985089178,0.0001696768047114466,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,2.9248175310312896e-05,1.5975937381831663e-06,1.6014359780506669e-06,1.4465126199411578e-06,1.5907864058161806e-06,1.5923490061830325e-06,1.6013803129476844e-06,1.4465381279812633e-06,1.6014360595033464e-06,6.336008213869701e-07,1.598642966303591e-06,1.6014360595033464e-06,1.6014360595033464e-06,1.601090865828309e-06,1.5720763812184129e-06,8.799863871324956e-08,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.3522143552402488e-05,5.758588241680741e-06,5.7763644616703995e-06,5.558282992853329e-06,5.748787633313134e-06,5.752513714760711e-06,5.776251598006876e-06,5.558332885491401e-06,5.776383868113003e-06,3.0591800434023775e-06,5.771268969826083e-06,5.776383868113003e-06,5.776383868113003e-06,5.77694737558799e-06,5.684862318744578e-06,1.03223546825957e-06,0.0,0.0,0.0,0.0,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
