,base,asp__L_s,pi_c,man6p_c,so4_s,pep_s,gmp_s,acnam_s,adn_c,6pgc_s,f6p_s,leu__L_s,cbl1_s,pser__L_s,3amp_s,pyr_c,arg__L_s,zn2_s,k_s,mg2_s,mn2_s,met__L_c
biomass_dilution,0.04683205762239878,0.013299765503654953,0.013304070880047834,0.013275179252457293,0.013299177268395518,0.0071544187805550885,0.013293283723209927,0.013126125646469727,0.012765120681984482,0.013253944866787727,0.01329976573809031,0.013300170429734352,0.013299768778940657,0.013299768778940657,0.012765011472243314,0.002430858385862779,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.026954473904211823,0.007783838176195614,0.007786355133269642,0.007769566356287309,0.007783496380336606,0.004193870374017745,0.007780096327164106,0.007682950320228399,0.007471388258964766,0.00775721378026552,0.007783838313667805,0.007784077778564711,0.007783840119103712,0.007783840119103712,0.007471324400074198,0.001429541326134331,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,9.196026433820471e-05,2.232106180641647e-05,2.2328343660667842e-05,2.2276305629802148e-05,2.23200004177527e-05,1.1808085827800683e-05,2.2308593450871402e-05,2.200754822127823e-05,2.141363257619922e-05,2.223847834124167e-05,2.2321062189191844e-05,2.2321656420464553e-05,2.232106665599622e-05,2.232106665599622e-05,2.1413448168490156e-05,3.872067037970046e-06,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.0005440842664510416,0.00013190450193977638,0.0001319476171210209,0.00013164000201348067,0.00013189823030513532,6.977409915090716e-05,0.0001318309242689914,0.0001300528512633944,0.0001265324719799087,0.0001314163279402032,0.00013190450420709547,0.00013190798567627615,0.00013190453030821847,0.00013190453030821847,0.00012653138015581344,2.2883864498389532e-05,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.004026877297415845,0.0009759366077828411,0.0009762558518690559,0.0009739796782016699,0.0009758901956522656,0.0005162525354384798,0.0009753923727428241,0.0009622240030918301,0.0009361551779632804,0.0009723244434203404,0.0009759366246082124,0.0009759628383100291,0.0009759368128717461,0.0009759368128717461,0.0009361470961166866,0.00016932644617519038,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,2.9248175310312896e-05,1.5975936743322782e-06,1.5987591773505807e-06,1.5923405720456868e-06,1.597458044056124e-06,6.279328777234727e-07,1.5959461738755864e-06,1.5633654171549144e-06,1.4442012975367908e-06,1.5873992417480291e-06,1.5975937381831663e-06,1.5972467829055358e-06,1.5975936816985563e-06,1.5975936816985563e-06,1.4441759754458219e-06,8.77988361166101e-08,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.3522143552402488e-05,5.758588145938241e-06,5.760412485924869e-06,5.743494341374312e-06,5.7582897003618016e-06,3.0336678574508913e-06,5.755375379448803e-06,5.668003119194984e-06,5.531043535109636e-06,5.7316861793179385e-06,5.758588241680741e-06,5.759173537316134e-06,5.75858932344722e-06,5.75858932344722e-06,5.530996710942455e-06,1.0298872302203524e-06,0.0,0.0,0.0,0.0,0.0,0.0
