,name,FS_flux,FS_essential,MC_flux,MC_essential
BSU00090,guaB,0.0,False,6.091668643196085e-09,False
BSU00110,pdxS,0.0,False,0.0,False
BSU00120,pdxT,0.0,False,0.0,False
BSU00130,serS,4.2279453647853213e-10,True,1.840775968247815e-09,True
BSU00140,dck,1.4113540620094887e-09,False,0.0,False
BSU00150,dgk,3.542945908920464e-10,False,0.0,False
BSU00180,tadA,8.080619362761218e-13,False,4.283333227869916e-12,False
BSU00270,yaaO,0.0,False,0.0,False
BSU00280,tmk,3.432771469165934e-10,True,0.0,False
BSU00380,metS,1.4459858679516562e-10,True,9.585888920840955e-10,True
BSU00410,rnmV,0.0,False,0.0,False
BSU00460,ispE,0.0,False,0.0,False
BSU00500,glmU,0.0,False,2.509537427846743e-07,True
BSU00510,prs,8.726081751914391e-08,False,1.1688993086629245e-07,False
BSU00550,mfd,1.6843093624199157e-12,True,7.280137239559237e-12,True
BSU00680,hprT,1.077669051917597e-07,False,1.0634972682819151e-07,False
BSU00730,cysK,0.0,False,0.0,False
BSU00740,pabB,0.0,False,4.861766711505299e-12,False
BSU00750,pabA,0.0,False,4.4129126799711703e-10,False
BSU00760,pabC,0.0,False,2.461136714043074e-12,False
BSU00770,folP,0.0,False,3.103667546504405e-12,False
BSU00780,folB,0.0,False,8.180155813298459e-12,False
BSU00790,folK,0.0,False,3.759942128865162e-12,False
BSU00810,dusB,0.0,False,0.0,False
BSU00820,lysS,5.126793879675892e-10,True,2.4921619565147707e-09,True
BSU00900,ispD,0.0,False,0.0,False
BSU00910,ispF,0.0,False,0.0,False
BSU00930,cysE,0.0,False,0.0,False
BSU00940,cysS,3.208609850988635e-11,True,1.8077035145121264e-10,True
BSU00980,sigH,3.3623083159479083e-13,False,3.815669093798497e-11,False
BSU00990,rpmGB,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01000,secE,5.249871760211856e-09,True,3.481818524412244e-08,True
BSU01010,nusG,1.6843093624199157e-12,True,7.280137239559237e-12,True
BSU01020,rplK,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01030,rplA,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01040,rplJ,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01050,rplL,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01070,rpoB,1.4985826845014104e-08,True,1.0198221696666593e-07,True
BSU01080,rpoC,1.4985826845014104e-08,True,1.0198221696666593e-07,True
BSU01100,rpsL,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01110,rpsG,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01120,fusA,6.026828348344738e-09,True,3.1934829706801133e-08,True
BSU01130,tufA,6.026828326555378e-09,True,3.193482958177103e-08,True
BSU01150,rpsJ,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01160,rplC,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01170,rplD,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01180,rplW,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01190,rplB,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01200,rpsS,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01210,rplV,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01220,rpsC,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01230,rplP,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01240,rpmC,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01250,rpsQ,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01260,rplNA,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01270,rplX,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01280,rplE,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01290,rpsNA,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01300,rpsH,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01310,rplF,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01320,rplR,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01330,rpsE,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01340,rpmD,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01350,rplO,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01360,secY,5.249871760211856e-09,True,3.481818524412244e-08,True
BSU01370,adk,1.8478460092287214e-08,False,8.101414238896418e-07,False
BSU01380,mapA,1.459346907248637e-12,True,7.064329445534593e-12,True
BSU01390,infA,2.0725656330599814e-11,True,1.2173409440744252e-10,True
BSU01400,rpmJ,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01410,rpsM,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01420,rpsK,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01430,rpoA,1.4985826845014104e-08,True,1.0198221696666593e-07,True
BSU01440,rplQ,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01490,rplM,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01500,rpsI,2.1321651663087685e-07,True,1.1302071653374336e-06,True
BSU01530,cwlD,0.0,False,0.0,False
BSU01730,sigW,0.0,False,0.0,False
BSU01770,glmM,9.519610727420407e-09,False,9.411439338286149e-09,True
BSU01780,glmS,0.0,False,2.268563162436199e-08,False
BSU02090,ybxI,0.0,False,0.0,False
BSU02130,glpQA,0.0,False,0.0,False
BSU02230,purT,0.0,False,5.209503588570527e-09,False
BSU02270,pssA,3.052973882855245e-09,True,0.0,False
BSU02290,psd,2.2372663032570325e-09,True,0.0,False
BSU02360,gamA,0.0,False,0.0,False
BSU02390,ilvE,0.0,False,0.0,False
BSU02430,glsA,0.0,False,0.0,False
BSU02460,kdgD,0.0,False,0.0,False
BSU02490,gudD,0.0,False,0.0,False
BSU02510,garD,0.0,False,0.0,False
BSU02630,tatAD,0.0,False,0.0,False
BSU02640,tatCD,0.0,False,0.0,False
BSU03010,amhX,0.0,False,0.0,False
BSU03040,amyE,0.0,False,0.0,False
BSU03050,lctE,2.7758103663394255e-05,False,2.7758103663394255e-05,False
BSU03130,nadE,8.862451414756746e-16,True,2.56653119025637e-15,False
BSU03150,aroK,0.0,False,1.5569073771403866e-08,False
BSU03200,putB,0.0,False,0.0,False
BSU03270,ffoR,0.0,False,0.0,False
BSU03280,nasF,0.0,False,0.0,False
BSU03290,nasE,0.0,False,0.0,False
BSU03300,nasD,0.0,False,0.0,False
BSU03790,thrD,0.0,False,0.0,False
BSU03860,nfrAB,0.0,False,0.0,False
BSU03900,gabT,0.0,False,0.0,False
BSU03910,gabD,0.0,False,0.0,False
BSU03930,gdh,0.0,False,0.0,False
