,name,FS_flux,FS_essential,MC_flux,MC_essential
BSU00130,serS,1.775625555751219e-09,True,2.353149645038939e-09,True
BSU00150,dgk,7.647395796309637e-10,False,0.0,False
BSU00180,tadA,2.6684163271376595e-11,False,6.423578853951742e-12,False
BSU00280,tmk,3.963531609795149e-09,True,0.0,False
BSU00380,metS,9.321943580758702e-10,True,1.499037100586002e-09,True
BSU00460,ispE,2.911400322509354e-11,True,0.0,False
BSU00500,glmU,4.204657286697154e-07,False,0.0,False
BSU00510,prs,2.904341516677429e-07,False,3.248383774147407e-07,False
BSU00550,mfd,6.03754182853425e-12,True,8.158548001091867e-12,True
BSU00680,hprT,3.5871683542631574e-07,False,3.5565787710779185e-07,False
BSU00820,lysS,1.8600392272344732e-09,True,3.133933246765481e-09,True
BSU00900,ispD,1.40676695884948e-10,True,0.0,False
BSU00910,ispF,1.6106376672234038e-10,True,0.0,False
BSU00940,cysS,1.2428656515772046e-10,True,3.0021869611886766e-10,True
BSU00990,rpmGB,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01000,secE,4.20827386380504e-08,True,3.2520474312153176e-08,True
BSU01010,nusG,6.03754182853425e-12,True,8.158548001091867e-12,True
BSU01020,rplK,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01030,rplA,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01040,rplJ,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01050,rplL,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01070,rpoB,1.6513333652905034e-08,True,4.8192806591228313e-08,True
BSU01080,rpoC,1.6513333652905034e-08,True,4.8192806591228313e-08,True
BSU01100,rpsL,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01110,rpsG,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01120,fusA,3.063628983198231e-08,True,4.585383564923679e-08,True
BSU01130,tufA,3.0636289695565655e-08,True,4.5853835394969166e-08,True
BSU01150,rpsJ,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01160,rplC,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01170,rplD,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01180,rplW,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01190,rplB,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01200,rpsS,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01210,rplV,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01220,rpsC,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01230,rplP,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01240,rpmC,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01250,rpsQ,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01260,rplNA,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01270,rplX,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01280,rplE,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01290,rpsNA,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01300,rpsH,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01310,rplF,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01320,rplR,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01330,rpsE,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01340,rpmD,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01350,rplO,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01360,secY,4.20827386380504e-08,True,3.2520474312153176e-08,True
BSU01370,adk,4.8887141458565395e-08,False,1.5940233514997823e-07,False
BSU01380,mapA,7.58924480575191e-12,True,1.3148384142545835e-11,True
BSU01390,infA,8.85426255057534e-11,True,1.6967697556511948e-10,True
BSU01400,rpmJ,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01410,rpsM,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01420,rpsK,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01430,rpoA,1.6513333652905034e-08,True,4.8192806591228313e-08,True
BSU01440,rplQ,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01490,rplM,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01500,rpsI,7.702115559784529e-07,True,1.153719595359535e-06,True
BSU01770,glmM,3.1773138418270633e-08,False,0.0,False
BSU02270,pssA,6.5897208233572786e-09,True,0.0,False
BSU02290,psd,4.829048957398987e-09,True,0.0,False
BSU03050,lctE,2.1334530436678508e-05,False,2.1334530436678508e-05,False
BSU03060,lctP,9.142084883320972e-07,False,0.0,False
BSU04030,ycsD,4.358841319257888e-09,False,0.0,False
BSU04360,mntH,2.178798612457051e-13,False,0.0,False
BSU04560,ddlA,3.412655461090977e-08,True,0.0,False
BSU04570,murF,2.8509760555900624e-08,True,0.0,False
BSU04640,alrA,1.80493251747402e-08,False,0.0,False
BSU04730,sigB,4.3506844634782306e-11,True,2.758593844148972e-11,False
BSU04740,rsbX,2.273996686522573e-08,False,6.223430800943147e-08,True
BSU06020,groES,7.483084287154781e-12,True,5.967183568167557e-11,True
BSU06030,groEL,7.483084287154781e-12,True,5.967183568167557e-11,True
BSU06240,bdhA,5.329686189122592e-10,False,5.329686189122592e-10,False
BSU06660,opuE,9.63738363713828e-10,False,0.0,False
BSU06670,gatC,2.539930945486812e-09,True,4.446141380599858e-09,True
BSU06680,gatA,2.539930945486812e-09,True,4.446141380599858e-09,True
BSU06690,gatB,2.539930945486812e-09,True,4.446141380599858e-09,True
BSU06730,rlmCD,1.9909631696628808e-13,True,2.9823146701053345e-13,True
