,base,BSU33040_s,BSU37170_s,BSU23500_s,BSU36010_s,BSU32840_s,BSU24080_s,BSU01370_s,BSU28540_s,BSU32830_s,BSU18000_s,BSU15680_s,BSU21770_s,BSU00680_s,BSU33940_s,BSU08820_s,BSU28290_s,BSU23860_s,BSU27250_s,BSU21870_s,BSU29120_s,BSU24170_s,BSU24150_s,BSU27850_s,BSU27870_s,BSU27860_s,BSU16670_s,BSU33930_s,BSU00510_s,BSU38990_s,BSU36920_s,BSU38980_s,BSU16100_s,BSU16090_s,BSU00980_s,BSU33920_s,BSU15320_s,BSU07840_s,BSU32680_s
biomass_dilution,0.030264806779316932,0.030262205148756743,0.030264750308521493,0.03044096125541088,0.03026481856185497,0.03025825329830812,0.03027621167356212,0.030418702932036298,0.030264757698577786,0.03025825329830812,0.03026361709512661,0.030432683917300685,0.0302719352137585,0.030440690418768335,0.03259892918201646,0.030264748824958155,0.03027208953125366,0.030233937655083656,0.03026476690244015,0.030272111598953898,0.030262205148756743,0.030282302593533105,0.030264754342407052,0.030264739121705655,0.03026473912172816,0.030264739121705655,0.03026473912172816,0.03259896746385213,0.030440690384136094,0.03028312273055071,0.030281930031362665,0.03028312273055071,0.03030525333232103,0.03030525333232103,0.03026475018937571,0.03245260335320821,0.030276191258711078,0.03044447603535032,0.030272158162195965
protein_biomass_to_biomass,0.017659916386739076,0.01765841214674204,0.017659883543745352,0.017763111488974942,0.01765992326041966,0.01765650177799462,0.01766659687699253,0.01774993181893952,0.01765988785433994,0.01765650177799462,0.017659223884847225,0.017758305796033165,0.01766407817205448,0.01776294161638923,0.019028497185736768,0.017659882678236663,0.017664168116066845,0.01764228079195751,0.017659893179145975,0.01766418099317815,0.01765841214674204,0.017670220921614705,0.017659885896642667,0.01765987701782228,0.017659877017835408,0.01765987701782228,0.017659877017835408,0.019028519097518567,0.017762941596189977,0.01767070416291032,0.017669996778154635,0.01767070416291032,0.017683624039467896,0.017683624039467896,0.017659883474085817,0.01894292737244494,0.01766702799742224,0.0177651626427125,0.01766420798340605
mRNA_biomass_to_biomass,5.218627595417377e-05,5.218137968718074e-05,5.2186175999902245e-05,5.247714780184514e-05,5.2186296311668464e-05,5.2162499924399735e-05,5.220521368845543e-05,5.244455294541517e-05,5.218618883885809e-05,5.2162499924399735e-05,5.2184152349047346e-05,5.246218672226977e-05,5.219852305517314e-05,5.247707080124197e-05,5.599212243047137e-05,5.2186173439474864e-05,5.219879250216134e-05,5.2121948751871775e-05,5.218620598474352e-05,5.2198830650651375e-05,5.218137968718074e-05,5.221360097253714e-05,5.218618301430931e-05,5.218615664464232e-05,5.218615664468129e-05,5.218615664464232e-05,5.218615664468129e-05,5.5992200057211975e-05,5.247707074127246e-05,5.221487592000013e-05,5.221306747606452e-05,5.221487592000013e-05,5.225245743402825e-05,5.225245743402825e-05,5.2186175811231545e-05,5.574609909227855e-05,5.219170153853669e-05,5.24829784099779e-05,5.219891417038825e-05
tRNA_biomass_to_biomass,0.00030987730722340775,0.00030984822409334684,0.00030987671062276587,0.00031160667545039285,0.000309877428139649,0.00030973755653560377,0.00030998970830755995,0.000311413441828922,0.0003098767865889367,0.00030973755653560377,0.000309864787805439,0.00031151765900572123,0.0003099499124370718,0.00031160606277331625,0.00033257804068119456,0.00030987669540389083,0.00030995151033152117,0.000309495059734786,0.00030987688844416356,0.00030995173632766343,0.00030984822409334684,0.00031003854514257816,0.0003098767520967917,0.00030987659577370093,0.000309876595773932,0.00030987659577370093,0.000309876595773932,0.0003325785102954147,0.00031160606241726116,0.00031004606705845863,0.00031003686210000827,0.00031004606705845863,0.000310271847983961,0.000310271847983961,0.000309876709430752,0.0003311129788016207,0.0003099097244053623,0.00031164363792755584,0.0003099522351453232
rRNA_biomass_to_biomass,0.0022879015571949436,0.0022876868556559763,0.002287897160816894,0.0023006926406000136,0.0022879024499990134,0.0022868641203747054,0.0022887336293026263,0.002299254674220127,0.0022878977224936904,0.0022868641203747054,0.0022878082432228517,0.0023000361425835713,0.0022884395964162343,0.0023006892594975028,0.002455091827428127,0.002287897048474681,0.002288451428313239,0.0022850833323427963,0.0022878984762518214,0.002288453098009708,0.0022876868556559763,0.002289107396361739,0.002287897467525739,0.0022878963125152058,0.0022878963125169127,0.0022878963125152058,0.0022878963125169127,0.0024550952302178713,0.0023006892568639943,0.002289163659529095,0.0022890797093456598,0.002289163659529095,0.0022908105850669145,0.0022908105850669145,0.002287897152199812,0.002444284775709919,0.0022881519857962684,0.0023009442823040006,0.002288456786751272
ncRNA_biomass_to_biomass,7.814074661900118e-06,7.812779816832677e-06,7.814074884299762e-06,7.84156994250357e-06,7.814077608412754e-06,7.802882288207077e-06,7.811947033213364e-06,7.850162021675501e-06,7.814075567776048e-06,7.802882288207077e-06,7.815011746229314e-06,7.83723531157735e-06,7.812983452221322e-06,7.840537423379104e-06,8.768295378453963e-06,7.814074468376754e-06,7.812974932520613e-06,7.781922354060286e-06,7.814074358579183e-06,7.812979083933742e-06,7.812779816832677e-06,7.80487185156048e-06,7.814075156958824e-06,7.814072533724071e-06,7.814072533728308e-06,7.814072533724071e-06,7.814072533728308e-06,8.768302043750484e-06,7.840537417168004e-06,7.804423990915182e-06,7.814191163125573e-06,7.804423990915182e-06,7.830474906424859e-06,7.83047490642486e-06,7.814074571479488e-06,8.721996748294135e-06,7.793955108966317e-06,7.858286358599412e-06,7.812959098701648e-06
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,1.3408210002702988e-05,1.340693021896766e-05,1.3408149095518166e-05,1.3481520092779584e-05,1.3408215390508329e-05,1.3402211068606425e-05,1.3413554929435796e-05,1.347163392715692e-05,1.3408152682366509e-05,1.3402211068606425e-05,1.3407579929252014e-05,1.3477887375724011e-05,1.3412054562671274e-05,1.3481212664726565e-05,1.447204338451588e-05,1.3408148426948105e-05,1.3412143819773356e-05,1.3391654466533296e-05,1.3408164985258361e-05,1.3412153041085865e-05,1.340693021896766e-05,1.341798918171274e-05,1.340815110908353e-05,1.3408143891071641e-05,1.3408143891082271e-05,1.3408143891071641e-05,1.3408143891082271e-05,1.4472131365125527e-05,1.3481212649557497e-05,1.3418449504863194e-05,1.3416235411187031e-05,1.3418449504863194e-05,1.3425405261111908e-05,1.3425405261111908e-05,1.3408149103346182e-05,1.441348341087142e-05,1.341264588969147e-05,1.3480221111909377e-05,1.3412292958329871e-05
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
