,base,phe__L_c,3amp_s,gmp_s,gly_s,amp_s,tyr__L_c,leu__L_s,adn_c,his__L_s,man6p_c,pi_c,asn__L_s,cmp_s,ump_s,btd_RR_c,chor_s,f6p_s,acnam_s,6pgc_s,for_c,mg2_s,cbl1_s,acac_s,pser__L_s,so4_s,zn2_s,arg__L_s,mn2_s,k_s
biomass_dilution,0.004487433485645218,0.004486320620400311,0.004487366390292641,0.004479256354706538,0.004487293518267885,0.004485238166956051,0.004487407948016883,0.004476851662269479,0.004487366390292641,0.0044856384799840015,0.004469175830864552,0.004555817784974818,0.004486443228548107,0.0029134880086836737,0.002913941040003947,0.0009770008247979168,0.004486182942107955,0.004487366390292641,0.0043213762884061905,0.0044736213413954515,0.004487367928771649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.002637170561381253,0.0026365174600628226,0.002637131234219015,0.002632380717076238,0.0026370884046578048,0.002635883806913014,0.0026371556608283608,0.0026309720908664477,0.002637131234219015,0.002636119023147512,0.0026264673423488046,0.002677328935365169,0.0026365907105678535,0.0017142835069809935,0.0017145494908409242,0.0005754033462968926,0.002636436556015029,0.002637131234219015,0.002539820150105957,0.002629073321778228,0.0026371321384183245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,7.201331467563093e-06,7.199518779786391e-06,7.2012206746563565e-06,7.18773034683347e-06,7.201103916906947e-06,7.1977062127427384e-06,7.201287261938269e-06,7.183729668413683e-06,7.2012206746563565e-06,7.198348870582214e-06,7.171219886876504e-06,7.311636891509602e-06,7.199677981587e-06,4.6138833389009435e-06,4.61461743059004e-06,1.5302717611201266e-06,7.199298224328177e-06,7.2012206746563565e-06,6.927749534813214e-06,7.178563675960138e-06,7.201223137069394e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,4.255602076247983e-05,4.254531110310461e-05,4.2555366045721235e-05,4.247564580941355e-05,4.2554676222483194e-05,4.25345987097057e-05,4.2555759386482355e-05,4.245200567404331e-05,4.2555366045721235e-05,4.253839477123243e-05,4.237809652020876e-05,4.320938694701773e-05,4.254624909548274e-05,2.726791273003787e-05,2.7272250848819387e-05,9.0436551386811e-06,4.2544007846172427e-05,4.2555366045721235e-05,4.093946436083587e-05,4.242147884585827e-05,4.2555380604146366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.00031486653259213236,0.0003147872714235683,0.00031486168834431286,0.00031427197543859223,0.0003148565830183056,0.00031470803469095895,0.0003148646003261946,0.0003140970385236655,0.00031486168834431286,0.00031473614506935153,0.00031355027776652983,0.0003197045071080444,0.0003147942539289358,0.00020173924054307348,0.0002017713423512388,6.691761838127163e-05,0.0003147776242893491,0.00031486168834431286,0.00030290158668238405,0.00031387125098412976,0.0003148617961252165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,1.991595493389203e-07,1.990881683721464e-07,1.9915396373408135e-07,1.9835678355711743e-07,1.9915115702699861e-07,1.9897768848142706e-07,1.9915570377933746e-07,1.9812528620326762e-07,1.9915396373408135e-07,1.9898973102183602e-07,1.9760938450746546e-07,2.0715935752236395e-07,1.9905666891503764e-07,7.455533961853548e-08,7.457957281662521e-08,1.1023243524731404e-08,1.9908320770938744e-07,1.9915396373408135e-07,1.8681312278148532e-07,1.9802511646040428e-07,1.9915394683524527e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.031439115496261e-06,2.03089957731972e-06,2.031407797005379e-06,2.0277758965189437e-06,2.031371675342894e-06,2.030401352578539e-06,2.0314252941749028e-06,2.026871138328817e-06,2.031407797005379e-06,2.0306278738263152e-06,2.0234048864223655e-06,2.058633162646857e-06,2.0310056109156536e-06,1.2244370742405608e-06,1.2246703615381339e-06,4.3052768442459405e-07,2.0308097669139093e-06,2.031407797005379e-06,1.951690164817352e-06,2.0249574945612553e-06,2.0314086797494602e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
