,name,FS_flux,FS_essential,MC_flux,MC_essential
BSU00090,guaB,0.0,False,5.791094887402929e-09,False
BSU00110,pdxS,0.0,False,0.0,False
BSU00120,pdxT,0.0,False,0.0,False
BSU00130,serS,3.3530214884653513e-10,True,1.3911524364764348e-09,True
BSU00140,dck,0.0,False,0.0,False
BSU00150,dgk,0.0,False,0.0,False
BSU00180,tadA,0.0,False,0.0,False
BSU00270,yaaO,0.0,False,0.0,False
BSU00280,tmk,1.124453990840071e-09,True,0.0,False
BSU00380,metS,8.997888759930871e-11,True,6.449050458266523e-10,True
BSU00410,rnmV,0.0,False,0.0,False
BSU00460,ispE,0.0,False,0.0,False
BSU00500,glmU,1.2909699888514435e-07,True,2.4245008784454814e-08,True
BSU00510,prs,1.8001593730956444e-17,False,2.8632162656541994e-08,False
BSU00550,mfd,1.3073078726958706e-12,True,6.047161019893519e-12,True
BSU00680,hprT,0.0,False,6.577110920137496e-13,False
BSU00730,cysK,0.0,False,0.0,False
BSU00740,pabB,0.0,False,2.9970765455143983e-12,False
BSU00750,pabA,0.0,False,2.8689153311071585e-10,True
BSU00760,pabC,0.0,False,1.517188207222523e-12,False
BSU00770,folP,0.0,False,1.913281685583492e-12,False
BSU00780,folB,0.0,False,5.042725120617569e-12,False
BSU00790,folK,0.0,False,2.3178476129357898e-12,False
BSU00810,dusB,0.0,False,0.0,False
BSU00820,lysS,3.581817818113893e-10,True,1.8690505379057782e-09,True
BSU00900,ispD,0.0,False,0.0,False
BSU00910,ispF,0.0,False,0.0,False
BSU00930,cysE,0.0,False,0.0,False
BSU00940,cysS,1.267070245836275e-11,True,1.0976018796738685e-10,True
BSU00980,sigH,1.1690451496131186e-10,False,1.7157639471376882e-10,False
BSU00990,rpmGB,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01000,secE,6.216926677440042e-09,True,3.184277333810589e-08,True
BSU01010,nusG,1.3073078726958706e-12,True,6.047161019893519e-12,True
BSU01020,rplK,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01030,rplA,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01040,rplJ,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01050,rplL,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01070,rpoB,9.682550752245368e-09,True,1.385467995163981e-07,True
BSU01080,rpoC,9.682550752245368e-09,True,1.385467995163981e-07,True
BSU01100,rpsL,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01110,rpsG,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01120,fusA,3.9053124490591015e-09,True,2.226001649901417e-08,True
BSU01130,tufA,3.905312437783609e-09,True,2.2260016428392525e-08,True
BSU01150,rpsJ,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01160,rplC,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01170,rplD,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01180,rplW,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01190,rplB,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01200,rpsS,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01210,rplV,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01220,rpsC,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01230,rplP,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01240,rpmC,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01250,rpsQ,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01260,rplNA,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01270,rplX,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01280,rplE,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01290,rpsNA,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01300,rpsH,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01310,rplF,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01320,rplR,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01330,rpsE,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01340,rpmD,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01350,rplO,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01360,secY,6.216926677440042e-09,True,3.184277333810589e-08,True
BSU01370,adk,6.5573115031587815e-09,False,4.173177428031928e-08,False
BSU01380,mapA,1.0561271040688392e-12,True,4.687775059193383e-12,True
BSU01390,infA,1.3657695178885346e-11,True,8.721424659364472e-11,True
BSU01400,rpmJ,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01410,rpsM,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01420,rpsK,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01430,rpoA,9.682550752245368e-09,True,1.385467995163981e-07,True
BSU01440,rplQ,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01490,rplM,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01500,rpsI,1.723972140592675e-07,True,9.830644737487544e-07,True
BSU01530,cwlD,0.0,False,0.0,False
BSU01730,sigW,0.0,False,0.0,False
BSU01770,glmM,1.0657032577972545e-08,True,9.090933919762466e-10,True
BSU01780,glmS,0.0,False,1.3862067341598399e-08,False
BSU02090,ybxI,0.0,False,0.0,False
BSU02130,glpQA,0.0,False,0.0,False
BSU02230,purT,0.0,False,5.109058078321447e-09,False
BSU02270,pssA,1.8820311547899113e-09,True,0.0,False
BSU02290,psd,1.3791814296011837e-09,True,0.0,False
BSU02360,gamA,0.0,False,0.0,False
BSU02390,ilvE,0.0,False,0.0,False
BSU02430,glsA,0.0,False,0.0,False
BSU02460,kdgD,0.0,False,0.0,False
BSU02490,gudD,0.0,False,0.0,False
BSU02510,garD,0.0,False,0.0,False
BSU02630,tatAD,0.0,False,0.0,False
BSU02640,tatCD,0.0,False,0.0,False
BSU03010,amhX,0.0,False,0.0,False
BSU03040,amyE,0.0,False,0.0,False
BSU03050,lctE,0.0,False,0.0,False
BSU03130,nadE,5.538026671567319e-18,True,8.595724278498651e-16,False
BSU03150,aroK,0.0,False,1.0074410237636901e-08,False
BSU03200,putB,0.0,False,0.0,False
BSU03270,ffoR,0.0,False,0.0,False
BSU03280,nasF,0.0,False,0.0,False
BSU03290,nasE,0.0,False,0.0,False
BSU03300,nasD,0.0,False,0.0,False
