,lb,ub,rxn_flux,met_flux,reaction
PSERT_REV_BSU10020-MONOMER_mod_pydx5p_s,0,999999.0,0.1169230175902758,0.1169230175902758,akg_s + pser__L_s <=> 3php_s + -7.40403384347267e-6*sigma BSU10020-MONOMER_mod_pydx5p_s + glu__L_s
ALATA_L_REV_BSU31400-MONOMER_s,0,999999.0,0.09243696220211904,-0.09243696220211904,glu__L_s + pyr_s <=> -1.19969381838038e-5*sigma BSU31400-MONOMER_s + akg_s + ala__L_s
ORNTA_1_FWD_BSU40340-MONOMER_s,0,999999.0,0.07762400153818604,0.07762400153818604,akg_s + orn__L_s <=> -1.16983570433274e-5*sigma BSU40340-MONOMER_s + glu5sa_s + glu__L_s
GLNS_FWD_CPLX8J2-146_s,0,999999.0,0.06509858492551593,-0.06509858492551593,atp_s + glu__L_s + nh4_s <=> -4.27350427350427e-6*sigma CPLX8J2-146_s + adp_s + gln__L_s + h_s + pi_s
LEUTA_FWD_BSU38550-MONOMER_s,0,999999.0,0.06124679396785121,0.06124679396785121,akg_s + leu__L_s <=> 4mop_s + -4.27350427350427e-6*sigma BSU38550-MONOMER_s + glu__L_s
P5CD_FWD_BSU37780-MONOMER_s,0,999999.0,0.0577651284314729,0.0577651284314729,1pyr5c_s + 2.0 h2o_s + nad_s <=> -9.68027613778329e-6*sigma BSU37780-MONOMER_s + glu__L_s + h_s + nadh_s
ASPTA_REV_BSU22370-MONOMER_s,0,999999.0,0.04449539464701214,-0.04449539464701214,glu__L_s + oaa_s <=> -7.03687774480832e-6*sigma BSU22370-MONOMER_s + akg_s + asp__L_s
APTA1i_FWD_BSU14000-MONOMER_s,0,999999.0,0.0399162332695035,-0.0399162332695035,acamoxm_s + glu__L_s <=> 26dapime_s + -1.17414623040581e-5*sigma BSU14000-MONOMER_s + akg_s
VALTA_REV_BSU38550-MONOMER_s,0,999999.0,0.033745122972731065,-0.033745122972731065,3mob_s + glu__L_s <=> -4.27350427350427e-6*sigma BSU38550-MONOMER_s + akg_s + val__L_s
ASNS1_FWD_BSU10790-MONOMER_s,0,999999.0,0.021296007089607428,0.021296007089607428,asp__L_s + atp_s + gln__L_s + h2o_s <=> -4.27350427350427e-6*sigma BSU10790-MONOMER_s + amp_s + asn__L_s + glu__L_s + h_s + ppi_s
PHETA1_REV_BSU34890-MONOMER_s,0,999999.0,0.020934926148863497,-0.020934926148863497,glu__L_s + phpyr_s <=> -4.27350427350427e-6*sigma BSU34890-MONOMER_s + akg_s + phe__L_s
TYRTA_REV_BSU22620-MONOMER_mod_pydx5p_s,0,999999.0,0.014646847483313625,-0.014646847483313625,34hpp_s + glu__L_s <=> -4.27350427350427e-6*sigma BSU22620-MONOMER_mod_pydx5p_s + akg_s + tyr__L_s
GLUR_REV_BSU26810-MONOMER_s,0,999999.0,0.011335950185394288,-0.011335950185394288,glu__L_s <=> -4.27350427350427e-6*sigma BSU26810-MONOMER_s + glu__D_s
HSTPTr_FWD_BSU34890-MONOMER_s,0,999999.0,0.009647941886381043,-0.009647941886381043,glu__L_s + imacp_s <=> -4.27350427350427e-6*sigma BSU34890-MONOMER_s + akg_s + h_s + hisp_s
IG3PS_1_FWD_BSU34870-MONOMER_s,0,999999.0,0.009647941886381043,0.009647941886381043,gln__L_s + prlp_s <=> -1.6666804706824e-5*sigma BSU34870-MONOMER_s + aicar_s + eig3p_s + glu__L_s + 2.0 h_s
ANS_FWD_BSU00750-MONOMER_s,0,999999.0,0.005786977190735792,0.005786977190735792,chor_s + gln__L_s <=> -4.27350427350427e-6*sigma BSU00750-MONOMER_s + anth_s + glu__L_s + h_s + pyr_s
PRFGS_1_FWD_BSU06480-MONOMER_mod_mg2_s,0,999999.0,0.004838097742284935,0.004838097742284935,atp_s + fgam_s + gln__L_s + h2o_s <=> -4.27350427350427e-6*sigma BSU06480-MONOMER_mod_mg2_s + adp_s + fpram_s + glu__L_s + 2.0 h_s + pi_s
GLUPRT_FWD_BSU06490-MONOMER_s,0,999999.0,0.004838097742284935,0.004838097742284935,gln__L_s + h2o_s + prpp_s <=> -1.03232804738843e-5*sigma BSU06490-MONOMER_s + glu__L_s + ppi_s + pram_s
ADCS_FWD_CPLX8J2-29_s,0,999999.0,4.0860501861572257e-05,4.0860501861572257e-05,chor_s + gln__L_s <=> 4adcho_s + -7.81508798303905e-6*sigma CPLX8J2-29_s + glu__L_s
DHFS_FWD_BSU28080-MONOMER_s,0,999999.0,4.0860501861572257e-05,-4.0860501861572257e-05,atp_s + dhpt_s + glu__L_s <=> -3.01444287398658e-6*sigma BSU28080-MONOMER_s + adp_s + dhf_s + h_s + pi_s
TYRTA_REV_BSU34890-MONOMER_s,0,999999.0,0.0,-0.0,34hpp_s + glu__L_s <=> -1.87638164758856e-5*sigma BSU34890-MONOMER_s + akg_s + tyr__L_s
ILETA_FWD_BSU02390-MONOMER_mod_6:pydx5p_s,0,999999.0,0.0,0.0,akg_s + ile__L_s <=> 3mop_s + -4.27350427350427e-6*sigma BSU02390-MONOMER_mod_6:pydx5p_s + glu__L_s
ACGS_FWD_BSU11200-MONOMER_s,0,999999.0,0.0,-0.0,accoa_s + glu__L_s <=> -4.27350427350427e-6*sigma BSU11200-MONOMER_s + acglu_s + coa_s + h_s
LEUTA_FWD_BSU02390-MONOMER_mod_6:pydx5p_s,0,999999.0,0.0,0.0,akg_s + leu__L_s <=> 4mop_s + -4.27350427350427e-6*sigma BSU02390-MONOMER_mod_6:pydx5p_s + glu__L_s
LEUTA_REV_BSU02390-MONOMER_mod_6:pydx5p_s,0,999999.0,0.0,-0.0,4mop_s + glu__L_s <=> -4.27350427350427e-6*sigma BSU02390-MONOMER_mod_6:pydx5p_s + akg_s + leu__L_s
GLUN_FWD_BSU14830-MONOMER_s,0,999999.0,0.0,0.0,gln__L_s + h2o_s <=> -1.41293246984375e-5*sigma BSU14830-MONOMER_s + glu__L_s + nh4_s
LEUTA_REV_BSU38550-MONOMER_s,0,999999.0,0.0,-0.0,4mop_s + glu__L_s <=> -4.27350427350427e-6*sigma BSU38550-MONOMER_s + akg_s + leu__L_s
PRFGS_1_FWD_BSU06470-MONOMER_s,0,999999.0,0.0,0.0,atp_s + fgam_s + gln__L_s + h2o_s <=> -1.79209918116504e-5*sigma BSU06470-MONOMER_s + adp_s + fpram_s + glu__L_s + 2.0 h_s + pi_s
HSTPTr_REV_BSU34890-MONOMER_s,0,999999.0,0.0,0.0,akg_s + h_s + hisp_s <=> -4.27350427350427e-6*sigma BSU34890-MONOMER_s + glu__L_s + imacp_s
GMPS2_FWD_BSU06360-MONOMER_mod_mg2_s,0,999999.0,0.0,0.0,atp_s + gln__L_s + h2o_s + xmp_s <=> -5.64275700176595e-6*sigma BSU06360-MONOMER_mod_mg2_s + amp_s + glu__L_s + gmp_s + 2.0 h_s + ppi_s
GLUR_REV_BSU28390-MONOMER_s,0,999999.0,0.0,-0.0,glu__L_s <=> -1.55284520490159e-5*sigma BSU28390-MONOMER_s + glu__D_s
ILETA_FWD_BSU38550-MONOMER_s,0,999999.0,0.0,0.0,akg_s + ile__L_s <=> 3mop_s + -1.24452561254888e-5*sigma BSU38550-MONOMER_s + glu__L_s
ILETA_REV_BSU38550-MONOMER_s,0,999999.0,0.0,-0.0,3mop_s + glu__L_s <=> -1.24452561254888e-5*sigma BSU38550-MONOMER_s + akg_s + ile__L_s
ILETA_REV_BSU02390-MONOMER_mod_6:pydx5p_s,0,999999.0,0.0,-0.0,3mop_s + glu__L_s <=> -4.27350427350427e-6*sigma BSU02390-MONOMER_mod_6:pydx5p_s + akg_s + ile__L_s
CBPS_FWD_CPLX8J2-5_s,0,999999.0,0.0,0.0,2.0 atp_s + gln__L_s + h2o_s + hco3_s <=> -4.27350427350427e-6*sigma CPLX8J2-5_s + 2.0 adp_s + cbp_s + glu__L_s + 2.0 h_s + pi_s
ABTA_FWD_BSU03900-MONOMER_s,0,999999.0,0.0,0.0,4abut_s + akg_s <=> -1.10432199471647e-5*sigma BSU03900-MONOMER_s + glu__L_s + sucsal_s
ABTA_REV_BSU03900-MONOMER_s,0,999999.0,0.0,-0.0,glu__L_s + sucsal_s <=> 4abut_s + -1.10432199471647e-5*sigma BSU03900-MONOMER_s + akg_s
HSTPTr_REV_BSU22620-MONOMER_mod_pydx5p_s,0,999999.0,0.0,0.0,akg_s + h_s + hisp_s <=> -7.41858976247727e-6*sigma BSU22620-MONOMER_mod_pydx5p_s + glu__L_s + imacp_s
FGLU_1_FWD_BSU39380-MONOMER_s,0,999999.0,0.0,0.0,forglu_s + h2o_s <=> -1.38139173180071e-5*sigma BSU39380-MONOMER_s + frmd_s + glu__L_s
ASPTA_FWD_BSU22370-MONOMER_s,0,999999.0,0.0,0.0,akg_s + asp__L_s <=> -7.03687774480832e-6*sigma BSU22370-MONOMER_s + glu__L_s + oaa_s
HSTPTr_FWD_BSU22620-MONOMER_mod_pydx5p_s,0,999999.0,0.0,-0.0,glu__L_s + imacp_s <=> -7.41858976247727e-6*sigma BSU22620-MONOMER_mod_pydx5p_s + akg_s + h_s + hisp_s
GLU5K_FWD_BSU18470-MONOMER_s,0,999999.0,0.0,-0.0,atp_s + glu__L_s <=> -1.24297480694063e-5*sigma BSU18470-MONOMER_s + adp_s + glu5p_s
GLU5K_FWD_BSU13120-MONOMER_mod_mg2_s,0,999999.0,0.0,-0.0,atp_s + glu__L_s <=> -4.27350427350427e-6*sigma BSU13120-MONOMER_mod_mg2_s + adp_s + glu5p_s
GLNS_FWD_BSU17460-MONOMER_s,0,999999.0,0.0,-0.0,atp_s + glu__L_s + nh4_s <=> -1.054199117846e-5*sigma BSU17460-MONOMER_s + adp_s + gln__L_s + h_s + pi_s
GLUR_FWD_BSU28390-MONOMER_s,0,999999.0,0.0,0.0,glu__D_s <=> -1.55284520490159e-5*sigma BSU28390-MONOMER_s + glu__L_s
PSERT_FWD_BSU10020-MONOMER_mod_pydx5p_s,0,999999.0,0.0,-0.0,3php_s + glu__L_s <=> -7.40403384347267e-6*sigma BSU10020-MONOMER_mod_pydx5p_s + akg_s + pser__L_s
CBPS_FWD_CPLX8J2-6_mod_zn2_s,0,999999.0,0.0,0.0,2.0 atp_s + gln__L_s + h2o_s + hco3_s <=> -2.65848692994324e-6*sigma CPLX8J2-6_mod_zn2_s + 2.0 adp_s + cbp_s + glu__L_s + 2.0 h_s + pi_s
GLUN_FWD_BSU02430-MONOMER_s,0,999999.0,0.0,0.0,gln__L_s + h2o_s <=> -4.27350427350427e-6*sigma BSU02430-MONOMER_s + glu__L_s + nh4_s
PHETA1_FWD_BSU22620-MONOMER_mod_pydx5p_s,0,999999.0,0.0,0.0,akg_s + phe__L_s <=> -4.27350427350427e-6*sigma BSU22620-MONOMER_mod_pydx5p_s + glu__L_s + phpyr_s
ASNS1_FWD_BSU39920-MONOMER_s,0,999999.0,0.0,0.0,asp__L_s + atp_s + gln__L_s + h2o_s <=> -7.05227245636234e-6*sigma BSU39920-MONOMER_s + amp_s + asn__L_s + glu__L_s + h_s + ppi_s
PHETA1_REV_BSU22620-MONOMER_mod_pydx5p_s,0,999999.0,0.0,-0.0,glu__L_s + phpyr_s <=> -4.27350427350427e-6*sigma BSU22620-MONOMER_mod_pydx5p_s + akg_s + phe__L_s
PHETA1_FWD_BSU34890-MONOMER_s,0,999999.0,0.0,0.0,akg_s + phe__L_s <=> -4.27350427350427e-6*sigma BSU34890-MONOMER_s + glu__L_s + phpyr_s
GLUt4_FWD_BSU10220-MONOMER_s,0,999999.0,0.0,0.0,glu__L_c + na1_c <=> -8.12128100619354e-5*sigma BSU10220-MONOMER_s + glu__L_s + na1_s
