,lb,ub,rxn_flux,met_flux,reaction
PYRt2_REV_CPLX8J2-189_s,0,999999.0,2.016906687865907,-2.016906687865907,h_s + pyr_s <=> -3.45671075569924e-6*sigma CPLX8J2-189_s + h_c + pyr_c
GLCpts_FWD_BSU13890-MONOMER_s,0,999999.0,1.6999974460932268,1.6999974460932268,glc__D_e + pep_s <=> -4.27350427350427e-6*sigma BSU13890-MONOMER_s + g6p_s + pyr_s
PYK_FWD_BSU29180-MONOMER_mod_mn2_mod_k_s,0,999999.0,0.8286499621952401,0.8286499621952401,adp_s + h_s + pep_s <=> -7.24069444255906e-7*sigma BSU29180-MONOMER_mod_mn2_mod_k_s + atp_s + pyr_s
PDH_FWD_CPLX000-61_s,0,999999.0,0.195178289660786,-0.195178289660786,coa_s + nad_s + pyr_s <=> -4.27350427350427e-6*sigma CPLX000-61_s + accoa_s + co2_s + nadh_s
ACLS_FWD_BSU36010-MONOMER_s,0,999999.0,0.04655361953722483,-0.09310723907444966,h_s + 2.0 pyr_s <=> -9.00723533452963e-6*sigma BSU36010-MONOMER_s + alac__S_s + co2_s
ALATA_L_REV_BSU31400-MONOMER_s,0,999999.0,0.09243696220211904,-0.09243696220211904,glu__L_s + pyr_s <=> -1.19969381838038e-5*sigma BSU31400-MONOMER_s + akg_s + ala__L_s
ACHBS_FWD_BSU36010-MONOMER_s,0,999999.0,0.05225674617962195,-0.05225674617962195,2obut_s + h_s + pyr_s <=> 2ahbut_s + -4.27350427350427e-6*sigma BSU36010-MONOMER_s + co2_s
PC_FWD_BSU14860-MONOMER_s,0,999999.0,0.04449539464701214,-0.04449539464701214,atp_s + hco3_s + pyr_s <=> -4.27350427350427e-6*sigma BSU14860-MONOMER_s + adp_s + h_s + oaa_s + pi_s
DHDPS_FWD_BSU16770-MONOMER_s,0,999999.0,0.0399162332695035,-0.0399162332695035,aspsa_s + pyr_s <=> 23dhdp_s + -1.51334154719361e-5*sigma BSU16770-MONOMER_s + 2.0 h2o_s + h_s
ANS_FWD_BSU00750-MONOMER_s,0,999999.0,0.005786977190735792,0.005786977190735792,chor_s + gln__L_s <=> -4.27350427350427e-6*sigma BSU00750-MONOMER_s + anth_s + glu__L_s + h_s + pyr_s
DXPS_FWD_BSU24270-MONOMER_mod_thmpp_s,0,999999.0,0.00020730859527587887,-0.00020730859527587887,g3p_s + h_s + pyr_s <=> -1.11685525170979e-6*sigma BSU24270-MONOMER_mod_thmpp_s + co2_s + dxyl5p_s
ADCL_FWD_BSU00760-MONOMER_s,0,999999.0,4.0860501861572257e-05,4.0860501861572257e-05,4adcho_s <=> 4abz_s + -3.95617500794871e-6*sigma BSU00760-MONOMER_s + h_s + pyr_s
2S6HCCi_FWD_BSU30820-MONOMER_s,0,999999.0,2.9615513610837678e-05,2.9615513610837678e-05,akg_s + h_s + ichor_s <=> 2shchc_s + -4.27350427350427e-6*sigma BSU30820-MONOMER_s + co2_s + pyr_s
DALAOX_FWD_CPLX-8352_s,0,999999.0,0.0,0.0,ala__D_s + h2o_s + o2_s <=> -4.27350427350427e-6*sigma CPLX-8352_s + h2o2_s + nh4_s + pyr_s
TRPAS1_FWD_BSU27250-MONOMER_mod_pydx5p_s,0,999999.0,0.0,0.0,cys__L_s + h2o_s <=> -4.34718776686646e-6*sigma BSU27250-MONOMER_mod_pydx5p_s + h2s_s + h_s + nh4_s + pyr_s
SERD_L_FWD_CPLX8J2-18_s,0,999999.0,0.0,0.0,ser__L_s <=> -9.88764212890982e-6*sigma CPLX8J2-18_s + nh4_s + pyr_s
ANS_FWD_BSU22680-MONOMER_s,0,999999.0,0.0,0.0,chor_s + gln__L_s <=> -9.45591657523233e-6*sigma BSU22680-MONOMER_s + anth_s + glu__L_s + h_s + pyr_s
FRUpts_FWD_CPLX000-22_s,0,999999.0,0.0,0.0,fru_e + pep_s <=> -4.27350427350427e-6*sigma CPLX000-22_s + f1p_s + pyr_s
CELBpts_FWD_CPLX000-12_s,0,999999.0,0.0,0.0,cellb_e + pep_s <=> 6pgg_s + -4.27350427350427e-6*sigma CPLX000-12_s + pyr_s
PPS_FWD_BSU18830-MONOMER_mod_mg2_s,0,999999.0,0.0,-0.0,atp_s + h2o_s + pyr_s <=> -8.71067938968947e-7*sigma BSU18830-MONOMER_mod_mg2_s + amp_s + 2.0 h_s + pep_s + pi_s
