,lb,ub,rxn_flux,met_flux,reaction
F6Pt6_2_FWD_BSU12010-MONOMER_s,0,999999.0,90.40330076141622,-180.80660152283244,f6p_c + 2.0 pi_s <=> -4.27350427350427e-6*sigma BSU12010-MONOMER_s + f6p_s + 2.0 pi_c
3NUCLE1_FWD_BSU07840-MONOMER_s,0,999999.0,179.64155258791808,179.64155258791808,3amp_s + h2o_s <=> -4.27350427350427e-6*sigma BSU07840-MONOMER_s + adn_s + pi_s
ATPS4r_FWD_CPLX000-10_s,0,999999.0,23.04705963082613,-23.04705963082613,adp_s + 4.0 h_c + pi_s <=> -4.27350427350427e-6*sigma CPLX000-10_s + atp_s + h2o_s + 3.0 h_s
PPA_FWD_BSU40550-MONOMER_s,0,999999.0,0.7696429217518969,1.5392858435037937,h2o_s + ppi_s <=> -0.000101820379163072*sigma BSU40550-MONOMER_s + h_s + 2.0 pi_s
ACCOAC_FWD_CPLX000-1_s,0,999999.0,0.1687439963714534,0.1687439963714534,accoa_s + atp_s + hco3_s <=> -4.27350427350427e-6*sigma CPLX000-1_s + adp_s + h_s + malcoa_s + pi_s
ASAD_REV_BSU16750-MONOMER_s,0,999999.0,0.11886520584405187,0.11886520584405187,4pasp_s + h_s + nadph_s <=> -1.30436842029675e-5*sigma BSU16750-MONOMER_s + aspsa_s + nadp_s + pi_s
ALKP_FWD_BSU09410-MONOMER_s,0,999999.0,0.11776470056447814,0.11776470056447814,dhap_s + h2o_s <=> -4.27350427350427e-6*sigma BSU09410-MONOMER_s + dha_s + pi_s
PSP_L_FWD_BSU04740-MONOMER_s,0,999999.0,0.0873744950095692,0.0873744950095692,h2o_s + pser__L_s <=> -1.94943050983268e-5*sigma BSU04740-MONOMER_s + pi_s + ser__L_s
THRS_FWD_BSU32250-MONOMER_s,0,999999.0,0.07894897257454837,0.07894897257454837,h2o_s + phom_s <=> -1.31428607675555e-5*sigma BSU32250-MONOMER_s + pi_s + thr__L_s
GLNS_FWD_CPLX8J2-146_s,0,999999.0,0.06509858492551593,0.06509858492551593,atp_s + glu__L_s + nh4_s <=> -4.27350427350427e-6*sigma CPLX8J2-146_s + adp_s + gln__L_s + h_s + pi_s
PC_FWD_BSU14860-MONOMER_s,0,999999.0,0.04449539464701214,0.04449539464701214,atp_s + hco3_s + pyr_s <=> -4.27350427350427e-6*sigma BSU14860-MONOMER_s + adp_s + h_s + oaa_s + pi_s
ACNPLYS_REV_CPLX_dummy_s,0,999999.0,0.04365678655211394,-0.04365678655211394,acnam_s + pi_s <=> -4.27350427350427e-6*sigma CPLX_dummy_s + acmana_s + h2o_s + pep_s
PTAr_REV_BSU37660-MONOMER_s,0,999999.0,0.04265933243630577,0.04265933243630577,actp_s + coa_s <=> -3.16586050733481e-6*sigma BSU37660-MONOMER_s + accoa_s + pi_s
DDPA_FWD_BSU29750-MONOMER_s,0,999999.0,0.04143922683838532,0.04143922683838532,e4p_s + h2o_s + pep_s <=> 2dda7p_s + -4.46240712201809e-6*sigma BSU29750-MONOMER_s + pi_s
DHQS_FWD_BSU22700-MONOMER_mod_nad_mod_cobalt2_s,0,999999.0,0.04143922683838532,0.04143922683838532,2dda7p_s <=> 3dhq_s + -1.21745748578499e-5*sigma BSU22700-MONOMER_mod_nad_mod_cobalt2_s + pi_s
