,lb,ub,rxn_flux,met_flux,reaction
3NUCLE1_FWD_BSU07840-MONOMER_s,0,999999.0,181.36336338735703,181.36336338735703,3amp_s + h2o_s <=> -4.27350427350427e-6*sigma BSU07840-MONOMER_s + adn_s + pi_s
ADNt2_REV_BSU38710-MONOMER_s,0,999999.0,181.36336338735703,-181.36336338735703,adn_s + h_s <=> -4.27350427350427e-6*sigma BSU38710-MONOMER_s + adn_c + h_c
PUNP1_REV_BSU23490-MONOMER_s,0,999999.0,0.0,0.0,ade_s + r1p_s <=> -4.27350427350427e-6*sigma BSU23490-MONOMER_s + adn_s + pi_s
ADNK1_FWD_BSU00140-MONOMER_s,0,999999.0,0.0,-0.0,adn_s + atp_s <=> -4.27350427350427e-6*sigma BSU00140-MONOMER_s + adp_s + amp_s + h_s
PUNP1_FWD_BSU19630-MONOMER_s,0,999999.0,0.0,-0.0,adn_s + pi_s <=> -4.27350427350427e-6*sigma BSU19630-MONOMER_s + ade_s + r1p_s
ADNt2_FWD_BSU38710-MONOMER_s,0,999999.0,0.0,0.0,adn_c + h_c <=> -4.27350427350427e-6*sigma BSU38710-MONOMER_s + adn_s + h_s
3NUCLE1_REV_BSU07840-MONOMER_s,0,999999.0,0.0,-0.0,adn_s + pi_s <=> 3amp_s + -4.27350427350427e-6*sigma BSU07840-MONOMER_s + h2o_s
PUNP1_REV_BSU19630-MONOMER_s,0,999999.0,0.0,0.0,ade_s + r1p_s <=> -4.27350427350427e-6*sigma BSU19630-MONOMER_s + adn_s + pi_s
PUNP1_FWD_BSU23490-MONOMER_s,0,999999.0,0.0,-0.0,adn_s + pi_s <=> -4.27350427350427e-6*sigma BSU23490-MONOMER_s + ade_s + r1p_s
NTD7_FWD_BSU07840-MONOMER_s,0,999999.0,0.0,0.0,amp_s + h2o_s <=> -4.27350427350427e-6*sigma BSU07840-MONOMER_s + adn_s + pi_s
