,lb,ub,rxn_flux,met_flux,reaction
GLCpts_FWD_BSU13890-MONOMER_s,0,999999.0,1.6999974460932268,1.6999974460932268,glc__D_e + pep_s <=> -4.27350427350427e-6*sigma BSU13890-MONOMER_s + g6p_s + pyr_s
PGI_FWD_BSU31350-MONOMER_s,0,999999.0,1.6546779757082533,-1.6546779757082533,g6p_s <=> -2.39245303657779e-6*sigma BSU31350-MONOMER_s + f6p_s
PGMT_REV_BSU01770-MONOMER_s,0,999999.0,0.045319470384973394,-0.045319470384973394,g6p_s <=> -4.27350427350427e-6*sigma BSU01770-MONOMER_s + g1p_s
S6PG_FWD_BSU40110-MONOMER_s,0,999999.0,0.0,0.0,h2o_s + salcn6p_s <=> 2hxmp_s + -2.25061959425161e-6*sigma BSU40110-MONOMER_s + g6p_s
G6Pt6_2_FWD_CPLX_dummy_s,0,999999.0,0.0,0.0,g6p_c + 2.0 pi_s <=> -4.27350427350427e-6*sigma CPLX_dummy_s + g6p_s + 2.0 pi_c
PGMT_FWD_BSU01770-MONOMER_s,0,999999.0,0.0,0.0,g1p_s <=> -4.27350427350427e-6*sigma BSU01770-MONOMER_s + g6p_s
HEX1_FWD_BSU24850-MONOMER_s,0,999999.0,0.0,0.0,atp_s + glc__D_s <=> -3.24882490550923e-6*sigma BSU24850-MONOMER_s + adp_s + g6p_s + h_s
G6PI_FWD_BSU31350-MONOMER_s,0,999999.0,0.0,-0.0,g6p_s <=> -4.27350427350427e-6*sigma BSU31350-MONOMER_s + g6p_B_s
GLCpts_FWD_CPLX8J2-118_s,0,999999.0,0.0,0.0,glc__D_e + pep_s <=> -5.81669056728564e-5*sigma CPLX8J2-118_s + g6p_s + pyr_s
TRE6PH_FWD_BSU07810-MONOMER_s,0,999999.0,0.0,0.0,h2o_s + tre6p_s <=> -4.27350427350427e-6*sigma BSU07810-MONOMER_s + g6p_s + glc__D_s
FFSD_FWD_BSU38040-MONOMER_s,0,999999.0,0.0,0.0,h2o_s + suc6p_s <=> -4.27350427350427e-6*sigma BSU38040-MONOMER_s + fru_s + g6p_s
BGLA1_FWD_BSU40110-MONOMER_s,0,999999.0,0.0,0.0,6pgg_s + h2o_s <=> -4.27350427350427e-6*sigma BSU40110-MONOMER_s + g6p_s + glc__D_s
G6PI_REV_BSU31350-MONOMER_s,0,999999.0,0.0,0.0,g6p_B_s <=> -4.27350427350427e-6*sigma BSU31350-MONOMER_s + g6p_s
G6PDH2r_FWD_BSU23850-MONOMER_s,0,999999.0,0.0,-0.0,g6p_s + nadp_s <=> 6pgl_s + -2.22618723590366e-6*sigma BSU23850-MONOMER_s + h_s + nadph_s
AB6PGH_FWD_BSU40110-MONOMER_s,0,999999.0,0.0,0.0,arbt6p_s + h2o_s <=> -4.27350427350427e-6*sigma BSU40110-MONOMER_s + g6p_s + hqn_s
S6PG_FWD_BSU38560-MONOMER_s,0,999999.0,0.0,0.0,h2o_s + salcn6p_s <=> 2hxmp_s + -4.27350427350427e-6*sigma BSU38560-MONOMER_s + g6p_s
AB6PGH_FWD_BSU38560-MONOMER_s,0,999999.0,0.0,0.0,arbt6p_s + h2o_s <=> -4.27350427350427e-6*sigma BSU38560-MONOMER_s + g6p_s + hqn_s
MAL6PG_FWD_BSU08180-MONOMER_s,0,999999.0,0.0,0.0,h2o_s + malt6p_s <=> -2.39346327985621e-6*sigma BSU08180-MONOMER_s + g6p_s + glc__D_s
BGLA1_FWD_BSU38560-MONOMER_s,0,999999.0,0.0,0.0,6pgg_s + h2o_s <=> -4.27350427350427e-6*sigma BSU38560-MONOMER_s + g6p_s + glc__D_s
PGI_REV_BSU31350-MONOMER_s,0,999999.0,0.0,0.0,f6p_s <=> -2.39245303657779e-6*sigma BSU31350-MONOMER_s + g6p_s
G6PDH2r_FWD_CPLX8J2-195_s,0,999999.0,0.0,-0.0,g6p_s + nadp_s <=> 6pgl_s + -4.27350427350427e-6*sigma CPLX8J2-195_s + h_s + nadph_s
