,lb,ub,rxn_flux,met_flux,reaction
ARGt2r_FWD_BSU40330-MONOMER_s,0,999999.0,0.09652224627547387,0.09652224627547387,arg__L_c + h_c <=> -4.27350427350427e-6*sigma BSU40330-MONOMER_s + arg__L_s + h_s
ARGN_1_FWD_BSU40320-MONOMER_s,0,999999.0,0.0528247623407295,-0.0528247623407295,arg__L_s + h2o_s <=> -1.47417565435997e-5*sigma BSU40320-MONOMER_s + orn__L_s + urea_s
ARGSL_REV_BSU29440-MONOMER_s,0,999999.0,0.024799239197456538,-0.024799239197456538,arg__L_s + fum_s <=> -1.02894591975503e-5*sigma BSU29440-MONOMER_s + argsuc_s
ARGt2r_FWD_BSU33330-MONOMER_s,0,999999.0,0.0,0.0,arg__L_c + h_c <=> -4.27350427350427e-6*sigma BSU33330-MONOMER_s + arg__L_s + h_s
ARGt2r_FWD_BSU37760-MONOMER_s,0,999999.0,0.0,0.0,arg__L_c + h_c <=> -7.42684631202334e-5*sigma BSU37760-MONOMER_s + arg__L_s + h_s
ARGabc_FWD_CPLX000-9_s,0,999999.0,0.0,0.0,arg__L_c + atp_s + h2o_s <=> -4.27350427350427e-6*sigma CPLX000-9_s + adp_s + arg__L_s + h_s + pi_s
ARGSL_FWD_BSU29440-MONOMER_s,0,999999.0,0.0,0.0,argsuc_s <=> -1.02894591975503e-5*sigma BSU29440-MONOMER_s + arg__L_s + fum_s
BIOMASS_BS_10_FWD_CPLX_dummy_s,0,0,0.0,-0.0,0.000367 10fthf_s + 0.266902 ala__L_s + 0.00467 amp_s + 0.193021 arg__L_s + 0.147987 asn__L_s + 0.148014 asp__L_s + 105.053483 atp_s + 0.003205 ca2_s + 5e-06 cdlp_BS_s + 0.000251 cdp_s + 0.001042 cmp_s + 0.038902 ctp_s + 0.05699 cys__L_s + 0.00011 d12dg_BS_s + 0.022982 datp_s + 0.01738 dctp_s + 0.017398 dgtp_s + 0.022899 dttp_s + 0.00345 fe3_s + 0.00018 gdp_s + 0.260335 gln__L_s + 0.260378 glu__L_s + 0.408288 gly_s + 0.000503 gmp_s + 0.003624 gtca1_45_BS_s + 0.002347 gtca2_45_BS_s + 0.001819 gtca3_45_BS_s + 0.062667 gtp_s + 105.0 h2o_s + 0.081739 his__L_s + 0.269905 ile__L_s + 0.706312 k_s + 0.346445 leu__L_s + 7e-06 lipo1_24_BS_s + 6e-06 lipo2_24_BS_s + 1.8e-05 lipo3_24_BS_s + 1.5e-05 lipo4_24_BS_s + 0.323093 lys__L_s + 2.2e-05 lysylpgly_BS_s + 8.6e-05 m12dg_BS_s + 0.113326 met__L_s + 0.101714 mg2_s + 0.000266 mql7_s + 0.016164 nad_s + 0.000934 nadp_s + 0.000216 nadph_s + 0.101817 peptido_BS_s + 0.000176 pgly_BS_s + 0.175939 phe__L_s + 0.000918 ppi_s + 0.160642 pro__L_s + 0.00056 psetha_BS_s + 0.216213 ser__L_s + 6.6e-05 t12dg_BS_s + 0.003112 tcam_BS_s + 0.186317 thr__L_s + 0.054336 trp__L_s + 0.110824 tyr__L_s + 0.041501 utp_s + 0.306734 val__L_s <=> -4.27350427350427e-6*sigma CPLX_dummy_s + 104.997414 adp_s + 105.0 h_s + 104.985613 pi_s
ARGKr_FWD_CPLX_dummy_s,0,999999.0,0.0,-0.0,arg__L_s + atp_s <=> -4.27350427350427e-6*sigma CPLX_dummy_s + adp_s + argp_s + h_s
ARGKr_REV_CPLX_dummy_s,0,999999.0,0.0,0.0,adp_s + argp_s + h_s <=> -4.27350427350427e-6*sigma CPLX_dummy_s + arg__L_s + atp_s
ARGDC_FWD_BSU14630-MONOMER_mod_pydx5p_s,0,999999.0,0.0,-0.0,arg__L_s + h_s <=> -1.78665295133992e-6*sigma BSU14630-MONOMER_mod_pydx5p_s + agm_s + co2_s
