,molecular_weight,biomass_dilution_response,ATPM_response
BSU15920-MONOMER,8.57526742,5.824054348848225,1794.003360751765
BSU28500-MONOMER_mod_Oxidized,11.25177588,8.16970733994008,2511.9184455913796
CPLX8J2-28,86.26574188000002,62.084108428283,19088.573623256325
CPLX8J2-24,944.1322556400002,665.3843915603042,204806.3511901968
BSU28720-MONOMER,57.01639599999999,72.03713412133814,22880.24282608138
CPLX8J2-21,75.39572354,74.84016022393118,23559.90886863577
BSU28500-MONOMER,11.253791760000002,8.171171033299077,2514.0700008941235
CPLX8J2-27,68.63434801999999,50.12684817502362,15427.532642372755
CPLX8J2-22,145.01797406,121.3751570019792,37588.45336393873
CPLX8J2-23,162.73453724,143.83764971568291,44898.473477716216
BSU06440-MONOMER,49.47716536,75.91086118288797,24323.259736301407
BSU06520-MONOMER,55.73464764,80.28213679122535,25685.599306851684
BSU15580-MONOMER,36.8527082,41.84632565865055,13177.8505415963
BSU25660-MONOMER,61.20964404000001,44.18214909825332,13594.85746156487
BSU08860-MONOMER,41.79148145999999,43.35497311468907,13697.60219034982
BSU01230-MONOMER,16.20591018,11.905042873433436,3660.895539648118
BSU04740-MONOMER,22.14276656,22.16847345253108,6989.17166063565
CPLX8J2-29,74.90698477999999,76.43153256653784,24066.85657521659
BSU00940-MONOMER,53.885729700000006,53.6035714394476,16866.80105824499
BSU39860-MONOMER,49.55260246,35.76790070308983,10998.44687173602
BSU25580-MONOMER,20.96279146,27.69228130578185,8839.2695171447
BSU12840-MONOMER,35.24356787999999,29.79829184817487,9242.175605379674
BSU22430-MONOMER,29.75000558,21.600931403388774,6645.9232229484005
BSU27560-MONOMER,48.121974640000005,34.53001908939442,10617.573550585626
BSU15620-MONOMER,28.830738720000003,35.811293666926716,11346.430108225355
BSU00150-MONOMER,24.14052576,20.771055849361428,6457.382003656097
BSU15630-MONOMER,18.00766058,28.972425200697483,9276.036255679202
BSU27960-MONOMER,11.28399006,8.19309746302847,2520.6713222012295
BSU00750-MONOMER,21.673573780000005,43.882747160911016,14194.500745474883
BSU16770-MONOMER,31.03515758,31.137367507931422,9776.606806985721
BSU24350-MONOMER,17.21726482,19.623667604392622,6230.498112995556
BSU22960-MONOMER,47.33360568,34.166191558719774,10507.799664225297
